卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,
"(注) 1  各年3月卒業者のうち,就職者(就職進学者を含む。)の占める割合である。",,,,,,,,,,,,,,,,,,,,,,,,,
　 　2  (  )内の数値は，中学校卒業者に中等教育学校前期課程修了者を，高等学校卒業者に中等教育学校後期課程卒業者をそれぞれ加えて算出した割合である。,,,,,,,,,,,,,,,,,,,,,,,,,
     3  平成29年度は速報値である。,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：％）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
区分,中学校:計,中学校:男,中学校:女,高等学校:計,高等学校:男,高等学校:女,高等専門学校:計,高等専門学校:男,高等専門学校:女,短期大学:計,短期大学:男,短期大学:女,大学:計,大学:男,大学:女,大学院:修士課程:計,大学院:修士課程:男,大学院:修士課程:女,大学院:博士課程:計,大学院:博士課程:男,大学院:博士課程:女,大学院:専門職学位課程:計,大学院:専門職学位課程:男,大学院:専門職学位課程:女,
1950/1/1,45.2,46.2,44.1,44.9,47.9,35.7,…,…,…,…,…,…,63.8,64.1,45.2,…,…,…,…,…,…,…,…,…,
1951/1/1,46.3,46.7,45.8,46.3,51.7,37.5,…,…,…,59.3,66.3,48.3,76.2,74.7,85.6,…,…,…,…,…,…,…,…,…,
1952/1/1,47.5,47.9,47,49.6,54.9,41.1,…,…,…,56.7,68.1,42.4,81,81,81.2,…,…,…,…,…,…,…,…,…,
1953/1/1,41.7,43.8,39.6,49,55.3,39.6,…,…,…,60.8,73.4,48.5,79.8,80.2,76.2,…,…,…,…,…,…,…,…,…,
1954/1/1,40,41.9,38.1,48.5,54.8,39.6,…,…,…,60.4,72.3,49.2,80.3,81.4,72.8,…,…,…,…,…,…,…,…,…,
1955/1/1,42,43,40.9,47.6,54.1,38.6,…,…,…,53.5,66.7,42.5,73.9,75,67.5,40,39.9,41.8,,,,…,…,…,
1956/1/1,42.6,44,41.1,51.7,57.7,43.6,…,…,…,52.3,64.4,43.6,73.2,76,56.7,45.5,45.9,38.5,,,,…,…,…,
1957/1/1,43.3,45,41.5,58.4,63.6,51.5,…,…,…,54,67.7,45.5,76.9,80.1,57.2,49.8,50.4,40.5,,,,…,…,…,
1958/1/1,40.9,42.7,39,57.6,62,52.1,…,…,…,53.5,72.5,43.9,77.4,80.4,59.1,50.1,51.2,35.2,,,,…,…,…,
1959/1/1,39.8,41.3,38.2,58.1,61.7,53.7,…,…,…,55.1,75,45.6,79,82.3,57.1,46.8,47.8,32.5,,,,…,…,…,
