"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"連結総合(加重):市場第一部:PER","2017年07月",17.3,0.1,1,0.6,6.1,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-ma-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-3-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-4-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-acf-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-acf-1.png"" width=""15%"" /></a>"
"連結総合(加重):市場第一部:PBR","2017年07月",1.3,0,0.2,0,18.2,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-ma-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-3-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-bp-4-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-acf-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/per.pbr-acf-2.png"" width=""15%"" /></a>"
