"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"景気動向指数個別系列:総資本営業利益率(製造業):(%)","2017年03月",4.7,0.14,1.31,3.1,38.6,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-11.png"" width=""15%"" /></a>"
"景気動向指数個別系列:長期国債(10年)新発債流通利回り:(%)","2017年06月",0.08,0.04,0.31,100,-134.8,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-12.png"" width=""15%"" /></a>"
"景気動向指数個別系列:中小企業売上げ見通しDI","2017年06月",7.9,3.5,10.5,79.5,-403.8,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-13.png"" width=""15%"" /></a>"
"景気動向指数個別系列:生産指数(鉱工業):(平成22年=100)","2017年06月",102.3,2.2,5.3,2.2,5.5,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-14.png"" width=""15%"" /></a>"
"景気動向指数個別系列:鉱工業用生産財出荷指数:(平成22年=100)","2017年06月",103,3.8,6.4,3.8,6.6,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-15.png"" width=""15%"" /></a>"
"景気動向指数個別系列:耐久消費財出荷指数:(平成22年=100)","2017年06月",87,3.6,6,4.3,7.4,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-16.png"" width=""15%"" /></a>"
"景気動向指数個別系列:所定外労働時間指数(調査産業計):(平成27年=100)","2017年06月",97.4,-0.3,-1.7,-0.3,-1.7,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-17.png"" width=""15%"" /></a>"
"景気動向指数個別系列:投資財出荷指数(除輸送機械):(平成22年=100)","2017年06月",111.8,0.6,4.9,0.5,4.6,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-18.png"" width=""15%"" /></a>"
"景気動向指数個別系列:商業販売額(小売業)(前年同月比):(%)","2017年06月",2.2,0.1,3.5,4.8,-269.2,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-19.png"" width=""15%"" /></a>"
"景気動向指数個別系列:商業販売額(卸売業)(前年同月比):(%)","2017年06月",4.4,-1.9,11.7,-30.2,-160.3,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-ma-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-3-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-bp-4-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/all.ci-acf-20.png"" width=""15%"" /></a>"
