"URL","Date","Value"
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:最終需要財在庫率指数(逆サイクル):(平成22年=100)"" target=""_blank"">景気動向指数個別系列:最終需要財在庫率指数(逆サイクル):(平成22年=100)</a>","2017年06月",103.9
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:鉱工業用生産財在庫率指数(逆サイクル):(平成22年=100)"" target=""_blank"">景気動向指数個別系列:鉱工業用生産財在庫率指数(逆サイクル):(平成22年=100)</a>","2017年06月",117.1
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:新規求人数(除学卒):(人)"" target=""_blank"">景気動向指数個別系列:新規求人数(除学卒):(人)</a>","2017年06月",961541
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:実質機械受注(製造業):(百万円)"" target=""_blank"">景気動向指数個別系列:実質機械受注(製造業):(百万円)</a>","2017年06月",346494
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:新設住宅着工床面積:(千㎡)"" target=""_blank"">景気動向指数個別系列:新設住宅着工床面積:(千㎡)</a>","2017年06月",6762
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:消費者態度指数"" target=""_blank"">景気動向指数個別系列:消費者態度指数</a>","2017年06月",43.5
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:日経商品指数(42種):(1970年=100)"" target=""_blank"">景気動向指数個別系列:日経商品指数(42種):(1970年=100)</a>","2017年06月",172.514
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:マネーストック(M2)(前年同月比):(%)"" target=""_blank"">景気動向指数個別系列:マネーストック(M2)(前年同月比):(%)</a>","2017年06月",3.9
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:東証株価指数"" target=""_blank"">景気動向指数個別系列:東証株価指数</a>","2017年06月",1603.77
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:投資環境指数(製造業)"" target=""_blank"">景気動向指数個別系列:投資環境指数(製造業)</a>","2017年03月",4.63
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:総資本営業利益率(製造業):(%)"" target=""_blank"">景気動向指数個別系列:総資本営業利益率(製造業):(%)</a>","2017年03月",4.7
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:長期国債(10年)新発債流通利回り:(%)"" target=""_blank"">景気動向指数個別系列:長期国債(10年)新発債流通利回り:(%)</a>","2017年06月",0.08
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:中小企業売上げ見通しDI"" target=""_blank"">景気動向指数個別系列:中小企業売上げ見通しDI</a>","2017年06月",7.9
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:生産指数(鉱工業):(平成22年=100)"" target=""_blank"">景気動向指数個別系列:生産指数(鉱工業):(平成22年=100)</a>","2017年06月",102.3
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:鉱工業用生産財出荷指数:(平成22年=100)"" target=""_blank"">景気動向指数個別系列:鉱工業用生産財出荷指数:(平成22年=100)</a>","2017年06月",103
