"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"新規求人倍率(倍)-季節調整値","2017年06月",2.25,-0.06,0.22,-2.6,10.8,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-1.png"" width=""15%"" /></a>"
"有効求人倍率(倍)-季節調整値","2017年06月",1.51,0.02,0.15,1.3,11,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-2.png"" width=""15%"" /></a>"
"就職率(対新規)(倍)-季節調整値","2017年06月",34.5,-1,0.5,-2.8,1.5,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-3.png"" width=""15%"" /></a>"
"充足率(対新規)(倍)-季節調整値","2017年06月",15.3,-0.1,-1.5,-0.6,-8.9,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-4.png"" width=""15%"" /></a>"
"新規求人数(万人)-季節調整値","2017年06月",96.1541,2.2149,5.1826,2.4,5.7,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-5.png"" width=""15%"" /></a>"
"新規求職申込件数(万件)-季節調整値","2017年06月",42.7741,2.112,-2.0779,5.2,-4.6,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-6.png"" width=""15%"" /></a>"
"有効求人数(万人)-季節調整値","2017年06月",269.0187,3.8473,16.3657,1.5,6.5,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-7.png"" width=""15%"" /></a>"
"有効求職者数(万人)-季節調整値","2017年06月",177.9214,0.0835,-7.6663,0,-4.1,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-8.png"" width=""15%"" /></a>"
"就職件数(万件)-季節調整値","2017年06月",14.7431,0.291,-0.5098,2,-3.3,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-9.png"" width=""15%"" /></a>"
"新規求人倍率(-)-実数","2017年06月",2.29,0.28,0.24,13.9,11.7,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-ma-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-3-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-bp-4-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings-acf-10.png"" width=""15%"" /></a>"
