"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"実質輸出:季節調整済、2015年=100、2015年基準","2017年07月",108.6,1.8,7.9,1.7,7.8,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-1.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-1.png"" width=""15%"" /></a>"
"実質輸入:季節調整済、2015年=100、2015年基準","2017年07月",103.2,-1.7,2.9,-1.6,2.9,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-2.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-2.png"" width=""15%"" /></a>"
"実質貿易収支:季節調整済、対実質GDP比率、%","2017年07月",0.2,0.5,0.7,-166.7,-140,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-3.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-3.png"" width=""15%"" /></a>"
"実質輸出:米国:季節調整済、2015年=100、2015年基準","2017年07月",109.5,4.9,6.8,4.7,6.6,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-4.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-4.png"" width=""15%"" /></a>"
"実質輸出:EU:季節調整済、2015年=100、2015年基準","2017年07月",115.5,-0.3,5.7,-0.3,5.2,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-5.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-5.png"" width=""15%"" /></a>"
"実質輸出:中国:季節調整済、2015年=100、2015年基準","2017年07月",113.5,-1.5,10.8,-1.3,10.5,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-6.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-6.png"" width=""15%"" /></a>"
"実質輸出:NIEs・ASEAN等:季節調整済、2015年=100、2015年基準","2017年07月",105.9,1.8,5.8,1.7,5.8,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-7.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-7.png"" width=""15%"" /></a>"
"実質輸出:その他国･地域:季節調整済、2015年=100、2015年基準","2017年07月",100,-0.6,7,-0.6,7.5,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-8.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-8.png"" width=""15%"" /></a>"
"実質輸出:中間財:季節調整済、2015年=100、2015年基準","2017年07月",102.9,3,1.5,3,1.5,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-9.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-9.png"" width=""15%"" /></a>"
"実質輸出:自動車関連:季節調整済、2015年=100、2015年基準","2017年07月",107.8,1.1,6.6,1,6.5,TRUE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-ma-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-3-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-bp-4-10.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/real.exports.and.real.imports-acf-10.png"" width=""15%"" /></a>"
