"Title","Date","Latest","diff01","diff12","ratio01","ratio12","PorN","fig1","fig2","fig3","fig4","fig5"
"職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:医療技術者","2017年07月",2.77,0.17,-0.11,6.5,-3.8,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-11.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-11.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-11.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の保健医療の職業","2017年07月",1.68,0.09,0.2,5.7,13.5,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-12.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-12.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-12.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:社会福祉の専門的職業","2017年07月",2.69,0.18,0.45,7.2,20.1,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-13.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-13.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-13.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:美術家、デザイナー、写真家、映像撮影者","2017年07月",0.46,0,0.02,0,4.5,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-14.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-14.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-14.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の専門的職業","2017年07月",0.65,0.04,0,6.6,0,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-15.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-15.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-15.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):事務的職業","2017年07月",0.38,0.01,0.05,2.7,15.2,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-16.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-16.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-16.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):事務的職業:一般事務の職業","2017年07月",0.29,0.01,0.04,3.6,16,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-17.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-17.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-17.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):事務的職業:会計事務の職業","2017年07月",0.62,0,0.08,0,14.8,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-18.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-18.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-18.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):事務的職業:生産関連事務の職業","2017年07月",1.38,0.04,0.35,3,34,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-19.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-19.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-19.png"" width=""15%"" /></a>"
"職業別有効求人倍率(パートタイムを除く常用):事務的職業:営業・販売関連事務の職業","2017年07月",0.81,0.02,0.14,2.5,20.9,FALSE,"<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-ma-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-3-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-bp-4-20.png"" width=""15%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-20.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.offer.by.category-acf-20.png"" width=""15%"" /></a>"
