"Title","fig1","fig2","fig3","fig4","Date","Latest","diff01","diff12","ratio01","ratio12","PorN"
"新規求人:正社員:原数値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-1.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-1.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-1.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-1.png"" width=""20%"" /></a>","2017年06月",410432,21724,32981,5.6,8.7,TRUE
"有効求人:正社員:原数値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-2.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-2.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-2.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-2.png"" width=""20%"" /></a>","2017年06月",1141631,18057,89543,1.6,8.5,TRUE
"就職件数:正社員:原数値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-3.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-3.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-3.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-3.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-3.png"" width=""20%"" /></a>","2017年06月",67495,1539,-2675,2.3,-3.8,TRUE
"新規求人倍率:正社員:原数値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-4.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-4.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-4.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-4.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-4.png"" width=""20%"" /></a>","2017年06月",1.47,0.14,0.21,10.5,16.7,FALSE
"有効求人倍率:正社員:原数値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-5.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-5.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-5.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-5.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-5.png"" width=""20%"" /></a>","2017年06月",0.95,0.04,0.13,4.4,15.9,FALSE
"新規求人:正社員:季節調整値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-6.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-6.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-6.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-6.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-6.png"" width=""20%"" /></a>","2017年06月",413700,14452,33094,3.6,8.7,TRUE
"有効求人:正社員:季節調整値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-7.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-7.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-7.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-7.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-7.png"" width=""20%"" /></a>","2017年06月",1164454,20052,91566,1.8,8.5,TRUE
"就職件数:正社員:季節調整値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-8.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-8.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-8.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-8.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-8.png"" width=""20%"" /></a>","2017年06月",64049,3018,-1822,4.9,-2.8,TRUE
"新規求人倍率:正社員:季節調整値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-9.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-9.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-9.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-9.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-9.png"" width=""20%"" /></a>","2017年06月",1.46,-0.04,0.2,-2.7,15.9,FALSE
"有効求人倍率:正社員:季節調整値","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-10.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-ma-10.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-3-10.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-10.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/job.openings.full.employee-bp-4-10.png"" width=""20%"" /></a>","2017年06月",1.01,0.02,0.14,2,16.1,FALSE
