連結貸借対照表(単位:百万円),科目,平成27年3月31日,平成28年3月31日
資産の部,現金･預金,73041273,116269140
資産の部,有価証券,348534788,351465086
資産の部,たな卸資産,5262076,5665857
資産の部,未収金,12712882,12523625
資産の部,未収収益,1068499,1026771
資産の部,貸付金,184109372,160781643
資産の部,破産更生債権等,873937,797868
資産の部,割賦債権,3743868,3330811
資産の部,その他の債権等,17939534,17325012
資産の部,貸倒引当金等,-3998166,-3813323
資産の部,有形固定資産,268053729,268798454
資産の部,国有財産等（公共用財産を除く）,69136472,69944355
資産の部,土地,38600871,38650220
資産の部,立木竹,3668572,3901393
資産の部,建物,12239856,12266496
資産の部,工作物,9324313,9519988
資産の部,機械器具,0,0
資産の部,船舶,1739239,1669622
資産の部,航空機,625410,602502
資産の部,建設仮勘定,2938209,3334131
資産の部,公共用財産,192891959,192928854
資産の部,公共用財産用地,48361804,48624641
資産の部,公共用財産施設,141513258,141840987
資産の部,建設仮勘定,3016896,2463225
資産の部,物品等,5997051,5897909
資産の部,その他の固定資産,28246,27334
資産の部,無形固定資産,1229548,1313598
資産の部,出資金,15854897,19795582
資産の部,支払承諾見返等,2891858,2786352
資産の部,その他の投資等,759172,866853
資産の部,資産合計,932077273,958933334
負債の部,未払金,15566796,14015827
負債の部,未払費用,2853548,2859741
負債の部,保管金等,3092332,3145683
負債の部,賞与引当金,590283,610113
負債の部,政府短期証券,96480697,85948307
負債の部,公債,715969502,780151372
負債の部,独立行政法人等債券,48963630,49233377
負債の部,借入金,36033906,37265783
負債の部,預託金,3981269,3538013
負債の部,郵便貯金,175699572,176044543
負債の部,責任準備金,103335702,100717005
負債の部,公的年金預り金,117348074,119620955
負債の部,退職給付引当金,13238430,12868687
負債の部,その他の引当金,1086861,959447
負債の部,支払承諾等,2891858,2786352
負債の部,その他の債務等,34347712,34094429
負債の部,負債合計,1371480178,1423859641
資産･負債差額の部,資産・負債差額,-439402904,-464926306
資産･負債差額の部,（うち国以外からの出資）,-1597058,-3183843
負債及び資産･負債差額合計,負債及び資産･負債差額合計,932077273,958933334
