法人別連結業務費用,本年度業務費用合計(単位:百万円)
内閣府:預金保険機構,437464
総務省:独立行政法人郵便貯金・簡易生命保険管理機構,9120899
総務省:日本郵政株式会社,13130762
外務省:独立行政法人国際協力機構,325827
財務省:株式会社日本政策投資銀行,233536
財務省:株式会社日本政策金融公庫（国民一般向け業務勘定）,121888
財務省:株式会社日本政策金融公庫（信用保険等業務勘定）,264893
財務省:株式会社日本政策金融公庫（危機対応円滑化業務勘定）,48783
財務省:株式会社国際協力銀行,197233
文部科学省:独立行政法人日本学生支援機構,100566
文部科学省:国立研究開発法人日本原子力研究開発機構,220605
文部科学省:国立大学法人東京大学,241453
文部科学省:日本私立学校振興・共済事業団,1467427
厚生労働省:独立行政法人福祉医療機構,180832
厚生労働省:独立行政法人勤労者退職金共済機構,547226
厚生労働省:年金積立金管理運用独立行政法人,41364
厚生労働省:独立行政法人国立病院機構,949861
厚生労働省:全国健康保険協会,9848313
農林水産省:株式会社日本政策金融公庫農林水産業者向け業務勘定,48222
農林水産省:国立研究開発法人森林総合研究所,19513
経済産業省:株式会社日本政策金融公庫（中小企業向け融資・証券化支援保証業務勘定）,79434
経済産業省:独立行政法人日本貿易保険,2932
経済産業省:独立行政法人石油天然ガス・金属鉱物資源機構,191062
経済産業省:独立行政法人中小企業基盤整備機構,1051824
経済産業省:原子力損害賠償・廃炉等支援機構,1216829
国土交通省:独立行政法人鉄道建設・運輸施設整備支援機構,726634
国土交通省:独立行政法人水資源機構,138829
国土交通省:独立行政法人都市再生機構,1137872
国土交通省:独立行政法人住宅金融支援機構,640889
国土交通省:独立行政法人日本高速道路保有・債務返済機構,1464563
国土交通省:東日本高速道路株式会社,1066152
国土交通省:中日本高速道路株式会社,1294366
国土交通省:西日本高速道路株式会社,879846
国土交通省:新関西国際空港株式会社,149967
その他の連結対象法人,7866780
連結対象法人合計,55454660
国（一般会計・特別会計）,143231134
相殺消去等,-32767093
連結合計,165918701
