"Date","合計","家計動向関連","家計動向関連-小売関連","家計動向関連-小売関連-商店街・一般小売店","家計動向関連-小売関連-百貨店","家計動向関連-小売関連-スーパー","家計動向関連-小売関連-コンビニエンスストア","家計動向関連-小売関連-衣料品専門店","家計動向関連-小売関連-家電量販店","家計動向関連-小売関連-乗用車・自動車備品販売店","家計動向関連-小売関連-その他小売店","家計動向関連-飲食関連","家計動向関連-サービス関連","家計動向関連-サービス関連-旅行・交通関連","家計動向関連-サービス関連-通信会社","家計動向関連-サービス関連-レジャー施設関連","家計動向関連-サービス関連-その他サービス","家計動向関連-住宅関連","企業動向関連-住宅関連","企業動向関連-製造業","企業動向関連-非製造業","雇用関連-非製造業"
2015-06-01,51,50.4,49.8,47.3,53.2,51.9,54.1,45.1,53.6,44.7,49.7,49.1,52.3,55.4,52,54,43.5,49.1,51.3,49.9,52.6,54.7
2015-07-01,51.6,50.8,50.5,46.4,50.9,54.1,59.3,42.9,57.6,48,49.7,48.8,53.3,56.6,52.2,53.6,45.4,44.8,52.4,51.1,53.6,55.7
2015-08-01,49.3,48.8,48.1,42.4,49.8,52.4,56.2,41.3,57.8,45.5,47.6,47,50.8,53.4,49,52.7,44.8,47.3,48.3,46.4,50,55.2
2015-09-01,47.5,47,45.7,42.9,47.5,50.5,47.3,41.4,38.6,45.2,47.5,43.8,50.5,52.4,49.7,53.9,43.4,45.4,46.9,45.1,48.5,52.7
2015-10-01,48.2,48.1,47,45.7,47.8,49.5,47.7,47,44.5,44.3,48.3,46.2,50.6,51.1,47.8,56.3,46.8,48.7,47.4,47.2,47.3,51.1
2015-11-01,46.1,44.4,41.4,41.9,34.4,42.4,45.2,35.8,38.3,44.9,46.1,44.6,49.2,49.5,49.4,54.2,43,49.1,47.8,47.9,47.4,54
2015-12-01,48.7,47.7,45.1,45.3,41.8,44.4,49.7,41.2,43.2,47.7,46.3,52.9,51.1,49.8,51.6,57.6,47.6,49.7,48.9,46,51.2,55.1
2016-01-01,46.6,45.6,45.1,40.3,41.4,49.3,48.6,40.7,44.9,52.6,45.1,45,46.9,45.7,49.7,51.2,42.3,45.6,45.9,45.2,46.6,54.8
2016-02-01,44.6,43.2,42.8,37.3,41.2,49.1,46.6,35.3,41.4,48.8,42.9,41.3,44.3,44,43.4,48.1,41.7,43.8,45.8,45.1,46.4,51.6
2016-03-01,45.4,44.3,42.4,40.3,38.1,45.7,45.1,39.4,41.7,47.7,42.4,42.8,47.6,49.2,48,47.6,43.1,48.1,46.5,45.9,46.6,50.8
2016-04-01,43.5,42.2,40.7,40.8,32.8,44.7,47.4,38.8,44.9,36.4,42.3,40.3,44,42.8,43.4,47.5,43.8,50,45,44.6,45.5,48.9
2016-05-01,43,41.9,40.5,38.8,32.6,42.3,45.4,41,51.5,40.2,42.9,41.1,44.1,43.8,46.7,45.8,40,45.9,43.5,41.9,45.1,49.3
2016-06-01,41.2,40.2,38.8,35.3,30.9,41.7,44.8,39,47.1,39,41.6,40.5,42.2,41.2,45.2,43.9,39.2,44.7,42,41,42.7,46
2016-07-01,45.1,44.5,43.5,39.6,44.4,42.3,49.4,37.9,46.4,47.1,43.3,43.9,46.8,46.2,51,45.6,44.3,44.6,45.2,44.3,46.2,49.2
2016-08-01,45.6,44.1,42.4,40.5,37.9,40.6,49.7,35.7,48.6,49.4,41,43.2,47,46.8,47.1,46.6,48,47.8,47.2,45.9,48.5,52.1
2016-09-01,44.8,42.6,40.8,38.6,35.3,37.5,43,37.7,47.9,49.1,45.1,39.7,46.2,43.9,50.7,45.8,46.9,45.4,48.2,48,48.6,52.2
2016-10-01,46.2,44.1,42.9,40.6,39,44.6,42.4,38.1,50,48.9,44.2,41,47.6,47.5,51.2,47,44.1,42.7,48.8,49,48.7,54.1
2016-11-01,48.6,47.1,46.8,45.2,48.9,47.1,42.7,43,50,51.2,47.6,46.1,48.2,50.2,50,47.1,42.5,46.2,50.8,52.3,49.5,53.9
2016-12-01,51.2,49.6,48.4,44.7,52.1,48.8,45.9,42.5,51.4,53.7,49.4,53.4,51,52.4,51.3,51.1,47.3,48.4,53.4,53.9,53.1,57.6
2017-01-01,48.6,47,47.2,42.9,56.1,46.7,42.8,33.6,49.3,54.8,48,46.2,46.6,47.2,48.4,50,39.2,48.1,49.7,49.6,50.1,56.8
2017-02-01,48.5,46.6,45.9,41.9,47.8,45.5,46.4,37.1,46.7,54.4,47.4,44.6,48,49.4,50.3,47.8,42.4,49.4,50.5,49.7,51.3,56.3
2017-03-01,50.6,49.7,48,45.3,50.7,45.8,49.4,42.5,50,53.5,47.7,49.7,53.4,54.2,55.9,52.8,49.3,47.1,50.6,50.4,51,56.7
2017-04-01,50.4,49.5,47.7,46,54.5,45.1,51.6,44.5,48.6,42.4,48.6,51.9,52.1,54.4,49.3,52.6,49.2,50.3,50.3,49.9,50.8,56.3
2017-05-01,50.1,48.9,47.9,45.8,54.3,42.1,53.5,44.2,54.2,45.3,47.1,48.6,50.8,53.1,46,55.7,45.8,49.3,51.2,49.9,52.4,55.5
2017-06-01,49.9,48.2,47.8,45.5,55,42.1,54.9,40,43.2,49.1,47.9,46.5,48.8,50.8,45.3,52.2,44.8,51,52.5,51.2,53.9,55.6
2017-07-01,51,49.8,49.2,44.9,50.2,44.4,54.1,42.2,69.7,52.2,50.6,47.2,51.7,52.4,50.6,53.3,49.6,49,52.3,51.4,53.2,56.4
