"Date","CHILE:EPU","CHILE:EPUC"
2008-07-01,"80.55","68.96"
2008-08-01,"79.38","87.56"
2008-09-01,"130.93","143.84"
2008-10-01,"208.55","220.18"
2008-11-01,"125.79","138.89"
2008-12-01,"128.53","161.23"
2009-01-01,"84.69","90.06"
2009-02-01,"110.95","102.12"
2009-03-01,"114.17","104.36"
2009-04-01,"50.66","54.83"
2009-05-01,"77.39","75.70"
2009-06-01,"58.11","60.88"
2009-07-01,"77.49","65.03"
2009-08-01,"40.40","43.21"
2009-09-01,"62.91","59.27"
2009-10-01,"49.88","43.54"
2009-11-01,"63.37","61.06"
2009-12-01,"70.59","77.25"
2010-01-01,"82.82","80.37"
2010-02-01,"42.11","41.02"
2010-03-01,"62.83","61.74"
2010-04-01,"67.32","64.56"
2010-05-01,"106.66","88.42"
2010-06-01,"106.68","93.62"
2010-07-01,"86.60","87.07"
2010-08-01,"59.52","59.74"
2010-09-01,"50.67","36.73"
2010-10-01,"68.07","60.25"
2010-11-01,"45.89","40.59"
2010-12-01,"75.37","78.12"
2011-01-01,"45.19","32.17"
2011-02-01,"53.74","58.86"
2011-03-01,"89.14","86.27"
2011-04-01,"80.51","81.08"
2011-05-01,"57.88","49.93"
2011-06-01,"85.11","84.54"
2011-07-01,"108.97","91.63"
2011-08-01,"156.25","163.85"
2011-09-01,"89.68","92.55"
2011-10-01,"108.24","112.85"
2011-11-01,"116.72","102.47"
2011-12-01,"174.39","189.79"
2012-01-01,"101.19","87.29"
2012-02-01,"63.67","63.72"
2012-03-01,"94.25","79.83"
2012-04-01,"90.50","86.65"
2012-05-01,"114.83","90.80"
2012-06-01,"139.50","128.88"
2012-07-01,"104.02","85.96"
2012-08-01,"85.39","81.93"
2012-09-01,"86.34","89.66"
2012-10-01,"68.25","53.13"
2012-11-01,"98.85","81.92"
2012-12-01,"146.48","139.84"
2013-01-01,"103.51","91.36"
2013-02-01,"82.11","50.26"
2013-03-01,"70.89","65.27"
2013-04-01,"68.94","75.97"
2013-05-01,"78.20","81.11"
2013-06-01,"147.79","151.75"
2013-07-01,"128.69","136.23"
2013-08-01,"98.18","97.29"
2013-09-01,"78.45","50.65"
2013-10-01,"98.41","88.12"
2013-11-01,"108.01","116.91"
2013-12-01,"134.92","147.47"
2014-01-01,"86.90","61.01"
2014-02-01,"88.36","90.11"
2014-03-01,"119.49","132.70"
2014-04-01,"129.52","151.15"
2014-05-01,"117.44","126.90"
2014-06-01,"140.88","166.68"
2014-07-01,"160.11","164.55"
2014-08-01,"235.07","237.08"
2014-09-01,"202.55","184.90"
2014-10-01,"148.06","154.92"
2014-11-01,"138.76","156.82"
2014-12-01,"282.83","345.40"
2015-01-01,"132.66","119.94"
2015-02-01,"93.32","81.47"
2015-03-01,"86.81","94.29"
2015-04-01,"115.08","120.26"
2015-05-01,"174.18","159.54"
2015-06-01,"166.64","155.99"
2015-07-01,"236.46","221.33"
2015-08-01,"233.43","221.57"
2015-09-01,"134.43","144.88"
2015-10-01,"144.18","143.05"
2015-11-01,"108.79","107.09"
2015-12-01,"180.47","197.22"
2016-01-01,"156.04","175.78"
2016-02-01,"109.27","119.31"
2016-03-01,"118.50","133.21"
2016-04-01,"130.90","159.39"
2016-05-01,"143.19","165.27"
2016-06-01,"197.35","159.95"
2016-07-01,"179.00","190.23"
2016-08-01,"97.74","93.26"
2016-09-01,"91.47","98.94"
2016-10-01,"91.06","99.94"
2016-11-01,"209.74","205.13"
2016-12-01,"161.12","147.29"
2017-01-01,"157.24","140.60"
2017-02-01,"145.24","110.25"
2017-03-01,"128.72","112.82"
2017-04-01,"114.81","101.30"
