"Date","JAPAN:Overall","JAPAN:Fiscal policy","JAPAN:Monetary policy","JAPAN:Trade policy","JAPAN:Foreign Exchange Policy"
1987-01-01,69.2616701200112,87.1522078339042,55.7515374332036,70.0222502231158,187.679339799758
1987-02-01,90.5916898875423,101.639816783885,53.715392050441,76.2618445462194,141.72255326365
1987-03-01,91.9859274858121,110.775496112147,72.1138872139505,193.443087835855,167.996186974738
1987-04-01,94.9701339722024,97.6353609704562,90.3652315242176,184.176769624212,173.162336856071
1987-05-01,75.7774419802711,92.6617004734388,51.533716573523,141.118770256067,99.1373498063345
1987-06-01,85.2485911530301,104.319402100324,70.0171582620583,142.962268358234,64.7536234478358
1987-07-01,60.0429565158902,73.0029715005037,18.9744251804905,49.8788008357491,59.5546366409342
1987-08-01,45.7470224039507,47.4216336431959,57.2972222444838,71.076696007204,97.349174767608
1987-09-01,59.6429768218878,60.8608877276395,70.381777664639,91.1495095789262,66.2828029497063
1987-10-01,98.4935645323801,110.76621534375,165.573008596719,117.702858711939,246.539541765723
1987-11-01,106.334891797122,117.511640948658,153.629520980014,140.380725238834,205.042409343976
1987-12-01,95.7187778547625,88.0169074841576,121.958895612508,168.514196672883,348.949167261661
1988-01-01,62.6746625411722,70.0754259787685,41.6833255131404,261.365939037146,159.912609874248
1988-02-01,54.1286931031914,54.3892367889906,37.357325771374,115.020977714302,71.787711948752
1988-03-01,54.2474560053151,43.9979676601661,33.1046305145845,141.352149109305,77.8144139451678
1988-04-01,51.0237258549892,41.1639413869609,24.8663506519235,148.554424721777,72.9113040085315
1988-05-01,49.9739265985099,43.6871006868199,42.6809446104889,41.8147801996925,62.5396768646388
1988-06-01,59.2334199859093,86.6155518823783,22.8146120561132,106.81752586281,67.1670226479239
1988-07-01,62.0886467435651,70.8807672538154,42.5689191359759,61.8207459481862,169.680239549867
1988-08-01,68.1192311233409,65.9137565008589,45.4921322385035,118.346256420443,75.5862336040578
1988-09-01,49.5975575271017,59.79937252864,34.0957433729415,96.8700417616877,66.1232771951505
1988-10-01,58.4612447350676,52.8706278498621,15.7272254859831,73.6884750713421,72.7890941013068
1988-11-01,76.2321927914201,75.1926177028489,40.6441965420925,94.1423017011754,122.425418995342
1988-12-01,59.0420489952146,63.5750407579417,21.3957254989095,87.5202572965589,69.5354112227161
1989-01-01,73.0256598539388,78.4004633391039,49.9128959537706,58.9762083835918,66.0797422060417
1989-02-01,68.3186644339846,76.386868410927,40.4070180944948,203.294094651108,66.6472531154558
1989-03-01,77.7079666041799,85.2910083836391,44.5367604704219,48.5646870450712,68.7632729981968
1989-04-01,92.6469107191876,102.779144425703,74.0990081978357,140.685113344634,75.9153639454354
1989-05-01,83.7384967885286,88.8956685328918,76.8305146115911,111.259244548762,135.405398734552
1989-06-01,80.4773457147342,78.4520452848871,87.7902042522133,197.101629359533,131.136572931011
