"Date","実質季節調整系列(前期比):国内総生産(支出側)","実質季節調整系列(前期比):民間最終消費支出","実質季節調整系列(前期比):民間最終消費支出:家計最終消費支出","実質季節調整系列(前期比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質季節調整系列(前期比):民間住宅","実質季節調整系列(前期比):民間企業設備","実質季節調整系列(前期比):民間在庫変動","実質季節調整系列(前期比):政府最終消費支出","実質季節調整系列(前期比):公的固定資本形成","実質季節調整系列(前期比):公的在庫変動","実質季節調整系列(前期比):財貨・サービス:純輸出","実質季節調整系列(前期比):財貨・サービス:輸出","実質季節調整系列(前期比):財貨・サービス:輸入"
2008-06-01,-0.7,-1.5,-1.5,-1.9,5,-2,,-1.2,-3.7,,,-1.9,-3
2008-09-01,-1.2,-0.4,-0.4,-0.5,3.8,-1.5,,0,-0.1,,,0.1,0.4
2008-12-01,-2.1,-0.9,-1,-1.2,0.1,-4.1,,0.4,-0.2,,,-12.7,1.7
2009-03-01,-4.8,-0.7,-0.7,-1,-8.3,-5.6,,0.3,3.3,,,-25.5,-16
2009-06-01,2,1,1,1.1,-10.1,-3.3,,1.4,7.2,,,9.1,-4.5
2009-09-01,-0.1,0.6,0.6,0.6,-6.8,-3.2,,1.2,-1,,,9.8,5.5
2009-12-01,1.5,0.8,0.8,0.9,-3.3,-0.7,,0.5,1.3,,,7.1,2.1
2010-03-01,1.1,0.6,0.6,0.7,2.9,0.4,,-1,-0.3,,,6,2.8
2010-06-01,1,0.3,0.3,0.3,1.5,1.8,,1.6,-5,,,4.8,5
2010-09-01,1.9,1.4,1.4,1.7,0.6,1.3,,0.4,0.1,,,2.7,2
2010-12-01,-0.6,-1.1,-1.2,-1.5,3,-0.4,,0.4,-2.5,,,0.4,0.5
2011-03-01,-1.5,-1.8,-1.9,-2.4,1,1.7,,0.5,-2.8,,,-1,1.5
2011-06-01,-0.5,1,1,1.2,-1.4,-1.5,,0.4,3.5,,,-7.5,-0.6
2011-09-01,2.3,1.3,1.3,1.5,5.1,2.4,,0.4,-2.6,,,9.3,3.3
2011-12-01,-0.1,0.5,0.4,0.4,-2.2,5.4,,0.2,-4.5,,,-2.7,1.7
2012-03-01,1.1,0.4,0.4,0.4,-2.7,-0.8,,1.2,8.7,,,3,1.8
2012-06-01,-0.4,0.6,0.6,0.6,4.4,0.6,,-0.3,-1,,,-1,2.1
2012-09-01,-0.4,-0.2,-0.3,-0.4,2,-0.5,,0.4,-3,,,-3.6,-0.3
2012-12-01,0.1,0.2,0.1,0.1,1.9,-0.2,,0.6,-0.1,,,-3.3,-2.5
2013-03-01,1.2,1.5,1.5,1.8,0.7,-0.7,,0,4.6,,,3.1,0.6
2013-06-01,1,0.9,0.9,1.1,1.3,4.5,,1.2,1.5,,,3.3,3.2
2013-09-01,0.6,0.1,0.1,0.1,3.4,2,,0.1,4.8,,,-0.1,2.1
2013-12-01,-0.1,-0.2,-0.2,-0.4,3.6,1.5,,0.1,1.1,,,-0.2,3
