"Date","Long-NEW ZEALAND DOLLAR","Short-NEW ZEALAND DOLLAR","Net-NEW ZEALAND DOLLAR","Names","Unit"
2014-01-07,14803,6937,7866,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-01-14,17539,7925,9614,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-01-21,17330,8774,8556,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-01-28,16606,6921,9685,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-02-04,14588,6556,8032,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-02-11,13176,5535,7641,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-02-18,15331,6425,8906,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-02-25,16529,5547,10982,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-03-04,19346,5914,13432,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-03-11,21155,6706,14449,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-03-18,24645,8894,15751,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-03-25,26243,8030,18213,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-04-01,25765,7285,18480,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-04-08,26521,6755,19766,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-04-15,26671,6824,19847,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-04-22,26056,5881,20175,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-04-29,22979,4499,18480,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-05-06,25027,4334,20693,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-05-13,23806,4466,19340,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-05-20,22486,4892,17594,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-05-27,22034,4090,17944,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-06-03,22400,4869,17531,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-06-10,20401,3546,16855,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-06-17,21671,17938,3733,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-06-24,24855,18703,6152,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-07-01,26563,17578,8985,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-07-08,26750,12334,14416,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-07-15,26570,11117,15453,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-07-22,26028,10896,15132,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-07-29,23552,8263,15289,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-08-05,18949,4449,14500,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-08-12,17913,4484,13429,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-08-19,16796,4764,12032,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-08-26,16405,4564,11841,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-09-02,15623,5451,10172,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-09-09,14369,4847,9522,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-09-16,9814,8694,1120,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-09-23,9779,7938,1841,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-09-30,10092,10028,64,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-10-07,10052,10152,-100,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-10-14,9171,11555,-2384,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-10-21,8526,10858,-2332,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-10-28,8506,12404,-3898,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-11-04,9737,13846,-4109,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-11-11,9244,10233,-989,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-11-18,9134,10381,-1247,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-11-25,9630,11924,-2294,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-12-02,9272,10952,-1680,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-12-09,9786,12081,-2295,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-12-16,9865,10504,-639,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-12-23,9786,11194,-1408,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2014-12-30,8236,10082,-1846,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF NZD 100,000) "
2015-01-06,9865,10772,-907,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-01-13,8396,10172,-1776,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-01-20,10941,12758,-1817,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-01-27,11908,15567,-3659,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-02-03,10537,15034,-4497,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-02-10,9272,15472,-6200,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-02-17,10021,15774,-5753,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-02-24,11107,15437,-4330,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-03-03,14597,15964,-1367,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-03-10,13347,15827,-2480,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-03-17,13117,14258,-1141,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-03-24,12149,13015,-866,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-03-31,16443,12412,4031,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-04-07,16950,11172,5778,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-04-14,17081,11078,6003,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-04-21,18473,9985,8488,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-04-28,18281,8101,10180,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-05-05,19585,10521,9064,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-05-12,14268,12498,1770,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-05-19,11192,13423,-2231,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-05-26,10426,15513,-5087,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-06-02,9432,19971,-10539,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-06-09,11097,22892,-11795,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-06-16,19382,28550,-9168,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-06-23,19661,33224,-13563,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-06-30,16949,33015,-16066,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-07-07,14679,33027,-18348,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-07-14,13504,33158,-19654,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-07-21,13200,29154,-15954,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-07-28,13550,26315,-12765,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-08-04,14391,26290,-11899,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-08-11,13931,24503,-10572,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-08-18,14012,23969,-9957,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-08-25,15388,21451,-6063,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-09-01,13543,21822,-8279,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-09-08,11677,23497,-11820,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-09-15,22462,24556,-2094,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-09-22,22990,26519,-3529,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-09-29,20995,24057,-3062,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-10-06,18357,19328,-971,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-10-13,18344,17652,692,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-10-20,19447,15688,3759,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-10-27,20339,14750,5589,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-11-03,21266,14648,6618,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-11-10,21267,15703,5564,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-11-17,22219,16971,5248,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-11-24,22603,18593,4010,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-12-01,22881,18124,4757,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-12-08,24452,15571,8881,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-12-15,16346,15227,1119,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-12-22,14946,15167,-221,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2015-12-29,14971,15117,-146,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-01-05,16842,15263,1579,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-01-12,17149,15608,1541,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-01-19,14938,17892,-2954,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-01-26,15166,20566,-5400,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-02-02,13492,21928,-8436,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-02-09,13666,22805,-9139,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-02-16,14465,22782,-8317,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-02-23,15968,22583,-6615,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-03-01,16593,20750,-4157,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-03-08,20419,22419,-2000,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-03-15,20524,19234,1290,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-03-22,19375,18358,1017,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-03-29,20255,18381,1874,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-04-05,20152,17249,2903,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-04-12,21472,17180,4292,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-04-19,22674,17323,5351,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-04-26,24459,17075,7384,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-05-03,25306,16106,9200,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-05-10,33573,24221,9352,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-05-17,32545,25857,6688,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-05-24,30414,25838,4576,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-05-31,31919,26415,5504,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
