"Date","EUROPE:European_News_Index","EUROPE:Germany_News_Index","EUROPE:Italy_News_Index","EUROPE:UK_News_Index","EUROPE:France_News_Index","EUROPE:Spain_News_Index"
1987-01-01,57.1073455810547,,,,69.9583435058594,
1987-02-01,49.240592956543,,,,60.3213195800781,
1987-03-01,79.6797485351562,,,,97.6102676391602,
1987-04-01,63.2588233947754,,,,77.4941024780273,
1987-05-01,47.488353729248,,,,58.1747665405273,
1987-06-01,71.7105178833008,,,,87.8477020263672,
1987-07-01,33.7910346984863,,,,41.3951072692871,
1987-08-01,37.7886962890625,,,,46.2923774719238,
1987-09-01,35.2423706054688,,,,43.1730422973633,
1987-10-01,99.4036102294922,,,,121.772636413574,
1987-11-01,124.739585876465,,,,152.810028076172,
1987-12-01,77.4388427734375,,,,94.8650817871094,
1988-01-01,83.6572189331055,,,,102.482795715332,
1988-02-01,65.5822677612305,,,,80.3404006958008,
1988-03-01,75.8819961547852,,,,92.957893371582,
1988-04-01,65.337287902832,,,,80.040283203125,
1988-05-01,72.2977523803711,,,,88.5670852661133,
1988-06-01,65.3702850341797,,,,80.0807113647461,
1988-07-01,44.8806953430176,,,,54.9803009033203,
1988-08-01,69.2923736572266,,,,84.8853988647461,
1988-09-01,72.8922958374023,,,,89.2954177856445,
1988-10-01,51.6954689025879,,,,63.3286209106445,
1988-11-01,82.8042831420898,,,,101.437919616699,
1988-12-01,61.8464508056641,,,,75.7639007568359,
1989-01-01,48.0178031921387,,,,58.8233604431152,
1989-02-01,47.9381332397461,,,,58.7257614135742,
1989-03-01,47.9473037719727,,,,58.7369956970215,
1989-04-01,41.0142517089844,,,,50.2437858581543,
1989-05-01,44.2736625671387,,,,54.2366638183594,
1989-06-01,81.8367385864258,,,,100.252647399902,
1989-07-01,71.6194152832031,,,,87.7360992431641,
1989-08-01,57.9130020141602,,,,70.9452972412109,
1989-09-01,64.9148712158203,,,,79.5228118896484,
1989-10-01,74.7310180664062,,,,91.5479125976562,
1989-11-01,88.7929382324219,,,,108.774215698242,
1989-12-01,54.8884963989258,,,,67.2401809692383,
1990-01-01,61.936695098877,,,,75.8744506835938,
1990-02-01,93.005256652832,,,,113.934448242188,
1990-03-01,109.691055297852,,,,134.375091552734,
1990-04-01,78.4212875366211,,,,96.0686111450195,
1990-05-01,51.5421714782715,,,,63.1408271789551,
1990-06-01,82.6787796020508,,,,101.2841796875,
1990-07-01,52.0898513793945,,,,63.8117485046387,
1990-08-01,45.300537109375,,,,55.4946250915527,
1990-09-01,128.502853393555,,,,157.420150756836,
1990-10-01,128.334197998047,,,,157.213531494141,
1990-11-01,100.463493347168,,,,123.071022033691,
1990-12-01,97.1881408691406,,,,119.058609008789,
1991-01-01,83.7212219238281,,,,102.56120300293,
1991-02-01,98.1236267089844,,,,120.204612731934,
1991-03-01,105.465225219727,,,,129.198303222656,
1991-04-01,98.6400756835938,,,,120.837280273438,
1991-05-01,94.9208755493164,,,,116.281135559082,
1991-06-01,122.416633605957,,,,149.964324951172,
1991-07-01,80.2839965820312,,,,98.3504943847656,
1991-08-01,79.842155456543,,,,97.8092269897461,
1991-09-01,62.6625595092773,,,,76.7636642456055,
1991-10-01,105.204620361328,,,,128.879058837891,
1991-11-01,80.8158874511719,,,,99.0020751953125,
1991-12-01,84.4709854125977,,,,103.479682922363,
1992-01-01,52.9707374572754,,,,64.890869140625,
1992-02-01,60.151294708252,,,,73.6872787475586,
1992-03-01,56.1643867492676,,,,68.8031845092773,
1992-04-01,70.4831161499023,,,,86.3440933227539,
1992-05-01,91.9048690795898,,,,112.586433410645,
1992-06-01,113.022476196289,,,,138.456176757812,
1992-07-01,102.320510864258,,,,125.345932006836,
1992-08-01,74.1504898071289,,,,90.8367462158203,
1992-09-01,179.835327148438,,,,220.304077148438,
1992-10-01,135.076354980469,,,,165.472900390625,
1992-11-01,113.558891296387,,,,139.113311767578,
1992-12-01,98.8855361938477,,,,121.137977600098,
1993-01-01,182.15576171875,178.752746582031,,,129.536987304688,
1993-02-01,120.845176696777,114.213027954102,,,99.1498184204102,
1993-03-01,152.966323852539,139.103103637695,,,142.020401000977,
1993-04-01,81.6069107055664,56.5012130737305,,,129.257598876953,
1993-05-01,143.736602783203,120.823997497559,,,163.310333251953,
1993-06-01,105.101455688477,88.1937561035156,,,119.878456115723,
1993-07-01,111.654640197754,97.8139190673828,,,114.905403137207,
1993-08-01,118.422843933105,123.00511932373,,,63.6919746398926,
1993-09-01,164.536834716797,170.838653564453,,,88.6894302368164,
1993-10-01,108.80492401123,103.007637023926,,,88.7453231811523,
1993-11-01,111.523582458496,93.7676620483398,,,126.645057678223,
1993-12-01,60.9956741333008,39.2935943603516,,,105.483016967773,
1994-01-01,107.005256652832,94.0515823364258,,,109.182205200195,
1994-02-01,64.0652847290039,46.1851005554199,,,95.949089050293,
1994-03-01,107.48511505127,104.710586547852,,,78.7513885498047,
1994-04-01,81.0881042480469,74.111930847168,,,74.1596832275391,
1994-05-01,72.145378112793,59.1260108947754,,,86.5576171875,
1994-06-01,103.820487976074,81.1861953735352,,,136.336349487305,
1994-07-01,104.212509155273,95.348503112793,,,95.0013961791992,
1994-08-01,87.2524719238281,68.0547256469727,,,115.109466552734,
1994-09-01,59.3992042541504,46.6827697753906,,,77.2976455688477,
1994-10-01,101.162666320801,73.9838638305664,,,148.322448730469,
1994-11-01,121.027519226074,114.620666503906,,,98.588752746582,
1994-12-01,124.678619384766,113.427284240723,,,115.611312866211,
1995-01-01,128.995727539062,107.056976318359,,,150.717956542969,
