"Date","GLOBAL:Global EPU Index with Current Price GDP Weights","GLOBAL:Global EPU Index with   PPP-adjusted GDP Weights"
1997-01-01,78.7269621557004,83.2649368983026
1997-02-01,82.1588905704933,85.6055120216108
1997-03-01,69.8599958571699,69.0617580823483
1997-04-01,75.1870161722865,78.0508927224081
1997-05-01,70.6685213608326,71.6648815682613
1997-06-01,78.3487616790563,79.6150106324974
1997-07-01,64.5520872936478,61.572082319197
1997-08-01,63.1539979069317,57.750909465601
1997-09-01,67.6825601775876,64.0119851999546
1997-10-01,81.8050447123404,77.863225371087
1997-11-01,94.76824551173,88.0079242290532
1997-12-01,105.748726525678,94.3128749836426
1998-01-01,97.8245218839907,93.0508628825232
1998-02-01,86.7134533634679,83.6574976639321
1998-03-01,87.0048151794586,81.6505772866647
1998-04-01,78.7822773068586,71.1997493314071
1998-05-01,84.8510550245719,77.6514117732141
1998-06-01,83.6669204259187,78.8248889615444
1998-07-01,101.271575000365,96.4261139626711
1998-08-01,115.30648192863,107.550780334714
1998-09-01,145.30721778112,144.234791256354
1998-10-01,118.536614092237,114.019296030233
1998-11-01,96.9195790837762,89.9105932709982
1998-12-01,91.8917879323189,89.2676391819458
1999-01-01,98.3206511468957,98.3723323247773
1999-02-01,81.215112290771,79.3169644273333
1999-03-01,65.3292321064288,62.3810059075564
1999-04-01,63.2442912500692,57.4085212021679
1999-05-01,70.9900356328597,72.3996867844249
1999-06-01,72.2800664103654,71.9262447809497
1999-07-01,73.1871337328959,72.4227265509302
1999-08-01,61.7531766817325,60.7771187707351
1999-09-01,67.0046842122123,65.1337419454914
1999-10-01,65.4740089602524,66.628647782635
1999-11-01,67.7507145415388,63.7903906672043
1999-12-01,59.6551346817285,55.2369909061291
2000-01-01,63.5617023924235,61.6444659929523
2000-02-01,57.9049933967803,51.3681631773955
2000-03-01,60.8563802417176,56.6394098303833
2000-04-01,63.1855076474264,58.4020239531202
2000-05-01,87.6182515176604,83.8768114117819
2000-06-01,88.5672663779899,81.9101690653875
2000-07-01,64.5304956303258,56.5612980333853
2000-08-01,53.0937700523065,49.478809785486
2000-09-01,61.6067314789112,63.0461942236201
2000-10-01,68.747489619129,67.1915328639799
2000-11-01,112.570359692729,110.543137592359
2000-12-01,104.850289893806,101.761611707447
2001-01-01,100.334247665541,94.8754507977645
2001-02-01,100.828231210166,94.0563175898578
2001-03-01,112.551535503568,105.099115585694
2001-04-01,110.33958882113,102.360039649905
2001-05-01,85.7762063102441,82.2549326616268
2001-06-01,72.8644766678111,67.3293728661622
2001-07-01,99.606289709799,94.2186316524825
2001-08-01,84.6075134075167,83.859082633059
2001-09-01,184.975226084299,178.363044316298
2001-10-01,176.170159720905,176.692914744913
2001-11-01,127.986221280585,124.546488641229
2001-12-01,110.262777792189,107.542955295163
2002-01-01,110.521311730443,110.814225137202
2002-02-01,92.8980928551183,92.7764881845796
2002-03-01,80.7698927085127,81.8885331640552
2002-04-01,86.5572530897346,86.8325101895286
2002-05-01,79.1856055945907,73.6689677667853
2002-06-01,98.3165031280472,99.4672309557287
2002-07-01,102.986768808322,97.3752747597701
2002-08-01,109.879274320395,108.769961502584
2002-09-01,128.348101461527,130.173161025262
2002-10-01,122.177585416469,124.705394176506
2002-11-01,125.162818477207,120.449759339347
2002-12-01,118.167409844608,110.835682774468
2003-01-01,132.976741621624,124.670461550644
2003-02-01,143.713566351163,134.389562967248
2003-03-01,178.754183300675,171.102259655339
2003-04-01,143.327055949369,135.125576429877
2003-05-01,107.932929328542,102.70765191363
2003-06-01,90.4286837745765,83.4518231618816
2003-07-01,81.2307334049932,79.8633325356397
2003-08-01,68.6633054761607,69.9261947498055
2003-09-01,83.54174925559,82.3047097398934
2003-10-01,76.9885689163244,79.0717916260857
2003-11-01,72.538587616256,72.1325396244719
2003-12-01,71.1861947102256,71.1897271184965
2004-01-01,72.0993072395122,77.3010574779718
2004-02-01,70.4129601674794,74.3190942038186
2004-03-01,79.3357284667882,76.759354859749
2004-04-01,74.7470734762925,73.1358182884779
2004-05-01,92.3701551649907,103.035394918136
2004-06-01,75.4391556705601,74.3518143867777
2004-07-01,74.9098414755974,70.1097518667139
2004-08-01,69.1700089817982,69.1060649699898
2004-09-01,79.3855825370356,77.5720850592566
2004-10-01,91.2784959538455,91.6192579599167
2004-11-01,84.9974656222381,82.5331374752796
2004-12-01,64.2957314072736,64.8185136345427
2005-01-01,57.4440450828307,63.3935079069539
2005-02-01,52.9791161780465,53.4941601166999
2005-03-01,54.5199686520596,59.9195444528442
2005-04-01,67.3689732756926,67.3048028671221
2005-05-01,71.310506625439,72.3245395278952
2005-06-01,69.6389574295641,67.8158736081164
2005-07-01,60.3076410361195,57.1304596881391
2005-08-01,62.8343978584299,63.7203815924418
2005-09-01,94.8827131847862,89.326513323937
2005-10-01,62.218350790727,60.990754519235
2005-11-01,66.604671894561,66.3888922156091
2005-12-01,58.9154461385507,60.2540812643339
2006-01-01,67.9562756622225,69.4649091225144
2006-02-01,56.1006516576291,54.9467161703663
2006-03-01,59.2914802243142,61.4520231726262
2006-04-01,73.1102237948877,78.2638128677524
2006-05-01,63.4449728036033,63.5394764521166
2006-06-01,73.889132983591,76.7042818412011
2006-07-01,66.6890447101203,64.5745544339599
2006-08-01,55.5220309934165,55.0711692329607
2006-09-01,59.2329761248104,60.1349144467888
2006-10-01,58.5149200258929,61.0895407815894
2006-11-01,55.5337951854462,57.1371645535533
2006-12-01,55.0705640467828,56.2073811088717
2007-01-01,64.9694353346579,68.445197699432
2007-02-01,53.0843522350606,56.3538037351553
2007-03-01,62.1046505527828,62.4979976124645
2007-04-01,59.124928494294,63.4902393854894
2007-05-01,55.0572905959134,54.1873442364227
2007-06-01,56.0366868451445,57.0860529172749
2007-07-01,50.2571021518914,57.7324221398979
2007-08-01,76.0038925304282,72.221508678342
2007-09-01,100.796712849898,94.4773935765645
2007-10-01,78.5919440324694,78.2658366588113
2007-11-01,84.0594874809792,82.6547172247332
2007-12-01,92.776216965848,92.6693090290899
2008-01-01,136.20395874688,135.264618624449
2008-02-01,105.46252102224,109.148663988338
2008-03-01,115.831455169949,123.020984791319
2008-04-01,92.1542407489348,99.0105586715522
2008-05-01,76.5151321827273,79.49910615429
2008-06-01,90.4851288896665,99.3535555888295
2008-07-01,91.6144021561752,99.7237576882524
2008-08-01,90.6296140377794,99.3248373236131
2008-09-01,174.461010981987,181.410261975003
2008-10-01,202.36302288382,200.919531930983
2008-11-01,143.669762800441,146.125335781081
2008-12-01,147.114974288255,154.026386404747
2009-01-01,147.718123376376,149.159244056472
2009-02-01,149.844079244273,147.055462054744
2009-03-01,132.333915337519,136.650029877213
2009-04-01,104.274942947447,108.498085136045
2009-05-01,102.011069358904,99.2941005076981
2009-06-01,100.90869959699,103.125554467454
2009-07-01,95.3252554008111,98.5939372436541
2009-08-01,93.2349184707499,91.6599486285549
2009-09-01,93.5949355519617,96.1764055217307
2009-10-01,79.8814632844181,77.2606654671369
2009-11-01,93.1400556231095,87.5573767500858
2009-12-01,93.6178365181656,89.943650618931
2010-01-01,108.718850155286,104.495804806162
2010-02-01,107.079185614284,108.299069364476
2010-03-01,99.8391352279022,96.2852799874602
2010-04-01,98.1043935606601,90.2625967870642
2010-05-01,147.127457347593,141.830833741939
2010-06-01,128.615953996327,125.709871021936
2010-07-01,135.64472433284,123.945574085858
2010-08-01,120.508857138349,114.819415192587
2010-09-01,132.679785473764,126.00397919777
2010-10-01,116.875667347063,107.097428571578
2010-11-01,123.927744517823,115.850050020039
2010-12-01,124.10018376502,122.477795654261
2011-01-01,106.415671624126,110.418292942509
2011-02-01,89.1124877192477,86.4204011873194
2011-03-01,123.302372939791,120.146894066957
2011-04-01,112.942174365631,112.577624733028
2011-05-01,82.8414906912914,76.5349044223439
2011-06-01,110.365353858106,100.811483308257
2011-07-01,159.843594099657,161.324080490953
2011-08-01,213.839209399307,210.590258616245
2011-09-01,189.401498835755,185.006020330566
2011-10-01,164.715420203542,170.800587346503
2011-11-01,204.841602314037,217.009437619664
2011-12-01,186.095085250084,199.508807934937
2012-01-01,169.132878119891,180.190230630506
2012-02-01,143.837645093425,151.558933793212
2012-03-01,137.516387002541,153.34004461494
2012-04-01,124.20287906117,127.306151799033
2012-05-01,159.478474842679,165.534329087337
2012-06-01,193.804985707775,204.192773604204
2012-07-01,164.625234282847,172.160594296625
2012-08-01,127.973134965984,135.536002559261
2012-09-01,150.829535591701,151.948785809514
2012-10-01,166.839481867724,175.642991247473
2012-11-01,181.266521444841,183.50137963358
2012-12-01,166.679177455135,164.386442680399
2013-01-01,168.801301104642,167.481697684785
2013-02-01,127.82515592724,129.26517571823
2013-03-01,139.530870461482,135.543257104451
2013-04-01,132.313510821408,132.899925053085
2013-05-01,103.987244323209,101.956730508826
2013-06-01,111.737736459817,106.316208565058
2013-07-01,107.640873787985,107.380663252867
2013-08-01,117.032097166283,123.9579083218
2013-09-01,126.933959058386,123.968215343759
2013-10-01,148.433170610456,138.297220788118
2013-11-01,87.4616491870447,84.5221928391372
2013-12-01,114.596174843401,115.645061859776
2014-01-01,107.042804033617,107.356699874215
2014-02-01,95.4595909400961,92.002192190912
2014-03-01,111.185839531554,109.073241094448
2014-04-01,91.5332002676361,92.6498475209815
2014-05-01,100.775117897058,101.987495131958
2014-06-01,81.6852250769719,82.7390296910589
2014-07-01,90.5380018771914,94.7409661769108
2014-08-01,101.801417011912,110.315865660479
2014-09-01,125.213541840638,131.430162696883
2014-10-01,125.290345494184,131.4352825874
2014-11-01,107.639290098542,112.224170273402
2014-12-01,110.927872864801,113.176046176101
2015-01-01,143.555757011654,153.598032480499
2015-02-01,110.104073088731,115.920115680305
2015-03-01,94.624560330052,95.6015190478474
2015-04-01,102.503319088541,101.500992738043
2015-05-01,107.101688301345,104.216580390752
2015-06-01,116.183845850666,113.369281977771
2015-07-01,134.798498660331,137.067507055567
2015-08-01,142.20581148524,145.139071466256
2015-09-01,194.79213570389,206.964656219854
2015-10-01,134.781390533254,139.205485451702
2015-11-01,97.6554830003186,95.6244516392253
2015-12-01,113.941689624399,118.484482622169
2016-01-01,159.518201930495,159.176707998431
2016-02-01,167.08292957464,170.16583071721
2016-03-01,173.98443678951,181.917139248179
2016-04-01,148.650803184157,155.661083550336
2016-05-01,141.595415324034,142.595720856411
2016-06-01,261.221238872128,255.750225350928
2016-07-01,272.531317632148,274.7143251098
2016-08-01,153.031367965815,160.450623296253
2016-09-01,164.395208399725,176.114545160131
2016-10-01,143.924271328586,143.108286093429
2016-11-01,277.097918318552,273.776858046984
2016-12-01,262.700802389566,287.169270045546
2017-01-01,292.138937399852,312.557538417308
2017-02-01,226.097788257874,241.391054743878
2017-03-01,238.314586926375,255.751769843112
2017-04-01,192.310621524355,192.859562679222
