"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,6.6,4.9,4.7,6.6,6.6,5,6.7,3.8,4.5,3.1,3.7,6.3,1.7,2.1,6.8,3.5,4.2,6.2,-10.2,-9.5,-6,-7.3,-10.4,-7.4,-10.9,-9.3,-5.6
2004-09-01,3.8,3.4,3.4,5.7,3.3,4.7,2.5,3.5,2.5,2.7,3.2,3.3,6.5,4,4.6,1.4,2.9,2.8,-10.4,-6.6,-5.9,-7.4,-0.7,-4.2,-11.1,-7.8,-6.2
2004-12-01,2.9,2.1,3.2,3.1,2.2,2.4,2.8,1.9,3.7,1.6,-0.2,3.4,1,2.4,2.3,1.7,-1,3.8,-11.3,-8.1,-5.2,-7.3,-7.9,-1.5,-12.1,-8.2,-6
2005-03-01,3.8,3.9,3.7,2.4,3.1,2.7,4.8,4.4,4.3,-0.8,0.8,3.9,-2.4,-2.6,3.4,-0.3,1.9,4.1,-14.2,-8.1,-6.7,-13.5,-7.7,-7.3,-14.3,-8.2,-6.6
2005-06-01,4.5,2.8,4.4,1.9,1.6,4.6,6.2,3.6,4.2,2.7,1,4.7,0.7,-0.1,7.7,3.4,1.3,3.8,-10,-9.1,-6.3,-7.5,-7,-4.2,-10.5,-9.5,-6.8
2005-09-01,4.4,3.1,3.9,3.1,2,3,5.3,3.9,4.4,3.3,2.6,2.7,1,0.9,4,4,3.1,2.3,-9,-6.7,-5.5,-9.1,-6.9,-4.5,-9,-6.7,-5.7
2005-12-01,3.6,3.8,4.2,1.8,2.3,2.1,4.8,4.7,5.7,0.7,1.8,4.4,0.7,1.8,4.8,0.7,1.7,4.2,-7.6,-7.5,-3.3,-5.1,-7.8,-2.6,-8.1,-7.4,-3.5
2006-03-01,3.3,3.7,3.2,2.6,0.1,2.3,3.8,6.1,3.9,-0.3,1.8,3,-0.5,-1,2.6,-0.3,2.8,3.1,-8.6,-4.3,-4.6,-10.7,-5,-5.6,-8.2,-4.2,-4.4
2006-06-01,3.5,3.3,3.3,-0.7,3,2,6.2,3.6,4.1,4,2.6,4.3,3.8,1.6,4.6,4.1,2.9,4.2,-6.4,-7.5,-4.4,-5.6,-6.2,-3,-6.6,-7.8,-4.7
2006-09-01,2.5,1.5,2.9,2.2,0.5,3.3,2.6,2.1,2.6,0.9,0.8,2.4,0,-0.5,-1.3,1.2,1.2,3.7,-9.3,-7.6,-7,-10.1,-4,-4.5,-9.1,-8.3,-7.5
2006-12-01,0.9,2.8,3.6,-1,3.7,2.5,2.2,2.2,4.3,0.3,-0.4,2.6,0,-3.2,2.3,0.4,0.6,2.7,-7.7,-9.4,-4.7,-5.2,-9.9,-1.6,-8.2,-9.3,-5.3
2007-03-01,2.6,1.6,2.4,1.6,0.1,1.9,3.2,2.7,2.8,-2.4,1.7,1.3,-5.6,-2,1.2,-1.3,2.9,1.3,-13.8,-7.6,-6,-13.3,-6.3,-3.2,-13.9,-7.9,-6.6
2007-06-01,2.3,1.5,2.7,0.7,1.3,2.2,3.5,1.7,3.1,3.4,2.6,3.6,4.3,2.5,3.5,3.1,2.6,3.6,-11.1,-11,-6,-14.9,-15.9,-4.7,-10.3,-10,-6.3
2007-09-01,1.8,0.7,2.5,0.8,0.1,4,2.5,1.1,1.5,-0.2,1.7,1.3,2.5,2.5,2.9,-1.1,1.4,0.8,-15.5,-9.3,-8.1,-14.8,-9.2,-6.4,-15.6,-9.4,-8.5
2007-12-01,-0.8,0.8,2.8,-2.1,1.2,1,0,0.6,4,-1.2,-1,0,0.1,0.1,2.4,-1.6,-1.4,-0.8,-13.9,-12.6,-9.2,-11.5,-11.3,-5.2,-14.4,-12.8,-10
2008-03-01,-0.8,1.5,1.1,0,-0.5,0.2,-1.4,2.8,1.8,-5.6,-1.6,0.6,-4.9,-1.9,0.1,-5.8,-1.5,0.8,-19.7,-14.8,-11.1,-16.4,-13.6,-10.6,-20.4,-15.1,-11.2
2008-06-01,-0.1,-0.4,0.4,-2.4,-1.1,-0.1,1.6,0.1,0.8,-3.1,-4.2,-0.9,-4.9,-7.5,0.6,-2.6,-3.2,-1.3,-20.5,-17,-13.1,-22.8,-16.5,-11.4,-20,-17.1,-13.5
2008-09-01,-2.6,-2,0.2,-3.6,-3.7,0.4,-1.9,-0.9,0,-8.6,-6,-3.7,-7.2,-4.9,-1.5,-9.1,-6.4,-4.4,-21.7,-18.6,-17.2,-27.3,-24.9,-19.3,-20.5,-17.3,-16.8
2008-12-01,-9.7,-7,-1,-13.1,-9.1,-2.5,-7.5,-5.5,0,-16.4,-16.2,-6.1,-20.9,-22.1,-8.1,-15,-14.3,-5.4,-28.3,-26,-18.4,-34.5,-31.8,-21.5,-27.1,-24.7,-17.7
2009-03-01,-17.9,-9,-4.1,-23.8,-13.7,-5,-13.9,-5.8,-3.5,-24.2,-17.1,-10.3,-36.5,-23.1,-12.2,-20.3,-15.1,-9.7,-34.1,-26,-19.2,-44.7,-31.8,-23.1,-31.9,-24.8,-18.3
2009-06-01,-5.9,-4.1,-0.1,-8.2,-4.2,-0.2,-4.3,-4,-0.1,-14.1,-11,-4.5,-19.5,-14.1,-5.8,-12.4,-10,-4.1,-27.5,-21.7,-14.4,-34.3,-24.1,-15.8,-26.1,-21.2,-14.1
2009-09-01,-1,-1.5,-0.2,2.7,-1.8,0.4,-3.6,-1.3,-0.7,-8.7,-6.9,-4.5,-5.1,-6.3,-3.1,-9.8,-7.1,-4.9,-25.9,-19.2,-13.5,-29.5,-19.1,-12.8,-25.2,-19.2,-13.6
2009-12-01,-1.8,-2.1,-0.2,1,0.9,-0.4,-3.7,-4.1,-0.1,-9,-10.6,-3.8,-5.9,-11.5,-4.9,-10,-10.4,-3.4,-23.7,-22.1,-12.2,-25,-23,-12.6,-23.5,-21.9,-12.2
2010-03-01,1.4,0.2,1.2,4.9,0.5,1,-1,0,1.3,-6.7,-4.2,-3,-6.7,-4.8,-3.8,-6.7,-4.1,-2.8,-19.3,-15.6,-11.9,-17.5,-17.5,-10.9,-19.7,-15.2,-12.1
2010-06-01,4.4,1.2,1.6,6,2.5,2.2,3.3,0.3,1.2,1,-0.1,2.6,2.3,2.4,5.2,0.6,-0.9,1.8,-18.9,-14.2,-10.5,-18.7,-14.7,-7.8,-18.9,-14.1,-11.1
