"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,3.2,17.4,15.5,5.7,18.3,18.1,1.5,16.7,13.7,-4.3,11.3,17.3,-0.1,15,24.8,-5.6,10.1,14.9,-20.1,-11.1,-1.1,-15.2,-14,1.6,-21.1,-10.4,-1.6
2004-09-01,12.8,11.7,12,13.4,12.3,10.5,12.5,11.3,13,7.8,11.5,8.5,8.8,13.1,7.2,7.5,10.9,8.9,-16.4,-3,-7.6,-14.9,-2.2,-4.2,-16.8,-3.2,-8.3
2004-12-01,4.9,9.4,2.8,2.2,7.3,3.5,6.8,10.8,2.4,2.7,0.8,4,1.4,-6.5,7.3,3.2,3.2,2.9,-12.8,-12.8,-6.5,-6.4,-17.5,-2.4,-14.2,-11.8,-7.3
2005-03-01,3.3,2.7,14.5,-2.3,3,14.2,7.2,2.4,14.7,-5.3,2.7,13.6,-15.7,9.2,16.6,-2,0.5,12.6,-21.3,-9.3,-5.9,-22.2,-10.1,-7.7,-21.1,-9.2,-5.5
2005-06-01,-2.3,15,15.1,-4,15.7,17.2,-1.1,14.6,13.6,-5.9,13.2,15.6,-9.9,13,19,-4.6,13.3,14.5,-17.8,-10.9,-3.7,-18.4,-11.9,-1.2,-17.6,-10.7,-4.2
2005-09-01,10.3,12.1,13.6,7.3,13.7,11.9,12.2,11,14.7,6.8,9.6,10.9,5.8,10.2,11.1,7.1,9.4,10.8,-14.9,-3.8,-4.6,-14.4,-4.5,-6.3,-15,-3.6,-4.3
2005-12-01,8.8,11.6,5.7,11,10.7,5.2,7.3,12.2,6,5.7,6,6.3,9.5,1.1,6.4,4.5,7.6,6.2,-6.5,-8.5,-4.6,-7.2,-5.9,1.7,-6.3,-9,-5.9
2006-03-01,6.9,6.3,14.7,3.7,6.2,13.5,9.1,6.4,15.6,1.3,5.5,13.1,-3.7,3.8,11.6,3,6.1,13.5,-13.5,-3.6,-2.4,-14.5,-1.1,-2,-13.3,-4.1,-2.5
2006-06-01,-3.6,16.7,14.3,-6.4,16.9,16.7,-1.8,16.6,12.7,-2.3,8.6,11.6,-5.1,8.5,18.5,-1.4,8.6,9.4,-17.2,-10.3,-2.9,-20.7,-9.4,-0.8,-16.5,-10.5,-3.3
2006-09-01,10.8,12.5,12,11.6,15.1,10,10.3,10.8,13.4,4.3,11.4,8,3.9,16.5,9.6,4.4,9.8,7.5,-14.7,-6.7,-10,-12.7,-1.6,-4.7,-15.1,-7.8,-11.2
2006-12-01,6.8,11.4,3.3,9.8,8.6,3.3,4.9,13.3,3.3,10.1,4,1.5,14.4,4.6,4.4,8.7,3.8,0.6,-6.6,-13.5,-6.3,-3.8,-15.3,-5.7,-7.2,-13.2,-6.4
2007-03-01,7.2,2.9,13.4,1.8,2.9,14.1,10.8,2.8,12.9,-2.2,2,9.1,-8.9,3.5,9.8,0,1.5,8.9,-18.1,-6.6,-3.1,-25.7,-8.6,-3.3,-16.6,-6.2,-3
2007-06-01,-3.9,14.6,14.7,-5.2,17.8,18.1,-3.1,12.6,12.5,-6.8,6.8,13,0.6,10.3,19.1,-9.2,5.6,11.1,-23.2,-14.6,-6.9,-26,-15.3,-4.8,-22.6,-14.4,-7.4
