"Date","労働力人口(万人)-男女計:原数値","労働力人口(万人)-男:原数値","労働力人口(万人)-女:原数値","就業者(万人)-男女計:原数値","就業者(万人)-男:原数値","就業者(万人)-女:原数値","雇用者(万人)-男女計:原数値","雇用者(万人)-男:原数値","雇用者(万人)-女:原数値","完全失業者(万人)-男女計:原数値","完全失業者(万人)-男:原数値","完全失業者(万人)-女:原数値","非労働力人口(万人)-男女計:原数値","非労働力人口(万人)-男:原数値","非労働力人口(万人)-女:原数値","完全失業率（％）-男女計:原数値","完全失業率（％）-男:原数値","完全失業率（％）-女:原数値"
1972-07-01,5320,3280,2041,5253,3235,2017,3526,2401,1125,67,44,23,2797,663,2134,1.3,1.3,1.1
1972-08-01,5293,3263,2031,5223,3215,2007,3468,2355,1112,70,47,23,2837,687,2150,1.3,1.4,1.1
1972-09-01,5289,3261,2029,5212,3209,2003,3453,2337,1116,77,51,26,2848,693,2156,1.5,1.6,1.3
1972-10-01,5323,3249,2075,5259,3207,2051,3505,2347,1158,64,41,23,2829,699,2130,1.2,1.3,1.1
1972-11-01,5249,3223,2026,5185,3181,2004,3526,2363,1162,63,41,22,2910,729,2181,1.2,1.3,1.1
1972-12-01,5194,3216,1977,5128,3173,1954,3559,2383,1176,66,42,23,2966,736,2229,1.3,1.3,1.2
1973-01-01,5163,3209,1955,5083,3156,1927,3550,2368,1181,80,52,29,3011,752,2259,1.5,1.6,1.5
1973-02-01,5183,3219,1964,5105,3166,1938,3554,2385,1169,78,53,26,3000,745,2255,1.5,1.6,1.3
1973-03-01,5264,3253,2011,5181,3198,1983,3585,2403,1182,82,53,29,2929,719,2211,1.6,1.6,1.4
1973-04-01,5327,3286,2041,5252,3238,2014,3572,2405,1167,75,48,27,2870,686,2184,1.4,1.5,1.3
1973-05-01,5369,3306,2064,5300,3261,2039,3611,2440,1171,69,45,23,2840,673,2167,1.3,1.4,1.1
1973-06-01,5421,3303,2119,5354,3258,2095,3659,2445,1214,68,44,23,2797,680,2117,1.3,1.3,1.1
1973-07-01,5415,3316,2100,5353,3274,2077,3651,2451,1202,63,41,22,2805,669,2135,1.2,1.2,1
1973-08-01,5352,3299,2053,5291,3263,2028,3624,2453,1171,61,37,24,2880,691,2189,1.1,1.1,1.2
1973-09-01,5377,3292,2085,5313,3253,2059,3621,2432,1190,64,39,25,2864,702,2163,1.2,1.2,1.2
1973-10-01,5462,3305,2158,5409,3274,2134,3637,2422,1214,54,32,23,2783,692,2092,1,1,1.1
1973-11-01,5375,3293,2083,5320,3255,2064,3666,2455,1211,56,38,18,2879,711,2168,1,1.2,0.9
1973-12-01,5202,3260,1943,5147,3223,1924,3645,2474,1172,55,37,19,3055,744,2311,1.1,1.1,1
1974-01-01,5135,3242,1893,5061,3194,1868,3570,2435,1135,74,48,25,3139,772,2367,1.4,1.5,1.3
1974-02-01,5170,3251,1919,5086,3194,1892,3594,2441,1154,84,56,27,3119,771,2349,1.6,1.7,1.4
1974-03-01,5278,3311,1967,5187,3253,1934,3643,2475,1168,91,57,34,3015,714,2301,1.7,1.7,1.7
1974-04-01,5363,3330,2034,5293,3283,2009,3638,2459,1180,70,45,25,2936,697,2238,1.3,1.4,1.2
1974-05-01,5409,3338,2071,5345,3295,2050,3678,2475,1204,64,43,21,2903,696,2208,1.2,1.3,1
1974-06-01,5409,3340,2070,5346,3300,2046,3676,2488,1188,63,40,23,2913,698,2215,1.2,1.2,1.1
1974-07-01,5360,3328,2033,5299,3289,2009,3631,2465,1167,61,38,23,2957,709,2248,1.1,1.1,1.1
1974-08-01,5351,3328,2023,5276,3281,1994,3619,2457,1162,75,46,29,2983,717,2267,1.4,1.4,1.4
1974-09-01,5354,3322,2033,5285,3277,2007,3632,2462,1170,70,45,25,2982,723,2258,1.3,1.4,1.2
1974-10-01,5380,3331,2050,5304,3283,2020,3648,2460,1188,76,47,28,2960,717,2243,1.4,1.4,1.4
1974-11-01,5308,3317,1992,5237,3271,1965,3674,2483,1191,71,45,26,3038,735,2303,1.3,1.4,1.3
1974-12-01,5206,3295,1911,5123,3242,1879,3645,2491,1153,84,53,31,3144,758,2385,1.6,1.6,1.6
1975-01-01,5116,3266,1851,5016,3201,1814,3587,2458,1129,100,65,36,3252,798,2454,2,2,1.9
1975-02-01,5136,3269,1868,5027,3195,1830,3597,2457,1141,109,73,37,3243,800,2443,2.1,2.2,2
1975-03-01,5235,3307,1929,5121,3233,1887,3633,2476,1158,113,73,41,3145,764,2382,2.2,2.2,2.1
1975-04-01,5306,3329,1976,5206,3265,1942,3611,2461,1150,99,65,35,3087,746,2341,1.9,2,1.8
1975-05-01,5417,3355,2062,5325,3297,2028,3631,2463,1167,92,58,34,2990,728,2262,1.7,1.7,1.6
1975-06-01,5432,3344,2088,5339,3283,2056,3662,2470,1192,93,62,32,2988,746,2242,1.7,1.9,1.5
1975-07-01,5419,3355,2064,5331,3298,2034,3678,2484,1194,88,57,30,3000,735,2265,1.6,1.7,1.5
1975-08-01,5389,3350,2039,5294,3290,2004,3647,2471,1176,95,60,35,3042,747,2295,1.8,1.8,1.7
1975-09-01,5390,3355,2035,5290,3288,2002,3636,2469,1167,100,67,33,3055,748,2307,1.9,2,1.6
1975-10-01,5397,3365,2032,5293,3295,1998,3646,2470,1176,104,70,34,3058,743,2315,1.9,2.1,1.7
1975-11-01,5344,3366,1978,5245,3299,1946,3702,2522,1180,99,67,32,3113,744,2369,1.9,2,1.6
1975-12-01,5291,3370,1921,5185,3294,1891,3731,2550,1181,106,76,30,3173,743,2430,2,2.3,1.6
