Date,相続税課税状況:本年分:課税価格:人員(人),相続税課税状況:本年分:課税価格:金額(百万円),相続税課税状況:本年分:相続税額(百万円)
1948/1/1,203794,8264,1591
1949/1/1,268241,17846,3876
1950/1/1,40466,10663,1886
1951/1/1,60896,9135,2681
1952/1/1,33385,7463,1940
1953/1/1,24375,21251,2198
1954/1/1,33842,31083,2782
1955/1/1,39664,37453,3456
1956/1/1,45402,43299,3952
1957/1/1,52330,53199,5566
1958/1/1,17706,36743,5373
1959/1/1,22141,46719,6810
1960/1/1,29499,70637,11284
1961/1/1,36656,98145,17832
1962/1/1,32252,121690,24065
1963/1/1,38254,150528,31879
1964/1/1,36208,164222,35414
1965/1/1,46176,209110,44342
1966/1/1,33420,218272,41352
1967/1/1,39842,286064,55779
1968/1/1,49727,364440,67577
1969/1/1,65271,511698,101281
1970/1/1,80314,701069,146396
1971/1/1,85865,940286,221179
1972/1/1,96775,1220121,307605
1973/1/1,94976,1623093,434193
1974/1/1,104870,1896613,509887
1975/1/1,51649,1512097,298812
1976/1/1,56073,1671994,333790
1977/1/1,62639,1884253,380502
1978/1/1,69648,2173659,447281
1979/1/1,77930,2446226,499813
1980/1/1,90870,3021507,657914
1981/1/1,105396,3828068,940057
1982/1/1,117989,4472948,1118109
1983/1/1,128514,5002124,1286847
1984/1/1,139708,5428725,1383164
1985/1/1,154650,6246312,1642858
1986/1/1,164220,6763730,1806641
1987/1/1,187026,8250859,2377467
1988/1/1,163711,9637996,2793188
1989/1/1,140983,11768592,3799578
1990/1/1,161254,14105780,4579888
1991/1/1,183567,17841679,6155964
1992/1/1,177688,18820149,5364840
1993/1/1,171532,16754530,4438669
1994/1/1,151565,14545447,3452447
1995/1/1,162626,15299793,3515104
1996/1/1,154884,14077369,3144554
1997/1/1,155356,13863486,3062211
1998/1/1,158184,13246765,2730281
1999/1/1,158874,13269879,2725838
2000/1/1,150317,12340937,2461769
2001/1/1,140716,11703456,2415135
2002/1/1,134294,10639661,2042269
2003/1/1,133999,10358210,1746586
2004/1/1,131279,9861773,1607472
2005/1/1,135803,10195255,1690375
2006/1/1,134722,10405555,1795516
2007/1/1,137957,10655731,1833270
2008/1/1,139695,10748248,1825414
2009/1/1,134493,10123038,1666079
2010/1/1,143287,10463014,1650306
2011/1/1,146270,10746849,1734373
2012/1/1,147920,10771838,1710053
2013/1/1,152638,11638092,2038309
2014/1/1,155889,11488074,1857638
2015/1/1,331666,16123992,2481058
