"Date","元号","新規求人倍率(倍)-季節調整値","有効求人倍率(倍)-季節調整値","就職率(対新規)(倍)-季節調整値","充足率(対新規)(倍)-季節調整値","新規求人数(人)-季節調整値","新規求職申込件数(件)-季節調整値","有効求人数(人)-季節調整値","有効求職者数(人)-季節調整値","就職件数(件)-季節調整値","新規求人倍率(-)-実数","有効求人倍率(-)-実数","就職率(対新規)(-)-実数","充足率(対新規)(-)-実数","新規求人数(人)-実数","新規求職申込件数(件)-実数","有効求人数(人)-実数","有効求職者数(人)-実数","就職件数(件)-実数"
2002-01-01,"14年1月",0.88,0.5,25,28.5,562867,641303,1417250,2806741,160547,0.79,0.5,16.6,21,592705,747803,1367944,2715390,124421
2002-02-01,"2月",0.88,0.51,25.1,28.4,574291,649489,1418030,2799359,163047,0.97,0.53,23.2,23.9,597159,616711,1437095,2724744,142786
2002-03-01,"3月",0.91,0.52,25.5,27.9,584478,641028,1438476,2769533,163206,0.99,0.56,28.9,29.1,665116,668621,1588968,2831569,193457
2002-04-01,"4月",0.9,0.52,25.6,28.4,587126,651968,1454844,2790471,166633,0.66,0.51,26.7,40.4,622618,941809,1571092,3096241,251455
2002-05-01,"5月",0.93,0.53,26.1,28,600442,644256,1469544,2798519,168243,0.83,0.48,28.5,34.3,573586,689247,1442680,3027811,196755
2002-06-01,"6月",0.94,0.53,26.5,28.1,597383,633633,1482944,2785189,168162,0.98,0.48,29.5,30.1,542573,554152,1380185,2857651,163356
2002-07-01,"7月",0.94,0.54,26.7,28.3,595328,630897,1497940,2769085,168440,0.99,0.51,26.7,27,620261,627229,1438959,2814685,167528
2002-08-01,"8月",0.97,0.55,27,28,606017,627882,1508949,2757565,169708,1.08,0.54,26,24.2,589527,548212,1451105,2692976,142436
2002-09-01,"9月",0.95,0.55,26.6,28,610380,643481,1525275,2751638,171060,1.03,0.57,27.9,27.1,616389,598856,1542417,2685284,166973
2002-10-01,"10月",0.95,0.56,26.5,27.9,615006,646743,1531529,2735473,171425,1.02,0.59,27.7,27.2,675867,665110,1609468,2723666,184061
2002-11-01,"11月",0.96,0.56,26.9,28,608816,634054,1538416,2723272,170399,1.1,0.6,29.4,26.8,583834,531189,1554343,2587151,156299
2002-12-01,"12月",1,0.57,27.7,27.7,619766,621224,1543149,2695250,171785,1.01,0.59,26.2,26.1,502145,499407,1453547,2463954,130864
2003-01-01,"15年1月",1,0.58,27.2,27.1,631081,628893,1562011,2672542,170975,0.92,0.59,18.4,20.1,665574,725692,1513982,2569925,133449
2003-02-01,"2月",1,0.59,26.8,26.9,633411,634244,1580390,2658463,170214,1.07,0.62,24.6,23,657654,613541,1602350,2578948,150948
2003-03-01,"3月",1.01,0.6,27.1,26.8,645082,636072,1596187,2648792,172565,1.09,0.65,30.7,28.3,721410,664704,1751645,2710557,204176
2003-04-01,"4月",1.03,0.61,27.5,26.8,640289,623576,1599118,2635816,171688,0.75,0.59,28.4,37.6,672118,891258,1715171,2925681,252840
2003-05-01,"5月",1.03,0.61,27.4,26.7,644419,628551,1608458,2630076,172260,0.91,0.55,29.4,32.2,620859,679810,1581452,2850509,199895
2003-06-01,"6月",1.03,0.62,27.6,26.8,653360,636034,1626840,2641811,175321,1.03,0.56,30,29.1,611145,592727,1534779,2745950,177616
2003-07-01,"7月",1.06,0.63,28.2,26.5,674017,633224,1659185,2632546,178377,1.14,0.59,28.8,25.4,680748,598345,1585243,2671591,172620
2003-08-01,"8月",1.1,0.65,28.6,26,682251,618308,1678747,2590448,177132,1.24,0.64,27.9,22.6,642414,519964,1603148,2518749,145104
2003-09-01,"9月",1.11,0.67,29,26.1,696374,624985,1724285,2558708,181529,1.18,0.7,30.1,25.5,726121,615878,1754752,2519722,185098
2003-10-01,"10月",1.16,0.7,29.6,25.5,707533,609045,1767154,2522895,180469,1.25,0.74,30.9,24.8,783548,628197,1857801,2513230,194360
2003-11-01,"11月",1.17,0.72,29.4,25.1,718043,612558,1805005,2489767,180174,1.38,0.77,33,23.8,654285,472647,1806082,2333073,155758
2003-12-01,"12月",1.2,0.75,29.6,24.7,739086,616155,1843136,2445455,182328,1.22,0.78,28.5,23.4,605846,498600,1734371,2224136,141853
2004-01-01,"16年1月",1.19,0.76,29.5,24.8,727646,610987,1847063,2436173,180322,1.12,0.77,20.4,18.2,773540,692003,1793241,2323671,140876
2004-02-01,"2月",1.18,0.76,29.1,24.6,708340,599117,1861047,2433996,174455,1.27,0.8,27,21.3,742918,586750,1881985,2350837,158170
2004-03-01,"3月",1.22,0.77,29.7,24.3,728859,597710,1870690,2429297,177404,1.24,0.82,32.7,26.4,869369,702685,2085432,2531766,229606
2004-04-01,"4月",1.25,0.78,29.8,23.8,742912,593522,1894342,2420859,176892,0.92,0.75,30.2,32.7,774089,839621,2016387,2688519,253208
2004-05-01,"5月",1.25,0.8,29.9,24,742782,595437,1914093,2390330,177918,1.13,0.72,32.7,28.9,655155,578700,1835170,2545115,189164
2004-06-01,"6月",1.27,0.82,29.6,23.4,756655,597384,1941397,2363266,176927,1.28,0.75,31.7,24.9,738865,578697,1851809,2474029,183722
2004-07-01,"7月",1.28,0.83,30.2,23.5,758830,590922,1956756,2353839,178317,1.39,0.78,31.1,22.3,752203,539871,1857204,2379991,167813
2004-08-01,"8月",1.3,0.84,30.6,23.6,762017,586783,1977315,2356460,179847,1.4,0.83,29.9,21.3,729308,520291,1916956,2315840,155374
2004-09-01,"9月",1.35,0.86,31.1,23,775746,573554,1994226,2326728,178321,1.45,0.88,32.2,22.3,810472,560237,2022091,2291829,180510
2004-10-01,"10月",1.4,0.88,30.8,22,796232,569360,2024127,2291595,175097,1.55,0.93,32.9,21.2,832228,537583,2088862,2247992,176787
2004-11-01,"11月",1.41,0.91,30.5,21.6,824611,582900,2086059,2296157,177898,1.57,0.98,33.3,21.2,795452,506131,2132912,2187211,168755
2004-12-01,"12月",1.41,0.92,31.6,22.3,803400,567901,2110285,2304379,179515,1.44,0.95,30.4,21.1,668331,463306,1993904,2088448,141066
2005-01-01,"17年1月",1.42,0.91,31.3,22,800057,563854,2094093,2302131,176207,1.32,0.93,21.7,16.4,841905,636786,2044534,2192501,138446
2005-02-01,"2月",1.46,0.91,31.6,21.6,800017,547355,2081978,2287769,172773,1.55,0.95,29.1,18.7,828807,533886,2107621,2209317,155263
2005-03-01,"3月",1.43,0.93,30.8,21.5,818414,571682,2115381,2280882,175920,1.47,0.98,34.3,23.3,936394,637835,2318151,2368556,218593
2005-04-01,"4月",1.43,0.94,31,21.7,821530,576006,2147268,2284240,178427,1.06,0.89,31.2,29.4,821630,776338,2243139,2519075,241891
2005-05-01,"5月",1.44,0.94,31,21.5,829649,576990,2169837,2299083,178673,1.28,0.85,33.1,25.8,756455,590262,2102680,2467401,195211
2005-06-01,"6月",1.47,0.95,31.5,21.4,834263,567611,2176190,2294769,178758,1.48,0.87,33.8,22.8,820660,554658,2083286,2408154,187408
2005-07-01,"7月",1.48,0.96,31.7,21.4,832003,561635,2177460,2275271,178056,1.61,0.9,33,20.5,797390,495073,2056859,2287939,163449
2005-08-01,"8月",1.47,0.96,31.6,21.4,834107,565998,2184931,2266042,178574,1.57,0.95,30.4,19.4,829185,528677,2136331,2244773,160837
2005-09-01,"9月",1.48,0.96,31,21,834544,565261,2172213,2252917,175403,1.58,1,32.1,20.3,873986,552325,2215738,2221944,177401
2005-10-01,"10月",1.43,0.98,30.6,21.4,829994,579015,2202128,2251769,177312,1.57,1.02,32.7,20.8,868499,551882,2269764,2215726,180418
2005-11-01,"11月",1.52,0.99,31.6,20.8,855905,562029,2211903,2242345,177818,1.71,1.06,34.9,20.4,826835,484015,2261061,2132251,168929
2005-12-01,"12月",1.54,1.01,31.7,20.6,841041,546012,2232602,2214418,173123,1.65,1.06,31.7,19.2,706294,428280,2118800,1992464,135606
2006-01-01,"18年1月",1.56,1.03,31.9,20.4,852862,546448,2245747,2179837,174108,1.46,1.06,22.1,15.2,900012,617699,2199430,2075606,136687
