曜日,男:平成28年:発見曜日別1日平均自殺者数,女:平成28年:発見曜日別1日平均自殺者数
総数,41.3,18.5
月,48.5,21.4
火,43.7,19
水,42.6,18.2
木,42.3,19.7
金,42.7,18.8
土,36.5,16.3
日,36.7,17.5
祝日・年末年始,33.4,16.1
