"Date","KOREA:Korea_Policy_Index","KOREA:Old_Korea_Policy_Index"
1990-01-01,130.163757324219,135.8567
1990-02-01,74.0231857299805,71.95517
1990-03-01,102.530769348145,100.3784
1990-04-01,119.055191040039,97.37166
1990-05-01,45.1915664672852,45.02889
1990-06-01,42.2078819274902,55.78086
1990-07-01,55.5263938903809,41.86844
1990-08-01,36.9753303527832,43.22753
1990-09-01,38.8268623352051,26.75036
1990-10-01,63.8962593078613,60.15491
1990-11-01,58.7487144470215,63.35158
1990-12-01,49.0184898376465,61.5161
1991-01-01,79.2553405761719,95.84926
1991-02-01,65.9989776611328,71.51222
1991-03-01,65.567741394043,66.25942
1991-04-01,52.4102172851562,58.03585
1991-05-01,35.1510810852051,33.50852
1991-06-01,46.6284446716309,47.47939
1991-07-01,29.3949394226074,27.15979
1991-08-01,128.497055053711,128.4192
1991-09-01,85.1686325073242,91.84383
1991-10-01,39.1018714904785,34.15998
1991-11-01,142.552688598633,126.3986
1991-12-01,153.0693359375,145.6991
1992-01-01,68.3845596313477,68.9526
1992-02-01,35.5635566711426,34.72795
1992-03-01,35.4526863098145,47.40716
1992-04-01,68.7018737792969,76.84663
1992-05-01,46.5799217224121,49.99055
1992-06-01,36.1277618408203,38.43527
1992-07-01,66.0776901245117,58.22072
1992-08-01,70.2761917114258,73.65998
1992-09-01,67.5439376831055,65.97911
1992-10-01,94.5409164428711,90.95963
1992-11-01,116.346046447754,105.9198
1992-12-01,127.865623474121,120.3175
1993-01-01,79.0909957885742,62.66169
1993-02-01,62.8886184692383,53.79426
1993-03-01,51.1257133483887,52.03403
1993-04-01,51.9736213684082,55.53305
1993-05-01,35.1368064880371,34.49445
1993-06-01,77.5840377807617,71.03892
1993-07-01,68.3749923706055,54.80836
1993-08-01,185.955780029297,178.6993
1993-09-01,74.3340454101562,79.47204
1993-10-01,64.7101821899414,71.81016
1993-11-01,110.152412414551,105.3709
1993-12-01,49.3420066833496,55.97197
1994-01-01,83.5950546264648,64.66389
1994-02-01,61.6548461914062,52.24184
1994-03-01,28.2265396118164,30.88558
1994-04-01,44.5349388122559,47.35135
1994-05-01,45.9755706787109,41.63644
1994-06-01,94.6178894042969,84.13855
1994-07-01,161.402740478516,153.777
1994-08-01,90.5387725830078,86.19006
1994-09-01,62.5452461242676,56.14573
1994-10-01,44.2111511230469,53.81288
1994-11-01,53.4075660705566,52.33887
1994-12-01,57.3184776306152,58.61654
1995-01-01,86.5160522460938,80.2886
1995-02-01,61.7520294189453,67.72939
1995-03-01,69.3896636962891,65.73677
1995-04-01,43.7158164978027,48.81225
1995-05-01,51.3567008972168,49.44815
1995-06-01,42.313892364502,36.11616
1995-07-01,44.8101387023926,37.95544
1995-08-01,34.6950721740723,37.82592
1995-09-01,34.8753356933594,34.81933
1995-10-01,44.5752220153809,40.69515
1995-11-01,56.319881439209,56.41658
1995-12-01,55.4060211181641,59.43376
1996-01-01,91.0370864868164,93.58197
1996-02-01,65.8788681030273,64.13294
1996-03-01,55.6285934448242,51.88519
1996-04-01,63.9382972717285,62.10226
1996-05-01,34.0081977844238,37.35868
1996-06-01,35.3905830383301,37.15921
1996-07-01,39.6803131103516,41.43427
1996-08-01,42.9930191040039,36.95514
1996-09-01,45.4201011657715,47.47264
1996-10-01,29.9296035766602,26.84014
1996-11-01,36.0322456359863,31.54406
1996-12-01,65.5656509399414,57.53063
1997-01-01,97.136962890625,90.74122
1997-02-01,96.1662750244141,82.65484
1997-03-01,58.7068977355957,48.74571
1997-04-01,42.3411331176758,39.46139
1997-05-01,22.9867610931396,21.70726
1997-06-01,48.5336723327637,51.87401
1997-07-01,42.1234359741211,36.44011
1997-08-01,50.3571739196777,46.11978
1997-09-01,57.0268745422363,51.92045
1997-10-01,105.812446594238,105.713
1997-11-01,92.3287353515625,85.44604
1997-12-01,151.223648071289,138.3449
1998-01-01,86.4161224365234,92.28212
1998-02-01,62.3140182495117,57.35515
1998-03-01,41.745662689209,39.82024
1998-04-01,49.6749114990234,47.05508
1998-05-01,50.6983184814453,53.20194
1998-06-01,63.7313270568848,57.1688
1998-07-01,54.7656021118164,54.48793
1998-08-01,88.5971603393555,88.32932
1998-09-01,141.222351074219,131.8423
1998-10-01,119.099784851074,114.8202
1998-11-01,89.5697479248047,76.70202
1998-12-01,95.4089431762695,80.58062
1999-01-01,82.2679214477539,73.10863
1999-02-01,59.5754318237305,61.4136
1999-03-01,41.4824371337891,43.57349
1999-04-01,54.7625503540039,48.69577
1999-05-01,63.056037902832,63.6405
1999-06-01,35.282642364502,35.75078
1999-07-01,57.8904495239258,59.53174
1999-08-01,29.7701053619385,35.32876
1999-09-01,52.7599220275879,48.30822
1999-10-01,75.4937210083008,71.22612
1999-11-01,48.7689743041992,45.33111
1999-12-01,22.5054187774658,23.66472
2000-01-01,55.3091316223145,59.60619
2000-02-01,33.0995788574219,32.40021
2000-03-01,33.2439498901367,38.49774
2000-04-01,74.8213119506836,73.15855
2000-05-01,127.327033996582,117.691
2000-06-01,116.337577819824,98.49869
2000-07-01,58.5398406982422,56.15712
2000-08-01,45.0410575866699,40.23294
2000-09-01,121.900451660156,111.8073
2000-10-01,66.2926406860352,62.0338
2000-11-01,233.621292114258,199.3976
2000-12-01,140.742050170898,132.7654
2001-01-01,123.280670166016,123.5528
2001-02-01,91.1048583984375,83.37411
2001-03-01,84.7410888671875,86.25491
2001-04-01,106.277366638184,102.4674
2001-05-01,93.5351867675781,86.43988
2001-06-01,75.8320236206055,75.05468
2001-07-01,113.992980957031,100.2265
2001-08-01,160.464813232422,138.7403
2001-09-01,184.198669433594,158.771
2001-10-01,169.762176513672,146.6187
2001-11-01,123.208122253418,103.5521
2001-12-01,111.940895080566,100.3315
2002-01-01,136.884231567383,122.7364
2002-02-01,59.2148399353027,54.62381
2002-03-01,62.7356796264648,49.73788
2002-04-01,75.8735275268555,69.45361
2002-05-01,104.883903503418,89.53858
2002-06-01,80.2823333740234,72.18441
2002-07-01,70.4213562011719,65.96803
2002-08-01,88.7228851318359,75.70475
2002-09-01,137.490356445312,117.1823
2002-10-01,195.911239624023,170.0322
2002-11-01,142.876403808594,120.7604
2002-12-01,162.965316772461,152.0016
2003-01-01,225.399703979492,196.9787
2003-02-01,300.1005859375,265.3148
2003-03-01,320.479949951172,274.787
2003-04-01,208.954635620117,198.8817
2003-05-01,141.765380859375,132.765
2003-06-01,155.906555175781,144.1585
2003-07-01,107.936996459961,89.46486
2003-08-01,95.3423843383789,92.74905
2003-09-01,77.8841781616211,82.1568
2003-10-01,153.904357910156,149.4806
2003-11-01,111.889976501465,103.724
2003-12-01,97.1115493774414,90.61034
2004-01-01,146.350723266602,147.76
2004-02-01,77.4670104980469,85.66062
2004-03-01,180.992401123047,162.6303
2004-04-01,141.916717529297,125.2227
2004-05-01,206.245880126953,184.1025
