"Date","内国債","内国債:普通国債","内国債:普通国債:(うち復興債)","内国債:普通国債:長期国債(10年以上)","内国債:普通国債:中期国債(2年から5年)","内国債:普通国債:短期国債(1年以下)","内国債:財政投融資特別会計国債","内国債:財政投融資特別会計国債:長期国債(10年以上)","内国債:財政投融資特別会計国債:中期国債(2年から5年)","内国債:交付国債","内国債:出資･拠出国債","内国債:株式会社日本政策投資銀行危機対応業務国債","内国債:原子力損害賠償・廃炉等支援機構国債","内国債:日本高速道路保有･債務返済機構債券承継国債","借入金","借入金:長期(1年超)","借入金:短期(1年以下)","政府短期証券","合計","政府保証債務"
2012-06-30,7970781,6788902,112542,4402919,1962192,423791,1100725,908663,192062,2133,18532,13333,39903,7254,542503,179396,363107,1248568,9761853,453654
2012-09-30,8037428,6882076,140989,4483155,1969429,429492,1075479,885503,189975,2135,20419,13333,36734,7254,541853,176158,365694,1253669,9832950,455059
2012-12-31,8121519,6910195,132326,4542755,1926459,440981,1133769,891904,241865,1976,22568,13247,32510,7254,536994,175704,361291,1313668,9972181,453914
2013-03-31,8214741,7050072,103283,4627718,1955225,467129,1092607,866009,226598,1977,21897,13247,27687,7254,548593,172451,376142,1152677,9916011,449458
2013-06-30,8304527,7163542,110114,4714321,1987687,461534,1075183,851105,224078,1281,24889,13247,22752,3633,548071,171989,376082,1233683,10086281,449945
2013-09-30,8396096,7278241,109687,4806189,2019883,452168,1055086,832010,223076,1281,25091,13247,19517,3633,546007,168656,377351,1169683,10111785,451906
2013-12-31,8490829,7396775,109234,4901949,2047235,447590,1032958,813666,219293,1445,26348,13247,16423,3633,552344,168258,384086,1136285,10179459,457480
2014-03-31,8537636,7438676,90135,4974520,2047082,417074,1042104,805464,236640,1746,25100,13247,13130,3633,555047,164582,390465,1156884,10249568,445326
2014-06-30,8638880,7533970,88550,5073456,2062901,397614,1012928,782928,230001,1320,26732,13247,48559,2124,546167,164179,381988,1209085,10394132,441146
2014-09-30,8678240,7586841,81346,5154033,2054622,378186,1001075,761992,239084,1375,27333,13247,46244,2124,544724,160842,383883,1166187,10389150,443891
2014-12-31,8742354,7684358,79352,5244943,2063809,375606,968317,725315,243002,1345,28300,13247,44663,2124,552769,160517,392252,1004082,10299205,446574
2015-03-31,8814847,7740831,82795,5329926,2032899,378006,989910,713412,276498,1355,26818,13247,42687,NA,549841,156876,392965,1168883,10533572,433984
2015-06-30,8881068,7841084,81997,5441774,2030998,368312,958480,695679,262802,781,27756,13247,39721,NA,539884,155830,384054,1151282,10572235,429366
2015-09-30,8945863,7912666,80578,5541847,2016838,353982,956855,684082,272773,786,27769,13247,34539,NA,538097,152451,385647,1060283,10544243,425458
2015-12-31,9022005,7994861,79308,5645107,1978956,370799,951188,649300,301888,1043,29141,13247,32525,NA,550513,152209,398304,873386,10445904,424421
2016-03-31,9108097,8054182,59456,5747899,1944342,361941,961155,628117,333038,1342,47612,13247,30560,NA,548075,148610,399465,837489,10493661,417806
2016-06-30,9184764,8167635,71396,5857892,1952418,357324,928291,605830,322461,1374,45640,13247,28577,NA,527120,147345,379775,822792,10534676,408291
2016-09-30,9261383,8254548,70946,5950602,1932521,371425,919510,595648,323862,1550,45868,13247,26660,NA,536869,143985,392884,827493,10625745,405351
2016-12-31,9289145,8263734,67073,6027888,1894076,341770,941224,588641,352584,1855,47265,13247,21820,NA,542597,143872,398725,832492,10664234,409652
2017-03-31,9349002,8305733,67213,6108230,1867764,329740,962509,586923,375587,2094,46277,13247,19142,NA,544200,140329,403870,822392,10715594,402832
