"Date","マネーストック(月次):M2/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):M3/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_M1/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):広義流動性/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):__現金通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):__預金通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_準通貨/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):_CD/平残前年比/マネーストック(2004年3月以前はマネーサプライ)(%)","マネーストック(月次):M2/平/マネーストック(億円)","マネーストック(月次):M3/平/マネーストック(億円)","マネーストック(月次):_M1/平/マネーストック(億円)","マネーストック(月次):広義流動性/平/マネーストック(億円)","マネーストック(月次):__現金通貨/平/マネーストック(億円)","マネーストック(月次):__預金通貨/平/マネーストック(億円)","マネーストック(月次):_準通貨/平/マネーストック(億円)","マネーストック(月次):_CD/平/マネーストック(億円)"
2009-08-01,2.8,2,0.7,0.2,0.7,0.7,3.1,2.5,7579114,10576771,4810780,14065558,726192,4084588,5515232,250759
2009-09-01,3,2.1,0.9,0.3,1.1,0.8,3.1,4.1,7577582,10564571,4793777,14046831,723565,4070212,5514116,256678
2009-10-01,3.4,2.4,1.1,0.9,0.6,1.2,3.2,10.7,7574488,10557680,4791813,14047351,723618,4068195,5511154,254713
2009-11-01,3.3,2.4,1.1,1.1,0.4,1.2,3,14,7592868,10574794,4797026,14069640,724068,4072958,5512685,265083
2009-12-01,3.1,2.2,1,1.4,0.4,1.1,2.8,13.5,7644352,10635184,4866683,14162556,741834,4124849,5511622,256879
2010-01-01,3,2.2,1.1,1.8,0.5,1.2,2.7,11.8,7668556,10662085,4866638,14227792,740248,4126390,5536800,258647
2010-02-01,2.7,2,0.9,1.6,0.8,0.9,2.5,11.6,7635656,10628685,4825172,14192522,731093,4094079,5537891,265622
2010-03-01,2.7,1.9,1,1.5,0.9,1,2.3,15,7662193,10648782,4878014,14182076,735484,4142530,5509778,260990
2010-04-01,2.9,2.1,1.5,1.9,1.4,1.5,2,18.5,7759675,10749117,4964280,14290743,736947,4227333,5505848,278989
2010-05-01,3.1,2.3,1.9,2.2,1.2,2.1,1.9,19.8,7773641,10763798,4971991,14326292,736778,4235213,5517701,274106
2010-06-01,2.9,2.2,1.7,1.9,1.2,1.8,1.6,23.5,7784280,10784515,4935095,14320648,730676,4204419,5544149,305271
2010-07-01,2.7,2.1,2.1,1.7,1.4,2.2,1.1,23.3,7788079,10799075,4937696,14312110,737462,4200234,5554968,306411
2010-08-01,2.8,2.1,2.2,1.6,1.4,2.3,0.8,28.2,7789657,10797344,4916443,14293542,736554,4179889,5559333,321568
2010-09-01,2.8,2.1,2.4,1.7,1.3,2.6,0.7,28.6,7788638,10789465,4908660,14285225,733044,4175616,5550687,330118
2010-10-01,2.8,2.1,3,1.7,1.8,3.2,0.3,27,7784699,10784091,4933890,14281828,736735,4197155,5526785,323416
2010-11-01,2.6,2,2.9,1.6,2,3,0.1,25.1,7788978,10786221,4935395,14289634,738432,4196963,5519229,331597
2010-12-01,2.3,1.8,3,1.2,2.1,3.2,-0.1,20.4,7822875,10829365,5014790,14331604,757566,4257224,5505290,309285
2011-01-01,2.3,1.8,3.2,0.8,2.2,3.4,-0.4,20.9,7843991,10852541,5023680,14342962,756209,4267471,5516138,312723
2011-02-01,2.4,1.8,3.6,0.9,2.5,3.8,-0.5,17.7,7818290,10822493,4996971,14316119,749295,4247676,5512827,312695
2011-03-01,2.6,2,4.2,1.2,2.8,4.4,-0.4,9.6,7860811,10857475,5082649,14346855,756415,4326234,5488671,286155
2011-04-01,2.7,2.1,5.1,1.1,2.6,5.5,-0.4,-0.7,7970763,10976124,5217948,14447222,756240,4461708,5481142,277034
2011-05-01,2.7,2.1,4.8,0.8,2.2,5.3,-0.3,1.9,7983201,10994798,5212867,14446245,753266,4459601,5502684,279247
2011-06-01,2.8,2.3,5,1,2.5,5.4,-0.2,3.7,8005162,11027795,5180261,14468200,748649,4431612,5530933,316601
2011-07-01,2.9,2.4,5.2,1.1,2.4,5.7,-0.2,3.6,8017214,11055295,5194483,14475383,755522,4438961,5543274,317538
2011-08-01,2.7,2.2,5,0.9,2.4,5.5,-0.1,-0.7,7997234,11034139,5163885,14428399,754277,4409608,5551060,319194
2011-09-01,2.7,2.3,5.2,0.8,2.6,5.7,0,-3.6,8000077,11033800,5164725,14405368,751875,4412850,5550877,318198
2011-10-01,2.8,2.3,5.1,0.8,2.4,5.6,0.2,-3.8,8002828,11036569,5185731,14398805,754144,4431587,5539865,310973
2011-11-01,3,2.5,5.2,0.9,2.3,5.7,0.3,-0.6,8024423,11057260,5190333,14416184,755578,4434755,5537266,329661
2011-12-01,3.1,2.6,5.3,0.9,2.3,5.8,0.4,-0.6,8069214,11114608,5280186,14455394,775298,4504888,5527042,307380
2012-01-01,3,2.6,5.1,0.8,2.2,5.6,0.5,-1.2,8082743,11132822,5279252,14461906,773110,4506142,5544661,308909
2012-02-01,2.9,2.5,4.9,0.8,2.1,5.4,0.5,-0.9,8047690,11095882,5242851,14429657,764877,4477974,5543102,309929
2012-03-01,3,2.6,4.4,0.9,1.9,4.8,0.6,6.7,8092707,11135445,5306402,14470069,770479,4535923,5523610,305433
2012-04-01,2.6,2.3,3.4,0.8,2,3.6,0.7,12.7,8178578,11228021,5394377,14560447,771609,4622768,5521463,312181
2012-05-01,2.2,1.9,2.9,0.6,2.2,3.1,0.5,10.7,8157056,11204900,5366404,14528135,769753,4596651,5529479,309017
2012-06-01,2.3,1.9,3.3,0.5,2.5,3.4,0.4,7.3,8185426,11242070,5350671,14546225,767277,4583394,5551837,339562
2012-07-01,2.3,1.9,3,0.6,2.5,3.1,0.6,7.4,8199760,11269945,5352006,14559623,774355,4577651,5576929,341010
2012-08-01,2.4,2.1,3.4,0.8,2.7,3.5,0.6,6,8191274,11261725,5337947,14540745,774778,4563169,5585313,338465
2012-09-01,2.4,2.1,3.6,0.9,2.7,3.7,0.6,3.1,8192726,11261178,5349706,14529272,771818,4577888,5583254,328218
2012-10-01,2.3,2,3.3,0.8,2.7,3.4,0.6,5.2,8183764,11253832,5354644,14514479,774143,4580501,5572159,327029
2012-11-01,2.1,1.9,3.2,0.8,2.8,3.2,0.6,3.1,8194243,11263088,5355053,14531638,776833,4578220,5568098,339937
2012-12-01,2.6,2.2,3.4,1.3,2.8,3.4,0.8,7.1,8277579,11359198,5457295,14641332,797375,4659920,5572814,329089
2013-01-01,2.7,2.3,3.6,1.6,3.1,3.6,0.8,6.2,8300190,11385766,5467896,14687566,797298,4670598,5589872,327998
2013-02-01,2.9,2.4,3.9,1.8,3,4,0.8,7.7,8283434,11366414,5445182,14689357,787716,4657466,5587507,333725
2013-03-01,3.1,2.5,4.1,2.1,2.8,4.3,0.8,6.1,8340013,11415546,5521856,14770824,791804,4730052,5569776,323914
2013-04-01,3.2,2.6,4,2.6,2.8,4.2,1,6.3,8438665,11517525,5609705,14932659,792896,4816809,5576062,331758
2013-05-01,3.5,2.8,4.4,3.1,3,4.7,1.1,4.3,8441060,11519130,5604232,14980862,792935,4811297,5592557,322341
2013-06-01,3.8,3.1,5.2,3.5,3.1,5.5,1.2,-0.1,8497143,11585764,5627827,15050603,790809,4837018,5618815,339122
2013-07-01,3.7,3,5.3,3.5,2.9,5.7,1.1,-1.8,8506159,11609097,5633862,15073372,797067,4836795,5640354,334881
2013-08-01,3.8,3,5.2,3.7,3.1,5.6,1.2,-0.2,8499668,11603438,5615917,15075685,798494,4817423,5649809,337712
2013-09-01,3.9,3.1,5.2,3.8,3.1,5.5,1.1,3.8,8508687,11611456,5625256,15084556,795958,4829298,5645509,340691
2013-10-01,4.1,3.3,5.5,4.1,3.2,5.9,1.2,3.1,8521673,11626564,5650230,15114682,798885,4851345,5639182,337152
2013-11-01,4.4,3.5,5.8,4.4,3.4,6.2,1.2,5.6,8550930,11656160,5664831,15163925,802914,4861917,5632274,359055
2013-12-01,4.2,3.4,5.7,4.3,3.4,6.1,1,5.4,8628947,11746818,5770520,15265240,824529,4945991,5629399,346899
2014-01-01,4.3,3.5,5.9,4.2,3.5,6.3,0.9,6.4,8660148,11779783,5790176,15310534,825009,4965167,5640606,349001
2014-02-01,4,3.2,5.4,4,3.5,5.7,0.9,4.1,8611814,11727552,5739698,15269590,815236,4924462,5640385,347469
2014-03-01,3.5,2.9,5,3.7,3.8,5.2,0.7,2.9,8635866,11741271,5799790,15314599,821604,4978186,5608106,333375
2014-04-01,3.5,2.8,5,3.4,3.3,5.3,0.6,1.7,8729799,11837007,5889519,15446674,818823,5070696,5610176,337312
2014-05-01,3.3,2.6,4.7,3.1,3.4,5,0.5,4.1,8716958,11824312,5870427,15448548,819837,5050590,5618186,335699
2014-06-01,3,2.5,4.3,3,3.4,4.4,0.4,6.8,8754747,11873269,5869680,15506396,817552,5052128,5641299,362290
2014-07-01,3,2.4,4,3.1,3.4,4.1,0.4,9.5,8758383,11893031,5860770,15534272,824340,5036430,5665589,366672
2014-08-01,3,2.5,4.2,3.1,3.6,4.3,0.4,8.3,8752789,11888891,5852154,15548762,826877,5025277,5670904,365833
2014-09-01,3.1,2.5,4.2,3.4,3.6,4.3,0.4,9.1,8771158,11905056,5863228,15594580,824399,5038829,5670103,371725
2014-10-01,3.2,2.6,4.3,3.4,3.6,4.4,0.5,9.8,8792582,11931967,5893581,15625474,827961,5065620,5668154,370232
2014-11-01,3.6,2.9,4.8,3.5,3.8,5,0.7,7.5,8857371,11996829,5939336,15696016,833039,5106297,5671580,385913
2014-12-01,3.6,2.9,4.7,3.6,3.6,4.9,0.7,9.3,8938682,12092641,6042419,15810852,854124,5188295,5671225,378997
2015-01-01,3.4,2.8,4.5,3.4,3.7,4.6,0.8,8.8,8954382,12112585,6048900,15830444,855138,5193762,5684145,379540
2015-02-01,3.5,2.9,4.9,3.4,3.8,5.1,0.7,5.3,8913022,12070005,6022054,15792449,846601,5175453,5682208,365743
2015-03-01,3.6,3,5,3.7,3.7,5.2,0.9,5.7,8947887,12097969,6089425,15879355,851993,5237432,5656086,352458
2015-04-01,3.6,3,5,4,4.3,5.1,0.9,4.1,9045668,12196404,6181769,16058776,853710,5328059,5663456,351179
2015-05-01,4.1,3.3,5.7,4.4,4.6,5.9,0.9,3.5,9074449,12219580,6204301,16122709,857196,5347105,5667716,347563
2015-06-01,3.9,3.2,5.5,4.4,4.7,5.6,0.8,2.7,9098522,12253019,6192069,16182949,856289,5335780,5689021,371929
2015-07-01,4,3.3,5.7,4.5,5.1,5.8,0.8,3.2,9112924,12281733,6194611,16231739,866633,5327978,5708818,378304
2015-08-01,4.2,3.4,5.7,4.5,5.3,5.8,0.9,3.9,9119739,12289591,6187605,16252908,870615,5316990,5721800,380186
2015-09-01,3.8,3.1,5.4,4.1,5.8,5.3,0.8,2.2,9105260,12271910,6177202,16239527,872182,5305020,5714876,379832
2015-10-01,3.7,2.9,5.4,4,6.1,5.2,0.5,1.7,9114457,12282142,6209607,16255342,878303,5331304,5695933,376602
2015-11-01,3.3,2.7,4.9,3.8,6.2,4.6,0.5,2.4,9152810,12320062,6227567,16288294,884484,5343083,5697271,395224
2015-12-01,3.1,2.5,4.5,3.5,6.3,4.2,0.3,3.4,9216060,12395582,6314409,16367836,907910,5406499,5689357,391816
2016-01-01,3.2,2.6,4.5,3.6,6.4,4.2,0.4,3.5,9237425,12422307,6321597,16400559,910072,5411525,5707753,392957
2016-02-01,3.2,2.6,4.9,3.4,6.7,4.6,0.3,-0.2,9197360,12381791,6316663,16336902,902994,5413669,5700018,365110
2016-03-01,3.2,2.6,5.6,3.1,6.7,5.4,0,-7.8,9233022,12412372,6430926,16375347,909066,5521860,5656508,324938
2016-04-01,3.4,2.8,6.9,2.6,6.8,6.9,-0.6,-14.4,9355749,12539140,6609137,16480708,911965,5697172,5629549,300454
2016-05-01,3.4,2.9,7,2.2,6.4,7.1,-0.6,-14.2,9386596,12573413,6638992,16471085,911688,5727304,5636073,298348
2016-06-01,3.5,2.9,7.3,1.9,6.1,7.4,-0.8,-12.1,9412623,12612745,6640997,16495285,908804,5732193,5644997,326751
2016-07-01,3.4,2.9,7.7,1.7,5.9,7.9,-1,-14.7,9422502,12641330,6668613,16502571,917505,5751108,5650060,322657
2016-08-01,3.3,2.8,7.7,1.5,5.6,8,-1.2,-15.4,9417190,12638933,6664197,16501763,919558,5744639,5653073,321663
2016-09-01,3.5,3,8.1,1.6,5.2,8.5,-1.2,-14.6,9425565,12643659,6674961,16494725,917549,5757412,5644207,324491
2016-10-01,3.7,3.1,8.4,1.5,4.9,9,-1.3,-17,9448095,12667930,6732088,16505568,921635,5810453,5623179,312663
2016-11-01,3.9,3.4,8.9,1.9,4.6,9.7,-1.3,-16.8,9514089,12735600,6784246,16593981,924901,5859345,5622506,328848
2016-12-01,4,3.4,9.3,2.2,4.4,10.1,-1.5,-19.2,9584377,12821752,6899103,16725540,948101,5951002,5605915,316734
2017-01-01,4,3.5,9.7,2.3,4.3,10.6,-1.8,-19.4,9611041,12854454,6932400,16784000,949605,5982795,5605229,316825
2017-02-01,4.2,3.6,9.5,2.5,4.4,10.4,-1.9,-14.7,9580823,12822674,6919854,16753290,943088,5976766,5591280,311540
2017-03-01,4.2,3.6,8.7,2.5,4.4,9.4,-1.8,-5.8,9618192,12854149,6992796,16789356,949123,6043673,5555193,306160
2017-04-01,4.3,3.6,8.1,2.7,4.2,8.8,-1.6,1.4,9755414,12994391,7147639,16921115,950597,6197042,5542208,304544
