"Date","AUSTRALIA:australia_epu_index"
1998-01-01,90.1236038208008
1998-02-01,109.528907775879
1998-03-01,62.5706977844238
1998-04-01,101.890144348145
1998-05-01,113.759552001953
1998-06-01,103.751426696777
1998-07-01,132.876541137695
1998-08-01,204.900833129883
1998-09-01,169.609222412109
1998-10-01,101.411209106445
1998-11-01,90.0553207397461
1998-12-01,52.150936126709
1999-01-01,46.9680480957031
1999-02-01,65.4346008300781
1999-03-01,44.9565353393555
1999-04-01,49.8893356323242
1999-05-01,104.090255737305
1999-06-01,57.5302543640137
1999-07-01,45.385425567627
1999-08-01,39.4928817749023
1999-09-01,74.7808609008789
1999-10-01,64.87451171875
1999-11-01,54.5239219665527
1999-12-01,36.8575019836426
2000-01-01,69.7886505126953
2000-02-01,63.0033187866211
2000-03-01,52.3004112243652
2000-04-01,73.9399719238281
2000-05-01,104.062492370605
2000-06-01,99.2207565307617
2000-07-01,70.9608306884766
2000-08-01,62.6750106811523
2000-09-01,45.1203651428223
2000-10-01,50.5681915283203
2000-11-01,101.783752441406
2000-12-01,73.7834167480469
2001-01-01,98.7973709106445
2001-02-01,127.343391418457
2001-03-01,110.612419128418
2001-04-01,74.3681030273438
2001-05-01,96.9888000488281
2001-06-01,61.672492980957
2001-07-01,58.3167839050293
2001-08-01,85.8534317016602
2001-09-01,216.167114257812
2001-10-01,271.17578125
2001-11-01,145.553588867188
2001-12-01,104.725425720215
2002-01-01,41.1250877380371
2002-02-01,69.9846878051758
2002-03-01,60.0226173400879
2002-04-01,53.5286598205566
2002-05-01,55.3749618530273
2002-06-01,71.8731384277344
2002-07-01,98.9700469970703
2002-08-01,105.577484130859
2002-09-01,120.237594604492
2002-10-01,100.881729125977
2002-11-01,129.513946533203
2002-12-01,103.220268249512
2003-01-01,123.802085876465
2003-02-01,226.224426269531
2003-03-01,230.925064086914
2003-04-01,202.988327026367
2003-05-01,140.880172729492
2003-06-01,65.2303237915039
2003-07-01,60.743091583252
2003-08-01,39.2898406982422
2003-09-01,49.0920715332031
2003-10-01,37.6795310974121
2003-11-01,58.2010383605957
2003-12-01,55.3595199584961
2004-01-01,54.2492485046387
2004-02-01,62.6532783508301
2004-03-01,45.4590950012207
2004-04-01,42.780445098877
2004-05-01,89.2201080322266
2004-06-01,46.3817481994629
2004-07-01,41.2273941040039
2004-08-01,70.7429885864258
2004-09-01,61.05322265625
2004-10-01,88.7646560668945
2004-11-01,43.547966003418
2004-12-01,43.847225189209
2005-01-01,34.6577529907227
2005-02-01,32.4105224609375
2005-03-01,34.3871231079102
2005-04-01,69.6450576782227
2005-05-01,54.803352355957
2005-06-01,28.8861293792725
2005-07-01,44.3126945495605
2005-08-01,37.9139556884766
2005-09-01,46.4343414306641
2005-10-01,49.8282585144043
2005-11-01,48.8961029052734
2005-12-01,34.2700691223145
2006-01-01,38.3362236022949
2006-02-01,47.4127807617188
2006-03-01,31.8427810668945
2006-04-01,37.9134178161621
2006-05-01,60.7423515319824
2006-06-01,50.0169715881348
2006-07-01,48.1921730041504
2006-08-01,66.8813705444336
2006-09-01,40.8932762145996
2006-10-01,43.5647392272949
2006-11-01,51.6624183654785
2006-12-01,39.222599029541
2007-01-01,25.6619720458984
2007-02-01,37.1954650878906
2007-03-01,28.17453956604
2007-04-01,28.8729476928711
2007-05-01,37.8954162597656
2007-06-01,32.2055168151855
2007-07-01,27.2090606689453
2007-08-01,80.2534713745117
2007-09-01,75.563835144043
2007-10-01,81.739143371582
2007-11-01,87.9712600708008
2007-12-01,97.6118927001953
2008-01-01,141.856552124023
2008-02-01,118.648468017578
2008-03-01,115.167343139648
2008-04-01,88.4257431030273
2008-05-01,140.975189208984
2008-06-01,102.862533569336
2008-07-01,113.392692565918
2008-08-01,134.681549072266
2008-09-01,206.118011474609
2008-10-01,290.991821289062
2008-11-01,186.36181640625
2008-12-01,185.854797363281
2009-01-01,101.057235717773
2009-02-01,196.284317016602
2009-03-01,118.316223144531
2009-04-01,90.1386871337891
2009-05-01,130.036392211914
2009-06-01,75.5069961547852
2009-07-01,78.2236328125
2009-08-01,125.647987365723
2009-09-01,79.1964645385742
2009-10-01,78.0350952148438
2009-11-01,99.8732299804688
2009-12-01,96.4346008300781
2010-01-01,86.4016571044922
2010-02-01,104.779876708984
2010-03-01,113.422325134277
2010-04-01,92.6232070922852
2010-05-01,279.42529296875
2010-06-01,223.951309204102
2010-07-01,184.577545166016
2010-08-01,205.132659912109
2010-09-01,155.93391418457
2010-10-01,112.994773864746
2010-11-01,136.426849365234
2010-12-01,89.5349044799805
2011-01-01,84.4344100952148
2011-02-01,75.6676864624023
2011-03-01,114.818092346191
2011-04-01,63.9361610412598
2011-05-01,117.641876220703
2011-06-01,152.592025756836
2011-07-01,229.396835327148
2011-08-01,337.043853759766
2011-09-01,200.574188232422
2011-10-01,200.259475708008
2011-11-01,287.168365478516
2011-12-01,218.746856689453
2012-01-01,140.266357421875
2012-02-01,227.51042175293
2012-03-01,134.020202636719
2012-04-01,127.21565246582
2012-05-01,244.489852905273
2012-06-01,236.638031005859
2012-07-01,162.615768432617
2012-08-01,110.638465881348
2012-09-01,126.696815490723
2012-10-01,178.720565795898
2012-11-01,115.930435180664
2012-12-01,193.357437133789
2013-01-01,110.672325134277
2013-02-01,98.2016830444336
2013-03-01,81.9925689697266
2013-04-01,106.788627624512
2013-05-01,161.500366210938
2013-06-01,117.86759185791
2013-07-01,179.246002197266
2013-08-01,192.509750366211
2013-09-01,125.56664276123
2013-10-01,108.585754394531
2013-11-01,74.0932846069336
