Date,家庭問題,健康問題,経済・生活問題,勤務問題,男女問題,学校問題,その他,不詳
2007/1/1,3751,14684,7318,2207,949,338,1500,9884
2008/1/1,3912,15153,7404,2412,1115,387,1538,8759
2009/1/1,4117,15867,8377,2528,1121,364,1613,8411
2010/1/1,4497,15802,7438,2590,1103,371,1533,8118
2011/1/1,4547,14621,6406,2689,1138,429,1621,8070
2012/1/1,4089,13629,5219,2472,1035,417,1535,7243
2013/1/1,3930,13680,4636,2323,912,375,1462,7027
2014/1/1,3644,12920,4144,2227,875,372,1351,6402
2015/1/1,3641,12145,4082,2159,801,384,1342,6044
2016/1/1,3337,11014,3522,1978,764,319,1148,5600
