"Date","特定サービス産業動態統計調査(調査19業種)総合","対事業所サービス業(調査10業種)総合","対事業所サービス業(調査10業種)総合:物品賃貸業(リース)","対事業所サービス業(調査10業種)総合:物品賃貸業(レンタル)","対事業所サービス業(調査10業種)総合:情報サービス業","対事業所サービス業(調査10業種)総合:広告業","対事業所サービス業(調査10業種)総合:クレジットカード業","対事業所サービス業(調査10業種)総合:エンジニアリング業","対事業所サービス業(調査10業種)総合:インターネット附随サービス業","対事業所サービス業(調査10業種)総合:機械設計業","対事業所サービス業(調査10業種)総合:自動車賃貸業","対事業所サービス業(調査10業種)総合:環境計量証明業"
2009-01-01,106,106.2,123,109,104.7,102.8,100.1,72.5,85.1,114.2,104.3,107
2009-02-01,105.3,105.5,119.2,106.9,104.7,101.6,99.1,97.6,86.3,109.7,104,102.6
2009-03-01,106.2,107.2,118.4,105.7,113,101.6,98,81.1,87,96.7,105.3,101.6
2009-04-01,103.2,103.5,112.3,105.3,103.3,102.3,98.4,94.4,87,94.8,103.4,104.4
2009-05-01,104.3,105.2,116.7,105,103.7,98.8,95.3,128.4,88.1,88.5,103,104.9
2009-06-01,105,105.9,118.5,103.4,103.2,98.7,97.5,109.6,88,89.4,103.5,102.8
2009-07-01,105.7,108.4,123.5,103.1,103,96.6,98.9,165.7,87.4,88.5,102.8,103.2
2009-08-01,102.2,102.4,113.9,103.1,99.7,102.6,98.8,92.8,88.6,89.6,101.4,95.9
2009-09-01,101.4,101.2,100.6,104.2,101.3,98.1,100.8,110.3,90.9,88.3,101.8,101.7
2009-10-01,102.5,102.9,108.6,103.8,100.3,104.1,98.6,111.8,94.7,89.2,101.3,102.2
2009-11-01,99.1,98.4,99.8,102.9,98.3,99,98.7,86.8,91.6,90.2,101.5,96.1
2009-12-01,102.3,102.3,100.2,102.3,100.9,89.8,99.5,137.1,91.5,92,101.5,102
2010-01-01,99,97.2,89.3,101.5,101.1,94.2,99.6,74.8,96.2,94.1,101.9,101
2010-02-01,99.7,99.5,104.5,100.7,101.2,96.5,99.1,89.4,95.7,96.3,99.8,102.4
2010-03-01,100.2,100.9,106,101,103,96.7,100.1,105.4,96,93.8,100.6,105.1
2010-04-01,101.2,101.9,104.4,99.1,102.1,99.5,100,106.6,98.8,97.1,100.1,98
2010-05-01,101.3,101.7,118.7,98.3,101.7,98.9,99,79.5,99.4,100.8,99.9,98.2
2010-06-01,97.4,97.1,84.4,98,97.8,101.6,99.2,98.4,101.1,98.9,100.3,97.4
2010-07-01,99.8,99.8,95.6,100,99.9,104.3,98.3,105.1,101.4,99.1,99.9,97.9
2010-08-01,100.3,100.6,91.4,100.4,99.5,97,99.9,116.8,102.3,102.3,100,100
2010-09-01,101.4,101.6,108.5,100.6,100,100.2,100.6,96.2,101,100.7,100,101.6
2010-10-01,100.5,100.6,99,99.8,96.3,110,99.8,115.1,102.1,105.1,99.2,98.3
2010-11-01,99.5,99.3,94.2,100.5,97.3,108.1,104.2,101,102.9,105.8,100.5,96.6
2010-12-01,99.3,98.5,97.1,99.4,97.6,94.2,100.1,107.1,103.3,106,97.8,96
2011-01-01,101.7,102.1,97,100.2,97.6,102.9,99.1,126.4,100.9,108.5,98,94.9
2011-02-01,101.5,101.4,92.4,100,96.4,104.2,100.8,172.1,101.2,109,98.7,93.8
2011-03-01,92.9,94.4,91,99,95.4,91.2,91.5,105.8,98.4,109.4,97.8,93.4
2011-04-01,98.3,100.1,107.4,104.7,97.6,90.8,94.7,90.8,103.1,113.1,98.9,95.2
2011-05-01,96.1,95.7,92.2,107.8,95.7,90.6,99,101.5,103.4,112.3,97.8,92.8
2011-06-01,99.2,99.9,91.5,111.3,97.5,98.6,102.3,107.8,103.6,113.6,97.5,98.3
2011-07-01,98.2,97.6,90.8,106.8,96.3,101.6,103.6,89.9,106.9,108.2,97.8,94.8
2011-08-01,101,100.9,94.3,107.5,97.4,102.1,103,109.9,107.3,114.4,97.9,101.7
2011-09-01,99.5,99.2,92.7,105,95.8,107,103.3,113.3,108.8,114.2,97.4,98
2011-10-01,101,100,93.6,105.8,98.5,105.2,104.2,96.8,111.4,112.2,97.5,94.9
2011-11-01,104.8,106.2,117.4,105.2,101.2,105.6,103.9,117.2,112.2,115.3,96.9,98.1
2011-12-01,102.1,101.5,92.7,105.7,98.2,106,104.6,124.4,112.9,115.2,96.9,96.8
2012-01-01,101.8,101.7,91.2,106.2,96.8,104.6,105.1,132.2,115.4,113.3,95.6,96.5
2012-02-01,101.5,100.4,95,109.2,98.9,104.9,107.8,104.3,116.8,116.2,96.9,100.7
2012-03-01,99.2,99.2,96.1,109.6,97.7,106,105.8,107.7,117.3,118.7,97.6,99.7
2012-04-01,102,102.1,103.8,109.2,95.6,106.4,107,114.5,115.3,109.7,97.4,98.5
2012-05-01,102.3,102.6,105.2,108.9,99.1,107.3,106.6,120.3,115.3,115.3,97.9,103.6
2012-06-01,100.6,100.4,99.2,109.8,97.7,105.8,106.3,83.9,114.2,114.7,97.3,98.5
2012-07-01,102.9,103.3,101.7,107.8,102.1,104.8,107.2,98.1,114,114.7,97.2,100.5
2012-08-01,101.2,100.9,107.2,108,100.1,102.8,107.3,64.9,114.7,111.5,97.6,101.3
2012-09-01,102.5,102.3,106.7,108.1,98.2,105.1,108.2,87.5,115.7,115.2,97.1,98.3
2012-10-01,102.3,101.9,101.1,108.7,97.9,103.8,110.1,102.5,116.7,121.1,97,101.1
2012-11-01,102.8,103,102.8,109.9,98.7,106.4,110.9,106,117.3,114,97,101.8
2012-12-01,102.5,102.4,110.2,110.8,96.5,106.5,111.4,93.9,118.2,112,97.3,99.6
2013-01-01,101.6,101,100.4,109.6,98.4,105.8,112.6,81.9,117.5,112.8,97.4,104.8
