"ID","期間","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:取得","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:処分","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:ネット","1.対外証券投資【居住者による取得・処分】:中長期債:取得","1.対外証券投資【居住者による取得・処分】:中長期債:処分","1.対外証券投資【居住者による取得・処分】:中長期債:ネット","1.対外証券投資【居住者による取得・処分】:小計:ネット","1.対外証券投資【居住者による取得・処分】:短期債:取得","1.対外証券投資【居住者による取得・処分】:短期債:処分","1.対外証券投資【居住者による取得・処分】:短期債:ネット","1.対外証券投資【居住者による取得・処分】:合計:ネット","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:取得","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:処分","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:ネット","2.対内証券投資【非居住者による取得・処分】:中長期債:取得","2.対内証券投資【非居住者による取得・処分】:中長期債:処分","2.対内証券投資【非居住者による取得・処分】:中長期債:ネット","2.対内証券投資【非居住者による取得・処分】:小計:ネット","2.対内証券投資【非居住者による取得・処分】:短期債:取得","2.対内証券投資【非居住者による取得・処分】:短期債:処分","2.対内証券投資【非居住者による取得・処分】:短期債:ネット","2.対内証券投資【非居住者による取得・処分】:合計:ネット"
471,"2014．1．5～1．11",9272,7779,1492,36160,40605,-4445,-2953,2154,2259,-105,-3058,101558,103744,-2186,10663,18121,-7458,-9644,59451,31642,27809,18165
472,"2014．1．12～1．18",7733,8239,-506,25842,28721,-2879,-3385,1948,1132,815,-2569,78856,78135,722,11281,11429,-148,573,44062,44600,-539,35
473,"2014．1．19～1．25",6604,8130,-1526,23006,26576,-3570,-5096,1180,648,532,-4565,90079,91624,-1546,16114,9882,6233,4687,60702,44042,16661,21348
474,"2014．1．26～2．1",6448,7519,-1071,35735,53893,-18158,-19229,1565,1073,493,-18736,99072,106591,-7519,15838,14280,1558,-5961,38476,37427,1049,-4912
475,"2014．2．2～2．8",6380,8817,-2437,29680,35812,-6131,-8568,1413,1124,289,-8279,111629,112382,-753,14015,10664,3350,2597,38806,42984,-4178,-1581
476,"2014．2．9～2．15",6198,5885,313,29267,24232,5035,5348,1229,1014,215,5563,74434,77220,-2787,10780,11875,-1095,-3882,35209,49122,-13913,-17795
477,"2014．2．16～2．22",7213,9139,-1926,29255,23236,6019,4093,2680,2913,-234,3860,84718,83959,759,14471,13108,1363,2122,36701,39835,-3134,-1013
478,"2014．2．23～3．1",7580,7634,-54,34531,42120,-7590,-7643,2187,2180,7,-7636,82745,82786,-41,14272,17479,-3206,-3247,33597,25748,7849,4602
479,"2014．3．2～3．8",6817,7739,-922,46480,52659,-6179,-7101,1510,1485,25,-7076,81639,77799,3839,14542,17212,-2670,1169,41389,33789,7601,8770
480,"2014．3．9～3．15",7804,9165,-1361,45623,44085,1538,177,2582,2691,-109,68,77412,88335,-10923,20141,15329,4812,-6112,39898,52322,-12424,-18535
481,"2014．3．16～3．22",7664,8205,-541,42954,46942,-3987,-4528,2109,1853,256,-4273,65621,67531,-1910,15920,19916,-3996,-5906,52586,45515,7071,1165
482,"2014．3．23～3．29",9236,8923,313,50189,57831,-7642,-7329,1484,1374,110,-7218,93907,99063,-5156,13474,14032,-558,-5714,37155,69881,-32726,-38440
483,"2014．3．30～4．5",11624,10677,947,46283,50075,-3792,-2845,1848,2821,-973,-3818,81603,79372,2231,20995,20776,219,2450,31605,2774,28831,31281
484,"2014．4．6～4．12",8111,8394,-283,64676,63530,1146,863,2429,1656,773,1636,81759,82601,-842,10710,7109,3600,2759,47727,44849,2877,5636
485,"2014．4．13～4．19",7401,6397,1004,33341,37523,-4182,-3178,2319,1357,962,-2216,67103,65163,1940,16042,12923,3119,5059,38373,40013,-1640,3419
486,"2014．4．20～4．26",7589,6851,738,26137,25427,711,1449,1964,2154,-189,1259,61545,59598,1947,8844,10294,-1450,497,42970,37828,5141,5638
487,"2014．4．27～5．3",7565,7759,-194,36701,28142,8559,8364,1570,1055,515,8879,56894,56991,-97,6752,6877,-125,-222,35152,33331,1821,1599
488,"2014．5．4～5．10",4687,6190,-1504,34103,30645,3458,1954,795,677,117,2072,48106,49643,-1537,8597,5928,2669,1132,42345,33243,9102,10235
489,"2014．5．11～5．17",9618,8211,1407,65697,51534,14163,15569,1583,1005,578,16147,71379,72351,-972,13958,11394,2564,1592,42674,46047,-3373,-1781
490,"2014．5．18～5．24",8825,9580,-755,41345,40447,898,143,1778,1349,429,571,70831,70494,337,9938,12331,-2393,-2056,47501,58310,-10809,-12864
491,"2014．5．25～5．31",8909,6138,2771,59797,67010,-7213,-4442,1223,1996,-773,-5215,76564,75747,817,18687,13223,5464,6281,34967,26371,8596,14877
492,"2014．6．1～6．7",8523,7538,985,64747,51481,13266,14251,1298,956,342,14593,77971,74561,3410,12464,17189,-4725,-1315,47352,42332,5019,3705
493,"2014．6．8～6．14",6960,8046,-1086,53084,46673,6411,5325,2278,2063,215,5540,73989,71608,2381,12788,12302,487,2868,38250,37144,1107,3975
494,"2014．6．15～6．21",8787,8740,47,48095,33217,14878,14925,2207,1457,750,15674,81929,78966,2963,14217,18969,-4752,-1789,43852,48732,-4880,-6669
495,"2014．6．22～6．28",7154,6190,964,42655,53116,-10461,-9497,1117,1062,55,-9442,70994,71322,-328,10541,11718,-1177,-1505,31516,32458,-942,-2447
496,"2014．6．29～7．5",9207,7570,1638,88876,91840,-2964,-1327,1362,1699,-337,-1664,70613,67304,3309,15402,12381,3021,6330,51511,34823,16688,23018
497,"2014．7．6～7．12",9590,8872,719,67629,60813,6815,7534,2759,3021,-262,7272,64115,65721,-1606,10844,10834,10,-1596,37952,50135,-12183,-13779
498,"2014．7．13～7．19",7482,5852,1630,60514,59236,1277,2907,3109,2208,901,3809,62973,61593,1380,14965,10464,4501,5882,34203,31667,2537,8419
499,"2014．7．20～7．26",5406,5163,243,99191,102207,-3016,-2773,2844,2594,250,-2523,53691,51658,2033,8888,7241,1647,3680,27679,31322,-3643,38
500,"2014．7．27～8．2",9316,6853,2462,74161,65165,8995,11458,2649,2483,166,11624,72704,71738,965,10476,6802,3674,4640,35945,33400,2545,7185
501,"2014．8．3～8．9",8846,7086,1760,71111,68435,2676,4436,2416,2049,366,4802,81863,87712,-5848,11949,9625,2325,-3524,37379,43660,-6281,-9805
502,"2014．8．10～8．16",8284,5707,2577,75192,68591,6601,9177,3159,1559,1599,10777,64936,64059,877,12292,10055,2237,3115,42410,38499,3911,7026
503,"2014．8．17～8．23",10653,8417,2236,57798,63882,-6084,-3848,2573,2275,298,-3550,63626,61896,1731,12757,10929,1828,3558,41521,43199,-1678,1881
504,"2014．8．24～8．30",9577,9624,-47,80591,75477,5114,5067,2700,2904,-203,4864,62848,63954,-1107,19171,8085,11086,9979,35683,38060,-2377,7603
505,"2014．8．31～9．6",9305,8205,1100,93571,85869,7701,8801,7059,5194,1865,10667,68195,66317,1879,13890,11401,2489,4368,26518,30455,-3938,431
506,"2014．9．7～9．13",8578,6094,2483,85210,89281,-4071,-1587,1877,2029,-152,-1740,75517,74151,1366,22830,14667,8163,9529,49355,53538,-4184,5345
507,"2014．9．14～9．20",8494,7885,609,73375,65670,7705,8314,4536,3394,1142,9455,72757,69818,2940,15604,11361,4243,7182,36105,40600,-4495,2687
508,"2014．9．21～9．27",10542,6610,3933,77714,75845,1869,5801,3281,4865,-1583,4218,68754,69173,-419,15253,17209,-1956,-2375,44128,47519,-3391,-5766
509,"2014．9．28～10．4",12351,7961,4390,83011,84697,-1686,2704,4296,4772,-476,2228,95257,93412,1845,25686,13436,12250,14095,40355,63167,-22812,-8718
510,"2014．10．5～10．11",7219,7202,17,78158,70316,7842,7859,2740,2790,-50,7809,89297,91843,-2546,15078,8835,6243,3697,51002,35323,15679,19376
511,"2014．10．12～10．18",8685,5497,3188,80582,92405,-11824,-8635,2894,2317,577,-8059,82022,86163,-4142,12826,14668,-1842,-5984,32582,32861,-279,-6264
512,"2014．10．19～10．25",10290,8320,1971,59722,59288,434,2405,1375,1487,-113,2293,85989,84209,1780,11109,10616,493,2272,29572,31046,-1474,798
513,"2014．10．26～11．1",9794,6533,3261,69732,61666,8066,11328,2428,2794,-366,10962,107443,98396,9047,25904,19508,6396,15444,35543,34589,953,16397
514,"2014．11．2～11．8",9701,12373,-2673,62505,51271,11234,8561,1420,1116,304,8865,129906,119357,10549,20061,10330,9731,20280,45246,35916,9330,29610
515,"2014．11．9～11．15",10299,11129,-830,50583,47988,2595,1765,2254,1543,711,2476,116834,107731,9102,19528,13658,5870,14972,38844,31138,7706,22678
516,"2014．11．16～11．22",10722,8779,1942,68165,68532,-367,1576,3044,3045,-1,1575,106840,99491,7349,14813,19107,-4294,3055,48965,45472,3493,6548
517,"2014．11．23～11．29",8085,6563,1522,60281,60280,1,1523,2715,2673,42,1565,76463,76993,-530,14402,12817,1585,1055,28528,38871,-10343,-9288
518,"2014．11．30～12．6",9747,8595,1152,78352,86355,-8003,-6851,3629,4128,-498,-7350,95739,90915,4823,31214,22647,8567,13390,43340,49622,-6283,7108
519,"2014．12．7～12．13",10246,8979,1267,74297,80359,-6062,-4795,2899,2315,584,-4211,106148,104940,1208,19101,15903,3198,4406,56796,44036,12760,17166
520,"2014．12．14～12．20",12607,8520,4086,62079,75679,-13600,-9514,2519,2215,304,-9210,104017,107895,-3877,18968,13994,4975,1098,33320,29981,3339,4437
521,"2014．12．21～12．27",5400,3025,2375,21571,22782,-1211,1164,567,817,-250,914,47883,47852,31,9687,21021,-11335,-11304,9112,39396,-30284,-41587
522,"2014．12．28～2015．1．3",3510,1873,1637,21477,21278,199,1837,1071,1373,-302,1535,27185,27592,-407,3935,4198,-263,-671,1331,501,830,159
523,"2015．1．4～1．10",8635,7455,1180,81905,77260,4645,5826,4407,4002,405,6231,91919,98718,-6799,24220,25509,-1289,-8088,55814,43363,12452,4364
524,"2015．1．11～1．17",11545,4971,6574,68792,72746,-3954,2620,4667,4669,-2,2619,82162,87933,-5771,10818,13261,-2443,-8214,36297,33725,2572,-5642
525,"2015．1．18～1．24",9875,6054,3821,87313,86872,442,4263,4936,2087,2849,7112,94720,90073,4648,15005,12642,2363,7010,41618,37057,4561,11572
526,"2015．1．25～1．31",12412,7834,4579,103124,96372,6752,11331,4903,3078,1825,13156,95929,96978,-1048,13931,13229,702,-347,30603,23918,6686,6339
527,"2015．2．1～2．7",11554,8491,3063,81228,79302,1926,4989,2492,2289,203,5191,110741,115511,-4771,16060,15372,688,-4083,46104,39494,6610,2528
528,"2015．2．8～2．14",8607,7047,1559,81691,76923,4768,6327,3350,3745,-396,5931,87912,86773,1139,14117,6966,7150,8289,44781,38631,6149,14438
529,"2015．2．15～2．21",10669,7695,2974,56035,54373,1662,4637,1899,2375,-476,4160,101678,98785,2893,13071,12594,478,3371,24461,37551,-13090,-9719
530,"2015．2．22～2．28",14047,7802,6245,72343,67634,4709,10954,3843,3326,517,11471,101926,98421,3505,19436,17190,2246,5751,45804,35479,10324,16075
531,"2015．3．1～3．7",10952,7390,3562,87755,85073,2682,6244,3113,2458,656,6900,100156,97238,2918,19481,16641,2840,5758,48252,44342,3910,9668
532,"2015．3．8～3．14",12582,7476,5106,82991,77481,5510,10616,2709,2553,156,10772,114183,111740,2443,18041,11879,6161,8604,53472,44405,9067,17671
533,"2015．3．15～3．21",10480,8277,2202,76321,68438,7884,10086,4528,3956,572,10658,106711,110235,-3524,17405,26950,-9545,-13069,51867,50161,1706,-11363
534,"2015．3．22～3．28",12684,8723,3961,72726,62296,10431,14392,2846,2955,-109,14283,110283,110627,-344,20586,18715,1871,1528,46331,34624,11707,13235
535,"2015．3．29～4．4",11205,6960,4244,70985,101706,-30721,-26476,2112,3059,-947,-27423,119033,108673,10361,23165,13172,9993,20354,27601,35586,-7985,12369
536,"2015．4．5～4．11",10579,7814,2765,67539,65401,2138,4903,3373,3035,338,5242,104480,94069,10411,11771,8914,2858,13268,34111,42927,-8816,4452
537,"2015．4．12～4．18",10377,7663,2715,65240,60904,4335,7050,2819,1476,1343,8394,102623,96634,5990,12749,19388,-6639,-649,42780,24827,17953,17304
538,"2015．4．19～4．25",9983,8303,1680,61088,59140,1948,3628,3895,2297,1598,5226,108348,100139,8210,14472,11143,3329,11538,32432,28601,3831,15369
539,"2015．4．26～5．2",8963,6516,2448,67129,71121,-3992,-1544,4026,4169,-143,-1687,91245,93301,-2056,11015,8762,2253,198,19038,35619,-16581,-16383
540,"2015．5．3～5．9",5016,4053,963,62589,58640,3948,4911,1991,1070,921,5832,49340,48626,714,10141,8803,1338,2053,34027,23557,10470,12523
541,"2015．5．10～5．16",8893,8499,394,70054,59036,11018,11412,3387,2962,424,11837,114727,112855,1872,21789,28452,-6663,-4792,49378,53212,-3834,-8626
542,"2015．5．17～5．23",10564,7913,2651,75818,66211,9607,12258,2528,2818,-291,11967,112995,107354,5641,14460,14068,392,6033,38922,46300,-7378,-1345
543,"2015．5．24～5．30",11337,9650,1687,50838,54351,-3513,-1826,3576,2805,771,-1055,108998,103255,5742,14416,14478,-62,5681,43042,19472,23570,29250
544,"2015．5．31～6．6",9009,8461,548,56800,60646,-3846,-3298,2699,2362,337,-2961,104214,101661,2552,14502,13278,1224,3776,42488,60127,-17638,-13862
545,"2015．6．7～6．13",8158,6596,1562,57097,75542,-18445,-16883,1528,1504,24,-16859,113317,117442,-4126,13886,16647,-2761,-6886,56404,48636,7767,881
546,"2015．6．14～6．20",10653,7158,3495,57409,66315,-8906,-5411,3375,3293,82,-5329,99840,102373,-2533,18828,17750,1078,-1454,53040,45855,7185,5731
547,"2015．6．21～6．27",10818,8478,2340,56552,56981,-428,1912,1650,2294,-645,1267,102006,99026,2980,14834,28698,-13864,-10884,46008,48518,-2509,-13393
548,"2015．6．28～7．4",11145,6308,4837,67443,65378,2064,6902,1092,1510,-417,6484,99655,101509,-1854,17736,12965,4771,2917,37269,45590,-8321,-5404
549,"2015．7．5～7．11",10188,8308,1880,59726,58088,1638,3518,2775,1896,879,4397,127765,136299,-8534,18026,8284,9742,1208,29553,42081,-12528,-11320
550,"2015．7．12～7．18",10123,6130,3994,67393,61646,5747,9740,1854,2218,-364,9376,104652,98330,6322,15480,17276,-1796,4526,51498,40611,10887,15412
551,"2015．7．19～7．25",9300,7196,2104,49312,49574,-262,1841,1150,1257,-107,1734,70341,71159,-817,13307,6464,6843,6026,30285,33932,-3648,2379
552,"2015．7．26～8．1",9184,7503,1681,59397,58199,1198,2879,1942,2014,-72,2807,108891,108919,-28,11847,9207,2639,2611,25802,26738,-936,1675
553,"2015．8．2～8．8",10148,10292,-144,73428,72319,1108,964,2743,2168,575,1539,115043,111480,3564,16099,7895,8204,11768,37748,20681,17067,28835
554,"2015．8．9～8．15",8774,6882,1892,68922,62909,6013,7905,2725,1902,823,8727,112543,117557,-5014,19793,7848,11945,6931,40577,55148,-14571,-7640
555,"2015．8．16～8．22",9418,6837,2581,62237,65009,-2772,-191,4480,3681,799,608,99686,104314,-4628,12169,12222,-53,-4681,45542,43673,1869,-2812
556,"2015．8．23～8．29",14039,8212,5827,80392,71376,9017,14844,1841,1965,-124,14720,169159,175429,-6269,12345,10044,2301,-3969,43917,27544,16372,12404
557,"2015．8．30～9．5",15318,6633,8686,67288,56084,11204,19890,1504,927,577,20466,121459,131320,-9861,11664,15046,-3383,-13243,29801,43745,-13944,-27188
558,"2015．9．6～9．12",9525,5719,3806,66334,61187,5148,8954,2528,2744,-216,8738,118722,132928,-14206,19757,11933,7824,-6382,44749,42059,2690,-3692
559,"2015．9．13～9．19",10195,6084,4111,66398,59151,7247,11358,5758,4912,847,12205,105157,109472,-4315,23228,18548,4680,366,54900,35919,18981,19346
560,"2015．9．20～9．26",3518,3382,136,70881,60503,10378,10514,6578,7127,-549,9964,48897,50820,-1922,7628,18398,-10770,-12692,45719,47477,-1757,-14450
561,"2015．9．27～10．3",11734,5611,6123,77854,84123,-6269,-146,2812,3521,-708,-855,118596,120372,-1776,14581,14278,303,-1473,29397,41173,-11776,-13249
562,"2015．10．4～10．10",8008,6958,1050,80843,70267,10576,11626,2642,2453,189,11814,111807,106572,5235,16737,6669,10068,15303,44962,36328,8634,23937
563,"2015．10．11～10．17",7879,5151,2728,62631,57669,4962,7690,3122,3831,-709,6981,80117,80353,-236,12811,13317,-507,-743,48384,28160,20224,19481
564,"2015．10．18～10．24",8406,6818,1589,61601,56952,4649,6237,2182,2228,-46,6192,89519,86269,3250,18533,10821,7712,10962,38486,52096,-13610,-2648
565,"2015．10．25～10．31",10185,8455,1730,82094,73266,8828,10557,2653,3803,-1151,9407,109102,107231,1871,15452,8347,7105,8976,39744,34023,5721,14698
566,"2015．11．1～11．7",6596,6934,-338,63875,53512,10363,10025,3279,2166,1113,11138,90058,88351,1707,11800,11239,561,2269,54054,31195,22859,25127
567,"2015．11．8～11．14",7829,7683,146,62870,53937,8933,9079,3160,3700,-540,8539,104635,101369,3266,16153,13699,2454,5720,48525,46651,1874,7593
568,"2015．11．15～11．21",10900,7483,3417,67475,63385,4090,7507,6544,6656,-112,7395,98534,96544,1990,24161,15618,8543,10533,35886,50676,-14790,-4257
569,"2015．11．22～11．28",6458,5923,535,67669,69234,-1566,-1031,4148,5417,-1269,-2300,70421,70967,-546,11248,9072,2176,1630,40864,29114,11750,13380
570,"2015．11．29～12．5",10963,8617,2346,73761,72948,813,3159,4278,5385,-1107,2052,105525,104478,1048,19041,17245,1796,2844,37808,41351,-3544,-700
571,"2015．12．6～12．12",8326,8108,218,67367,64149,3218,3436,6151,5523,627,4063,97759,102660,-4901,15976,12129,3847,-1054,64130,41825,22305,21250
572,"2015．12．13～12．19",12198,10242,1957,83893,82424,1469,3425,5069,3456,1613,5039,120202,122460,-2258,15164,12092,3072,814,58524,34933,23591,24405
573,"2015．12．20～12．26",7480,8316,-837,24305,25971,-1666,-2503,890,926,-37,-2540,63195,64079,-884,8858,26308,-17450,-18334,26271,44452,-18181,-36515
574,"2015．12．27～2016．1．2",2772,2669,103,17467,16608,859,962,1689,1991,-303,659,40181,38825,1357,4626,5703,-1077,279,5036,42791,-37754,-37475
575,"2016．1．3～1．9",9337,7365,1973,88576,85341,3235,5207,5504,5337,166,5374,115782,123246,-7464,18355,16120,2235,-5230,34347,9257,25090,19860
576,"2016．1．10～1．16",7932,5656,2276,97690,101444,-3754,-1479,6636,4614,2022,544,97235,100821,-3586,16107,22424,-6317,-9903,38553,49838,-11286,-21188
577,"2016．1．17～1．23",9856,6663,3193,88536,83757,4779,7973,5377,4932,446,8418,120986,122890,-1904,19489,12356,7134,5230,50959,46561,4398,9628
578,"2016．1．24～1．30",10485,8065,2421,83308,84097,-788,1632,7091,6592,499,2131,125505,129155,-3650,25154,20661,4493,843,37423,42286,-4863,-4020
579,"2016．1．31～2．6",10432,8408,2025,99831,85277,14555,16579,5762,5030,732,17312,139444,145551,-6107,24695,24565,129,-5978,40037,36120,3916,-2062
580,"2016．2．7～2．13",8239,7422,818,61687,74839,-13152,-12335,4582,3086,1496,-10839,119719,125344,-5625,27402,15937,11465,5840,41720,45028,-3308,2531
581,"2016．2．14～2．20",12435,7952,4484,76822,57066,19756,24239,5113,6082,-968,23271,125771,130181,-4410,28900,22259,6641,2232,46242,43311,2931,5162
582,"2016．2．21～2．27",10937,7115,3823,77926,68602,9324,13147,6391,6494,-103,13043,100138,110296,-10158,20548,18430,2118,-8040,41829,49283,-7455,-15495
583,"2016．2．28～3．5",10583,8060,2524,94656,79276,15380,17903,3456,3795,-339,17564,113734,115118,-1385,21872,22735,-863,-2248,49207,31936,17271,15023
584,"2016．3．6～3．12",8923,7711,1212,75578,66614,8964,10176,7711,8843,-1132,9045,105568,121394,-15825,35440,25478,9962,-5863,60737,59305,1432,-4431
585,"2016．3．13～3．19",10246,7229,3017,90014,67246,22769,25785,5530,8232,-2702,23083,99029,105809,-6780,21811,27420,-5610,-12390,55420,40347,15073,2683
586,"2016．3．20～3．26",6558,6881,-323,47260,35617,11643,11321,2819,2180,639,11960,65894,69482,-3588,11564,29832,-18268,-21856,35180,57280,-22099,-43955
587,"2016．3．27～4．2",9467,9945,-477,64828,80382,-15555,-16032,4571,3919,651,-15381,98223,94071,4152,18063,17760,302,4454,9972,47672,-37700,-33245
588,"2016．4．3～4．9",7838,9898,-2061,83116,94877,-11761,-13821,7686,7068,618,-13203,104847,103382,1465,21020,12856,8163,9629,45325,33386,11939,21568
589,"2016．4．10～4．16",7831,12866,-5034,68199,59768,8430,3396,3152,4365,-1213,2183,106083,100697,5386,21790,14081,7709,13095,37081,39935,-2854,10241
590,"2016．4．17～4．23",8191,7983,209,61263,51352,9911,10119,4407,5541,-1134,8985,108899,102883,6016,20966,16871,4095,10111,43352,43765,-413,9698
591,"2016．4．24～4．30",6780,9099,-2319,73539,59904,13635,11316,3110,3695,-585,10731,86497,86914,-418,14784,12822,1962,1545,32643,35373,-2730,-1185
592,"2016．5．1～5．7",6003,5828,175,48544,45842,2702,2877,5149,4711,438,3314,43877,48227,-4350,3563,3344,219,-4130,4359,31661,-27302,-31432
593,"2016．5．8～5．14",12256,13778,-1521,72429,61201,11227,9706,7550,6025,1525,11231,103479,102754,725,14622,11138,3484,4210,73308,50300,23008,27218
594,"2016．5．15～5．21",11050,9227,1823,61859,55028,6830,8653,4422,3905,517,9171,92614,92207,407,18483,13563,4920,5326,47165,47661,-496,4831
595,"2016．5．22～5．28",8832,7596,1236,81676,87170,-5494,-4258,4378,4501,-124,-4381,78995,80748,-1753,9732,9052,680,-1073,35675,43560,-7885,-8958
596,"2016．5．29～6．4",9212,8860,352,62664,53724,8940,9292,5384,5945,-561,8731,98379,99354,-975,18066,11956,6110,5135,38031,38174,-143,4992
597,"2016．6．5～6．11",7276,5980,1295,69627,60948,8679,9975,5913,6623,-711,9264,89765,88482,1283,25522,17879,7643,8926,37369,52078,-14709,-5783
598,"2016．6．12～6．18",7819,7095,724,67117,71692,-4575,-3851,4440,5122,-682,-4533,99960,102287,-2328,12636,17514,-4877,-7205,57399,43211,14189,6984
599,"2016．6．19～6．25",9492,7605,1887,68650,64650,4000,5886,4288,4497,-209,5677,95095,96817,-1722,16541,38117,-21575,-23297,49876,51116,-1240,-24537
600,"2016．6．26～7．2",9682,7586,2096,80464,76195,4269,6366,5557,6276,-720,5646,99844,98708,1136,19042,16600,2442,3578,22026,42814,-20788,-17210
601,"2016．7．3～7．9",7723,5511,2212,89956,64458,25497,27709,3787,4021,-235,27474,84831,87899,-3068,13230,12957,274,-2794,24198,26465,-2268,-5062
602,"2016．7．10～7．16",11233,6713,4520,83634,66489,17145,21664,3346,4035,-688,20976,117214,112777,4437,18349,19502,-1153,3284,41884,35119,6765,10049
603,"2016．7．17～7．23",7577,5824,1753,65814,59028,6787,8540,3057,2798,260,8800,77571,80287,-2716,14230,11182,3047,332,50024,43699,6325,6656
604,"2016．7．24～7．30",9975,9245,729,71279,68155,3124,3853,4966,4767,199,4053,101024,101979,-955,23990,13078,10912,9956,32432,21203,11229,21186
605,"2016．7．31～8．6",9033,6596,2437,69784,60662,9121,11559,2344,3409,-1065,10494,99111,104039,-4928,22565,25228,-2663,-7591,33443,31989,1454,-6137
606,"2016．8．7～8．13",8179,6765,1414,63455,50479,12976,14391,2598,3450,-852,13538,72447,71502,945,14904,10156,4748,5693,45432,62786,-17355,-11662
607,"2016．8．14～8．20",7639,6212,1427,66547,62217,4330,5757,2572,3974,-1402,4355,80350,82643,-2293,17229,14310,2919,626,39833,31168,8665,9290
608,"2016．8．21～8．27",9193,5390,3803,71216,70139,1077,4880,2148,2419,-270,4610,75312,75467,-155,9350,6663,2687,2532,41089,43185,-2095,437
609,"2016．8．28～9．3",8820,8053,766,69702,82967,-13265,-12498,4267,3560,707,-11792,76051,76030,21,24541,17467,7073,7095,33037,34159,-1122,5973
610,"2016．9．4～9．10",6664,11162,-4498,58257,64555,-6298,-10796,2411,2376,35,-10761,84108,88915,-4807,24311,13659,10652,5845,62364,41431,20932,26778
611,"2016．9．11～9．17",8846,5912,2934,88128,74446,13683,16617,3388,3311,76,16694,78993,87004,-8011,19901,25162,-5261,-13272,53932,50888,3045,-10228
612,"2016．9．18～9．24",7098,6717,382,65447,53390,12058,12439,6663,5641,1022,13461,58910,60925,-2015,14457,42515,-28058,-30073,41308,49779,-8471,-38543
613,"2016．9．25～10．1",9742,6120,3622,66880,73248,-6368,-2746,6474,6738,-264,-3010,87813,85296,2517,31935,20016,11920,14437,23464,42429,-18965,-4528
614,"2016．10．2～10．8",8551,7679,871,75361,82700,-7339,-6467,5616,5956,-339,-6807,81290,76967,4324,19909,17014,2896,7219,22056,19582,2473,9693
615,"2016．10．9～10．15",7090,5696,1395,54772,51591,3181,4576,3024,3627,-603,3973,65544,64844,700,13592,9946,3646,4346,36901,28625,8276,12622
616,"2016．10．16～10．22",8100,8156,-56,72565,64823,7743,7686,1970,2985,-1015,6672,81101,80249,852,8318,15843,-7525,-6674,50882,50913,-31,-6704
617,"2016．10．23～10．29",9560,7507,2053,76202,67280,8923,10976,4151,4231,-80,10896,85167,84077,1089,14564,17242,-2678,-1589,39909,38463,1446,-142
618,"2016．10．30～11．5",8470,6559,1910,68917,62865,6052,7963,2270,2435,-165,7797,77178,78242,-1064,8319,8384,-65,-1129,31258,32449,-1191,-2320
619,"2016．11．6～11．12",10988,7590,3398,82318,77657,4661,8059,2148,2461,-313,7746,128653,123193,5460,14261,10060,4201,9661,41456,33500,7956,17617
620,"2016．11．13～11．19",15660,8880,6780,86529,89143,-2614,4166,2721,2821,-99,4067,113073,108458,4615,24888,35981,-11093,-6478,49286,35089,14197,7719
621,"2016．11．20～11．26",8170,6991,1178,63342,62220,1122,2300,2022,1856,166,2466,80808,77503,3305,13047,12925,122,3427,49048,47444,1604,5031
622,"2016．11．27～12．3",13730,14495,-766,89693,98608,-8914,-9680,2703,3092,-389,-10069,123107,119073,4034,21422,14840,6582,10616,31609,36715,-5106,5510
623,"2016．12．4～12．10",10234,10847,-613,71685,68952,2733,2119,2898,3260,-362,1757,124598,121825,2772,21146,13838,7309,10081,47754,37936,9818,19899
624,"2016．12．11～12．17",9773,10432,-659,69680,71825,-2145,-2803,2104,2946,-842,-3645,120944,119802,1142,24665,27363,-2698,-1556,70986,49346,21640,20084
625,"2016．12．18～12．24",7212,8226,-1013,36492,49147,-12656,-13669,2407,2240,167,-13502,74804,76792,-1987,9509,26217,-16708,-18695,46929,43393,3536,-15159
626,"2016．12．25～12．31",5967,6062,-95,32030,37044,-5014,-5108,649,1036,-387,-5496,69733,69148,585,16255,7973,8281,8867,2990,37886,-34895,-26029
627,"2017．1．1～1．7",6477,4135,2342,71006,68926,2080,4421,2013,1907,106,4528,66673,63204,3468,17143,10902,6241,9709,41120,2325,38794,48504
628,"2017．1．8～1．14",7290,6791,498,63224,59874,3349,3848,2946,2213,733,4580,82867,80478,2389,16559,11388,5172,7560,30303,31101,-798,6763
629,"2017．1．15～1．21",7092,7283,-191,59767,65148,-5381,-5572,3140,3277,-137,-5708,90067,93828,-3760,18385,20068,-1682,-5442,47726,25287,22439,16997
630,"2017．1．22～1．28",9350,8078,1272,55512,69079,-13567,-12295,3868,3786,82,-12213,97243,98682,-1439,18527,14065,4462,3023,40600,46458,-5858,-2835
631,"2017．1．29～2．4",11712,8383,3329,50995,52258,-1264,2066,2076,1960,116,2182,101797,104275,-2477,18919,16477,2442,-36,28774,36657,-7883,-7919
632,"2017．2．5～2．11",8260,9228,-967,73682,76612,-2931,-3898,4368,4755,-387,-4285,98942,97184,1758,13624,14635,-1011,746,47012,45398,1614,2361
633,"2017．2．12～2．18",11451,9801,1649,63229,62742,487,2137,3895,4125,-230,1907,97675,98952,-1277,16952,18364,-1412,-2689,46251,37685,8566,5877
