"ID","期間","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:取得","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:処分","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:ネット","1.対外証券投資【居住者による取得・処分】:中長期債:取得","1.対外証券投資【居住者による取得・処分】:中長期債:処分","1.対外証券投資【居住者による取得・処分】:中長期債:ネット","1.対外証券投資【居住者による取得・処分】:小計:ネット","1.対外証券投資【居住者による取得・処分】:短期債:取得","1.対外証券投資【居住者による取得・処分】:短期債:処分","1.対外証券投資【居住者による取得・処分】:短期債:ネット","1.対外証券投資【居住者による取得・処分】:合計:ネット","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:取得","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:処分","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:ネット","2.対内証券投資【非居住者による取得・処分】:中長期債:取得","2.対内証券投資【非居住者による取得・処分】:中長期債:処分","2.対内証券投資【非居住者による取得・処分】:中長期債:ネット","2.対内証券投資【非居住者による取得・処分】:小計:ネット","2.対内証券投資【非居住者による取得・処分】:短期債:取得","2.対内証券投資【非居住者による取得・処分】:短期債:処分","2.対内証券投資【非居住者による取得・処分】:短期債:ネット","2.対内証券投資【非居住者による取得・処分】:合計:ネット"
371,"2012．2．5～ 2．11",3570,4208,-638,31357,21217,10141,9502,1537,978,559,10062,39780,38499,1281,16500,16097,403,1684,48162,46261,1900,3585
372,"2012．2．12～ 2．18",2823,3880,-1057,19685,20694,-1009,-2066,1641,994,647,-1419,44097,41455,2642,18422,25028,-6606,-3964,37072,30878,6194,2229
373,"2012．2．19～ 2．25",3356,3548,-192,34264,20713,13551,13359,1033,1285,-252,13106,42836,42288,548,16804,16587,217,765,38925,39608,-683,81
374,"2012．2．26～ 3．3",3804,4381,-577,29108,26344,2764,2187,1239,1305,-65,2122,48350,46704,1646,28446,24855,3591,5237,33691,34383,-692,4546
375,"2012．3．4～ 3．10",2903,3397,-494,28004,24327,3677,3183,975,660,315,3498,49241,48367,874,23305,20897,2409,3283,45421,45409,11,3294
376,"2012．3．11～ 3．17",3298,3890,-592,42274,49500,-7226,-7818,1215,1602,-388,-8205,44992,42118,2873,18751,29109,-10358,-7485,37927,27029,10898,3413
377,"2012．3．18～ 3．24",2945,4452,-1507,23596,20112,3484,1977,1043,1335,-292,1685,32055,34492,-2437,10090,21437,-11347,-13784,52074,42524,9550,-4234
378,"2012．3．25～ 3．31",3171,4754,-1583,34504,26880,7624,6041,887,2118,-1230,4810,46721,45401,1321,16438,14997,1441,2762,17634,52406,-34771,-32009
379,"2012．4．1～ 4．7",3207,4158,-951,41526,60563,-19037,-19987,790,877,-88,-20075,40915,40384,531,24538,25586,-1048,-517,39156,6956,32200,31683
380,"2012．4．8～ 4．14",3355,3459,-104,30027,28863,1165,1061,730,639,90,1151,40370,38333,2037,25705,18306,7399,9437,28501,51011,-22510,-13073
381,"2012．4．15～ 4．21",3641,3218,423,23617,35320,-11703,-11280,1358,1441,-84,-11363,33695,34319,-623,17727,17793,-67,-690,41764,34297,7468,6778
382,"2012．4．22～ 4．28",4547,4266,281,36178,32842,3336,3617,1222,1760,-538,3079,35431,37152,-1721,20996,18223,2773,1052,42610,53033,-10423,-9371
383,"2012．4．29～ 5．5",1868,1647,221,20780,20059,721,942,420,662,-242,700,15504,16231,-727,3961,5194,-1233,-1960,10082,867,9215,7255
384,"2012．5．6～ 5．12",3406,3727,-321,45807,33223,12585,12263,1267,1483,-215,12048,40203,42794,-2592,15094,16380,-1287,-3879,43664,32620,11044,7165
385,"2012．5．13～ 5．19",2408,2769,-361,36770,34247,2523,2162,1645,1309,336,2498,39527,40829,-1302,17762,18411,-649,-1951,32689,41649,-8961,-10912
386,"2012．5．20～ 5．26",4187,3704,484,43115,47196,-4081,-3597,1910,1722,188,-3409,34213,35347,-1133,19674,19346,328,-805,33581,37646,-4065,-4871
387,"2012．5．27～ 6．2",5700,3734,1966,46260,40845,5415,7381,2548,1823,725,8106,36612,37361,-749,23375,13145,10230,9481,34734,29988,4746,14227
388,"2012．6．3～ 6．9",2474,2021,453,43379,44959,-1580,-1127,2094,2413,-319,-1445,39301,41173,-1872,19069,14303,4766,2894,39803,36396,3408,6302
389,"2012．6．10～ 6．16",2904,2491,413,41101,40371,730,1143,1282,1088,194,1337,31163,30574,589,20346,15578,4768,5357,29205,40697,-11492,-6135
390,"2012．6．17～ 6．23",3230,3048,182,37160,28466,8694,8876,1527,1583,-56,8820,30648,30149,500,15453,18583,-3129,-2630,34440,30200,4240,1610
