"Date","特定サービス産業動態統計調査(調査19業種)総合","対事業所サービス業(調査10業種)総合","対事業所サービス業(調査10業種)総合:物品賃貸業(リース)","対事業所サービス業(調査10業種)総合:物品賃貸業(レンタル)","対事業所サービス業(調査10業種)総合:情報サービス業","対事業所サービス業(調査10業種)総合:広告業","対事業所サービス業(調査10業種)総合:クレジットカード業","対事業所サービス業(調査10業種)総合:エンジニアリング業","対事業所サービス業(調査10業種)総合:インターネット附随サービス業","対事業所サービス業(調査10業種)総合:機械設計業","対事業所サービス業(調査10業種)総合:自動車賃貸業","対事業所サービス業(調査10業種)総合:環境計量証明業"
2009-01-01,97.5,93.4,114.1,108.7,86.8,93.4,102,61.9,85.2,102.7,101.8,92.3
2009-02-01,94.9,96.6,104.6,108.1,94.4,93.7,89,81.2,86.2,112.3,101.5,98.7
2009-03-01,156.5,178,188,117.1,214.1,141.1,98.1,145.1,88.8,109.8,107.8,219.9
2009-04-01,91.5,88.8,120.7,96.1,75.7,96,99.3,72.3,85.9,91.2,102.3,78.5
2009-05-01,90,86.6,93.2,96.2,80,87,96.7,96.5,86.9,78.7,101.3,79.5
2009-06-01,104.9,107.9,115.1,96,110.5,97.3,96.1,117.4,86.8,94.9,102.1,91.4
2009-07-01,96.3,92.7,106,100,81.1,93.5,101.9,122.5,86.9,90.6,104.4,91.3
2009-08-01,95.4,87.5,92.6,103,81.6,87.8,97.9,87,86.5,83.3,106.4,86.1
2009-09-01,120,127.8,120.9,106.8,143,102.5,97.3,148.4,89.3,93,103.7,106.7
2009-10-01,92.9,90.3,108.9,106.7,78,99.7,97.3,94.7,96.5,87.3,101.2,94
2009-11-01,88.6,85,80.9,107.8,81.4,99.2,100.8,61.2,93,93.4,101,83.7
2009-12-01,115.6,116.2,108.7,108.2,118.9,103.1,107.2,170.8,94.3,93,100.2,100.6
2010-01-01,90.8,85,82.2,101.1,83.9,85.5,101.5,63,96.3,84.6,99.6,87
2010-02-01,89.9,91.1,91.7,101.8,91.2,88.8,89.1,73.9,95.5,98.2,97.4,98.5
2010-03-01,148.2,168.3,169,111.9,195.1,134.2,100.3,194.7,98.1,106.9,102.9,227.8
2010-04-01,89.6,87.3,112.1,90.5,74.7,93.4,100.9,82.4,97.5,92.9,99,73.8
2010-05-01,87.4,83.8,94.7,90.1,78.4,87.5,100.4,59.1,98,89.4,98.3,74.6
2010-06-01,97.3,98.9,82,91,104.6,100.3,97.7,105.1,99.9,104.9,98.9,86.5
2010-07-01,90.6,84.9,81.4,97.1,78.7,100.8,101.2,75.8,100.8,101.9,101.4,86.7
2010-08-01,94,86.4,75,100.2,81.5,83.1,99,111.7,99.9,94.9,104.8,89.6
2010-09-01,120.1,128.5,130.9,103.1,141.2,104.8,97.1,137.4,99.3,106.5,101.8,106
2010-10-01,90.6,87.7,98.1,102.6,74.9,105,98.5,93.2,103.8,103.1,99.2,90.4
2010-11-01,89.5,86.5,77.4,105.3,80.7,108.4,106.5,73.6,104.4,109.5,100,84.1
2010-12-01,112.1,111.7,105.5,105.2,115,108.2,107.9,130.2,106.5,107.3,96.6,94.9
2011-01-01,93.3,89.3,89,99.7,81,93.2,101,115.5,101.1,97.6,95.8,81.6
2011-02-01,91.6,93,81.3,101.1,86.9,95.6,90.8,142.5,100.9,110.4,96.4,90.4
2011-03-01,137.4,157.1,145,109.7,180.6,126.5,91.8,199.7,100.8,125.2,100,203.2
2011-04-01,86.6,85.2,114.5,95.7,71.2,85.1,95.4,69.6,101.6,107.1,97.8,71.9
2011-05-01,83.2,79.3,73.4,98.7,73.7,80.6,100.4,74.3,102,99.6,96.3,70.5
2011-06-01,99,101.9,88.8,103.4,104.2,97.7,100.7,116.8,102.5,120.2,96,87.2
2011-07-01,88.7,82.6,76.3,103.9,75.8,98.2,106.3,63.6,106.4,112.2,99.3,84
2011-08-01,95,87,78,107,79.9,87.3,102,106.7,104.9,105.8,102.5,90.6
2011-09-01,118.1,125.6,112.6,107.4,135.4,112.1,99.7,160.9,107,121.4,99.1,101.4
2011-10-01,90.7,86.8,91.7,108.8,76.8,99.9,102.9,75.3,113,110.5,97.6,87.5
2011-11-01,94.6,93,97.6,110.2,84,105.9,106.3,85.9,113.7,119,96.5,85.5
2011-12-01,114.6,114.2,100.6,112.2,115.8,121.8,112.9,141.9,116.4,117,95.8,96.1
2012-01-01,94,89.6,84.2,105.6,80.5,94.6,107.1,120.2,115.7,102.1,93.5,82.8
2012-02-01,91.9,92.5,84.2,110.3,89,96.1,97.3,95,116.2,116.4,94.7,97.1
2012-03-01,146.4,164.3,152.9,121.4,184.9,147.2,106.4,202.3,120.3,136.6,99.8,217.1
2012-04-01,89.5,86.5,109.5,99.9,69.4,99.6,107.5,87.9,113.5,102.5,96.3,74.8
2012-05-01,88.7,85.3,83,99.8,76.2,95.9,108,92.6,113.8,102.1,96.4,78.7
2012-06-01,100.3,102.4,96.3,102.1,104.5,105.1,104.5,91.3,113.4,121.4,95.7,87.5
2012-07-01,93,87.7,85.2,105,80.3,100.9,109.6,71.5,113.5,120,98.5,89.3
2012-08-01,95.3,87,88.8,107.2,82,88,106.2,61.7,112.3,103,102.1,89.3
2012-09-01,120.8,128.1,128.8,110.5,138.8,110.4,104.5,125.9,113.9,123.4,98.9,100.6
2012-10-01,92.3,89,98.7,111.9,76.6,98.1,108.8,79.5,117.9,119.7,97,93.4
2012-11-01,93,90.5,86.6,115.1,82,106.7,113.5,81.6,118.5,117.1,96.6,88.9
2012-12-01,114.5,114.4,119.3,117.9,114.2,122.1,120.5,99.4,121.9,114.2,96.4,99.8
2013-01-01,94.4,89.6,93.3,108.9,81.9,95.6,114.8,77.3,118.1,101.9,95.3,89.7
2013-02-01,89.5,89.6,81.3,110.7,87.5,95.7,105,68.4,117.5,111.3,95.2,98
2013-03-01,151,170.1,155.6,122.4,187,146.5,115.4,256.1,122.8,138,99.1,227.6
2013-04-01,89.2,86.3,105.1,102.8,71.2,100.2,114.5,73.6,117.4,105.4,95,80.1
2013-05-01,90.8,88.3,110.6,102.8,75.6,97.7,116.9,61.4,117.5,100.9,97,80.4
2013-06-01,102.8,105.5,101.7,105.1,105.8,107,114.6,101.5,120.7,117.6,96.2,87.9
2013-07-01,94.4,89.2,88.2,112.8,79.2,102.8,119.7,72.4,120.2,127.6,98.9,93.3
2013-08-01,98.9,90.8,86.6,114,82.5,94.9,117.2,93.7,117.4,109.7,101.7,91.3
2013-09-01,125.6,134.8,127.6,118.5,144,114.8,115.5,164.9,120.3,130.3,99.7,104.7
2013-10-01,93.9,91.8,102.2,120.3,79.1,101.8,119.3,74.9,119.2,120,98.8,96.7
2013-11-01,96.4,94.8,92.6,123.8,84.5,109.6,125,86.3,119.3,129.3,98.5,91.5
2013-12-01,117.5,118.2,111.5,126.2,120.5,126.7,133.3,104.1,122.2,123,97.5,107.3
2014-01-01,97.9,93.9,97.8,119.5,85.2,100.6,127.5,75.4,119.8,109.4,100.9,89.6
2014-02-01,96,99.6,95.5,119.3,92.2,102.9,112.4,120.3,118.6,116.7,97.1,101.4
2014-03-01,162.9,186.1,228.2,134.7,191.3,156,140.5,236,125,136.9,103.9,242.1
2014-04-01,92.9,91.4,91.3,107.1,72.9,99.9,125.9,154,121.5,108.5,98.2,75.3
2014-05-01,88.5,85.4,70.1,109.5,78.6,100,124.9,79.9,124.1,108.5,98.3,79.6
2014-06-01,107,112.7,95.7,111,110.1,112.6,124.5,164.7,125.8,127.6,97.9,98.5
2014-07-01,96.1,92.5,85.9,117.4,79.6,108.9,129.6,99.1,127.3,132.9,101.4,95.8
2014-08-01,98.6,91,82.7,118.5,83,95.6,128.5,82.8,130.4,114.3,105.4,91.8
2014-09-01,126,135.7,127.3,124.9,146.8,117.1,127.6,138.3,130.5,132.3,102.6,108.6
2014-10-01,95.3,93.9,96.8,126.3,82.6,105.8,128.3,67.8,132.4,130.7,101.8,102.9
2014-11-01,95.7,94,87.5,127.4,86.5,111.4,135.4,56.6,133.9,125.9,102.7,95
2014-12-01,120,122.9,117.8,132.4,125.6,126.9,144,96.3,137.2,132,102.7,112.7
2015-01-01,101,99,101.2,122.2,87.3,101.3,135.1,106.9,142.6,117,101.4,92.8
2015-02-01,98.3,102.2,100.8,123.9,93,102.7,120.3,116.8,137.2,125.3,100.8,103.8
2015-03-01,160.6,183.6,192.3,134.7,201.5,162.6,137,201.2,142.3,152.4,105.5,233.7
2015-04-01,92.9,91.5,106.6,111.6,75.4,106.4,135.1,72.4,136.5,117.6,102.4,83.9
2015-05-01,90.7,88.4,80.2,113,79,100.5,137.4,73.1,141.1,115.4,103,76.8
2015-06-01,109.9,116.8,113.7,115.2,115.5,112.1,132.7,118.4,140.4,142.2,101.7,96.1
2015-07-01,96.9,93.4,85,120.5,83.7,107.3,137.6,72.3,139.2,138.1,105.1,97.6
2015-08-01,100.6,94.4,84.2,121.6,86,102.1,137,85.4,139.4,120.1,109.4,91.5
2015-09-01,126.5,136.8,132.2,128.5,143.5,119.6,134.2,140.4,138.6,148.7,106.7,108.9
2015-10-01,98,96.7,101.2,126.8,83.7,108.9,137.3,73.1,140.9,134.2,105.9,101.3
2015-11-01,97,96.4,84.4,127.8,88.8,119.9,141.4,62.9,144.3,133.7,104,97
2015-12-01,125.4,129.9,143,130.1,128.7,130.4,151.7,97.9,150.2,138.8,104.6,114.5
2016-01-01,100,98.7,101.8,119.6,89.1,112.9,142.2,64.9,146.1,130,103.3,97.2
2016-02-01,96.9,100.8,95.4,123.8,95.4,106.8,129,77.6,144.5,130.4,103.8,107.1
2016-03-01,161,185.2,171.2,133.7,197.5,164.3,144.5,279.7,149.5,171.9,111.2,248.8
2016-04-01,93.6,93.9,103.6,111.8,77.9,108.6,142.8,83.1,144.5,123.2,104.7,81.9
2016-05-01,89.5,88.4,75.8,113.1,81.4,102.2,144.5,57.1,144.6,117.3,105.7,77.4
2016-06-01,109.5,117.5,117.1,116.7,115.9,117.8,140.8,101,145.8,146.1,104.7,93.6
2016-07-01,96.6,94,90.4,122.8,82.9,109.1,147.6,61.4,147.6,132.6,109,95.6
2016-08-01,99.9,95.2,80.9,121.7,89.4,100.8,143.4,73.1,147.9,120.8,113,96.4
2016-09-01,126,137.6,140.4,130.3,143.8,124.8,141.4,119,149.5,138.7,110,108.4
2016-10-01,97.8,97.6,94.1,128,86,113.6,147.3,76.4,149.8,127.7,109,98.6
2016-11-01,98.6,100.1,79.3,128.7,93.9,116.7,152.6,84.2,151,132.7,108.5,102.5
2016-12-01,125.1,130.2,109.4,131.1,129.4,136,164.1,154.6,156.1,150.6,109.5,110.8
2017-01-01,101.1,100,93.9,121.7,91.7,115.9,154.1,74.1,149.6,121,108.2,93.3
2017-02-01,96.5,101.2,86.1,122.9,97.5,106.5,138.3,84.2,149,129.2,107.8,103.8
2017-03-01,158.1,181.5,176,134.7,198.5,168.7,157.1,187,157.8,179.8,115.1,247.8
2017-04-01,95.3,96,103.1,112,81.2,111.1,155.8,76.5,150,124.5,108.3,86.8
2017-05-01,91.4,91,75.8,112.9,84.3,103.8,157.9,59.5,151.7,116.9,110.5,83
