"Date","Long-GOLD","Short-GOLD","Net-GOLD","Names","Unit"
2014-01-07,139244,100357,38887,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-01-14,145857,101844,44013,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-01-21,146018,99435,46583,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-01-28,150158,83817,66341,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-02-04,147754,82815,64939,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-02-11,156786,85585,71201,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-02-18,164478,79847,84631,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-02-25,169870,60406,109464,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-03-04,171404,56238,115166,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-03-11,170482,51592,118890,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-03-18,183324,46510,136814,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-03-25,169083,51766,117317,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-04-01,158152,58007,100145,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-04-08,149693,61094,88599,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-04-15,147432,68140,79292,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-04-22,146880,65047,81833,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-04-29,147769,62542,85227,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-05-06,160982,63026,97956,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-05-13,157176,65542,91634,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-05-20,157398,60907,96491,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-05-27,155615,82224,73391,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-06-03,157332,98181,59151,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-06-10,159567,98440,61127,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-06-17,162052,83757,78295,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-06-24,183433,62574,120859,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-07-01,201287,55262,146025,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-07-08,203464,53443,150021,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-07-15,199950,57492,142458,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-07-22,197835,51689,146146,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-07-29,188980,49827,139153,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-08-05,176386,54923,121463,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-08-12,191325,43644,147681,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-08-19,183846,45870,137976,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-08-26,172022,58853,113169,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-09-02,172522,75643,96879,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-09-09,177555,82414,95141,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-09-16,170749,98562,72187,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-09-23,170382,106498,63884,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-09-30,171075,106205,64870,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-10-07,174075,107628,66447,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-10-14,193580,108165,85415,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-10-21,207129,99145,107984,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-10-28,195885,95146,100739,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-11-04,176899,113674,63225,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-11-11,177268,121225,56043,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-11-18,187955,106533,81422,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-11-25,167394,91187,76207,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-12-02,170635,81305,89330,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-12-09,186861,71999,114862,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-12-16,182147,63739,118408,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-12-23,180980,70070,110910,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2014-12-30,182897,67060,115837,"GOLD - COMMODITY EXCHANGE INC. ","(CONTRACTS OF 100 TROY OUNCES) "
2015-01-06,187705,65527,122178,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-01-13,192959,62733,130226,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-01-20,223257,60802,162455,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-01-27,238407,49482,188925,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-02-03,229006,43991,185015,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-02-10,199036,43762,155274,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-02-17,188121,56387,131734,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-02-24,184416,58245,126171,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-03-03,180561,64741,115820,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-03-10,171821,89929,81892,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-03-17,162268,109175,53093,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-03-24,168234,113953,54281,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-03-31,172818,92799,80019,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-04-07,183130,82373,100757,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-04-14,184741,86344,98397,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-04-21,184567,83322,101245,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-04-28,189929,88672,101257,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-05-05,173105,100665,72440,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-05-12,179257,101817,77440,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-05-19,202190,79569,122621,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-05-26,191951,87257,104694,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
