"Date","Long-BRITISH POUND STERLING","Short-BRITISH POUND STERLING","Net-BRITISH POUND STERLING","Names","Unit"
2014-01-07,54679,36501,18178,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-01-14,54352,43192,11160,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-01-21,56573,47853,8720,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-01-28,63359,41187,22172,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-04,52098,41147,10951,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-11,53199,42527,10672,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-18,76271,53948,22323,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-02-25,74558,45756,28802,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-04,71021,41416,29605,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-11,64553,42554,21999,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-18,64141,38605,25536,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-03-25,66751,37027,29724,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-01,75969,42397,33572,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-08,91642,45165,46477,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-15,87472,36874,50598,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-22,89692,41892,47800,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-04-29,85913,41679,44234,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-06,83794,43148,40646,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-13,71168,39413,31755,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-20,80009,46919,33090,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-05-27,78438,43134,35304,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-03,79476,44502,34974,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-10,85202,49360,35842,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-17,100434,47838,52596,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-06-24,98098,48347,49751,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-01,99929,43517,56412,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-08,86614,44975,41639,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-15,85983,47213,38770,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-22,71792,44295,27497,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-07-29,75370,50460,24910,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-05,66437,54316,12121,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-12,65348,46549,18799,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
2014-08-19,72230,58943,13287,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE ","(CONTRACTS OF GBP 62,500) "
