"Date","貸出・預金動向(月次):総貸出平残(銀行・信金計)(a)(億円)","貸出・預金動向(月次):総貸出平残(銀行計)(億円)","貸出・預金動向(月次):総貸出平残(銀行計)前年比(%)","貸出・預金動向(月次):総貸出平残/都銀等(b)(億円)","貸出・預金動向(月次):総貸出平残/地銀・地銀II(億円)","貸出・預金動向(月次):総貸出平残/地銀(億円)","貸出・預金動向(月次):総貸出平残/地銀II(億円)","貸出・預金動向(月次):総貸出平残/信金(c)(億円)","貸出・預金動向(月次):総貸出平残/(参考)外銀(円貸出)(億円)","貸出・預金動向(月次):総貸出平残/その他国内対象銀行(d)(億円)"
1991-07-01,,5020841,,3383089,1637752,1160147,477605,,,
1991-08-01,,5032581,,3388548,1644033,1164382,479651,,,
1991-09-01,,5056858,,3401658,1655200,1172721,482479,,,
1991-10-01,,5048236,,3396571,1651665,1168866,482799,,,
1991-11-01,,5057251,,3403312,1653939,1170863,483076,,,
1991-12-01,,5130659,,3435811,1694848,1203665,491183,,,
1992-01-01,,5127702,,3431309,1696393,1204454,491939,,,
1992-02-01,,5119189,,3430316,1688873,1199124,489749,,,
1992-03-01,,5162639,,3453179,1709460,1215532,493928,,,
1992-04-01,,5142986,,3442623,1700363,1209015,491348,,,
1992-05-01,,5113226,,3426985,1686241,1198160,488081,,,
1992-06-01,,5122891,,3435094,1687797,1198669,489128,,,
1992-07-01,,5153441,2.6,3447666,1705775,1212409,493366,,,
1992-08-01,,5156351,2.5,3442884,1713467,1217340,496127,,,
1992-09-01,,5169534,2.2,3447625,1721909,1224801,497108,,,
1992-10-01,,5159634,2.2,3435782,1723852,1225999,497853,,,
1992-11-01,,5159721,2,3435256,1724465,1226531,497934,,,
1992-12-01,,5229773,1.9,3477850,1751923,1248464,503459,,,
1993-01-01,,5230225,2,3479265,1750960,1248276,502684,,,
1993-02-01,,5208556,1.7,3465319,1743237,1243569,499668,,,
1993-03-01,,5228388,1.3,3475390,1752998,1252196,500802,,,
1993-04-01,,5200633,1.1,3458154,1742479,1245583,496896,,,
1993-05-01,,5179088,1.3,3449748,1729340,1236439,492901,,,
1993-06-01,,5173998,1,3453574,1720424,1227756,492668,,,
1993-07-01,,5203239,1,3469789,1733450,1237327,496123,,,
1993-08-01,,5198872,0.8,3462146,1736726,1239841,496885,,,
1993-09-01,,5215519,0.9,3467315,1748204,1249547,498657,,,
1993-10-01,,5199998,0.8,3452493,1747505,1247583,499922,,,
1993-11-01,,5187077,0.5,3441842,1745235,1247062,498173,,,
1993-12-01,,5254136,0.5,3480180,1773956,1269164,504792,,,
1994-01-01,,5253628,0.4,3477592,1776036,1271113,504923,,,
1994-02-01,,5230012,0.4,3465540,1764472,1262712,501760,,,
1994-03-01,,5253116,0.5,3473188,1779928,1275158,504770,,,
1994-04-01,,5213161,0.2,3441405,1771756,1266827,504929,,,
1994-05-01,,5180975,0,3423567,1757408,1256853,500555,,,
1994-06-01,,5163878,-0.2,3421034,1742844,1242161,500683,,,
1994-07-01,,5185055,-0.3,3429825,1755230,1250995,504235,,,
1994-08-01,,5185957,-0.2,3426951,1759006,1253333,505673,,,
1994-09-01,,5207553,-0.2,3435319,1772234,1263714,508520,,,
1994-10-01,,5188860,-0.2,3411096,1777764,1266062,511702,,,
1994-11-01,,5183321,-0.1,3405592,1777729,1266504,511225,,,
1994-12-01,,5241934,-0.2,3438683,1803251,1284796,518455,,,
1995-01-01,,5238156,-0.3,3428770,1809386,1289863,519523,,,
1995-02-01,,5222084,-0.2,3420197,1801887,1285260,516627,,,
1995-03-01,,5252232,0,3436313,1815919,1297194,518725,,,
1995-04-01,,5207717,-0.1,3402929,1804788,1286457,518331,,,
1995-05-01,,5190149,0.2,3397231,1792918,1278875,514043,,,
1995-06-01,,5187577,0.5,3403604,1783973,1268938,515035,,,
1995-07-01,,5226075,0.8,3425848,1800227,1279931,520296,,,
1995-08-01,,5246633,1.2,3435419,1811214,1287294,523920,,,
1995-09-01,,5290748,1.6,3461618,1829130,1301560,527570,,,
1995-10-01,,5279523,1.7,3449200,1830323,1302619,527704,,49423,
1995-11-01,,5287394,2,3452275,1835119,1308156,526963,,52078,
1995-12-01,,5351547,2.1,3489501,1862046,1329182,532864,,54032,
1996-01-01,,5354380,2.2,3484594,1869786,1336637,533149,,52675,
1996-02-01,,5337859,2.2,3479160,1858699,1335143,523556,,51912,
1996-03-01,,5365558,2.2,3493419,1872139,1347065,525074,,56422,
1996-04-01,,5288642,1.6,3431829,1856813,1334681,522132,,59709,
1996-05-01,,5265694,1.5,3422140,1843554,1325777,517777,,57438,
1996-06-01,,5258817,1.4,3426510,1832307,1314826,517481,,54884,
1996-07-01,,5278870,1,3438686,1840184,1321241,518943,,54984,
1996-08-01,,5284932,0.7,3438608,1846324,1326071,520253,,56659,
1996-09-01,,5302448,0.2,3445996,1856452,1335747,520705,,59694,
1996-10-01,,5255163,-0.5,3404276,1850887,1331355,519532,,62529,
1996-11-01,,5260891,-0.5,3408126,1852765,1333492,519273,,59954,
1996-12-01,,5332706,-0.4,3454159,1878547,1352605,525942,,59779,
1997-01-01,,5346567,-0.1,3457625,1888942,1359913,529029,,58164,
1997-02-01,,5330762,-0.1,3449259,1881503,1354973,526530,,58247,
1997-03-01,,5355067,-0.2,3464152,1890915,1363496,527419,,67704,
1997-04-01,,5288244,0,3411669,1876575,1350908,525667,,69105,
1997-05-01,,5261066,-0.1,3397250,1863816,1344086,519730,,74303,
1997-06-01,,5252683,-0.1,3402651,1850032,1331627,518405,,69554,
1997-07-01,,5272873,-0.1,3410873,1862000,1340722,521278,,67563,
1997-08-01,,5272500,-0.2,3401993,1870507,1347035,523472,,66405,
1997-09-01,,5274435,-0.5,3394250,1880185,1355533,524652,,69111,
1997-10-01,,5232872,-0.4,3353629,1879243,1354102,525141,,74502,
1997-11-01,,5256620,-0.1,3370992,1885628,1360443,525185,,69082,
1997-12-01,,5332930,0,3426132,1906798,1377767,529031,,63787,
1998-01-01,,5333737,-0.2,3423158,1910579,1382030,528549,,59359,
1998-02-01,,5298461,-0.6,3399272,1899189,1377244,521945,,62205,
1998-03-01,,5266466,-1.7,3361545,1904921,1382483,522438,,67145,
1998-04-01,,5158204,-2.5,3273497,1884707,1366123,518584,,67967,
1998-05-01,,5146338,-2.2,3277494,1868844,1355264,513580,,63344,
1998-06-01,,5133703,-2.3,3283748,1849955,1338522,511433,,64831,
1998-07-01,,5155758,-2.2,3299580,1856178,1344253,511925,,60544,
1998-08-01,,5152316,-2.3,3292064,1860252,1347453,512799,,61659,
1998-09-01,,5132391,-2.7,3265583,1866808,1354062,512746,,61246,
1998-10-01,,5062037,-3.3,3198546,1863491,1353574,509917,,58913,
1998-11-01,,5047958,-4,3166566,1881392,1362654,518738,,59561,
1998-12-01,,5083423,-4.7,3175507,1907916,1375772,532144,,56705,
1999-01-01,,5090992,-4.6,3172865,1918127,1383322,534805,,57819,
1999-02-01,,5075030,-4.2,3164074,1910956,1378385,532571,,61296,
1999-03-01,,5061318,-3.9,3144548,1916770,1385420,531350,,63195,
1999-04-01,,4886437,-5.3,3003564,1882873,1364010,518863,,70244,
1999-05-01,,4867086,-5.4,3003233,1863853,1349809,514044,,68568,
1999-06-01,,4837470,-5.8,2997960,1839510,1329508,510002,,71788,
1999-07-01,,4840450,-6.1,3001869,1838581,1329108,509473,,72642,
1999-08-01,,4818680,-6.5,2981069,1837611,1328616,508995,,72480,
1999-09-01,,4811421,-6.3,2970638,1840783,1331884,508899,,71136,
1999-10-01,,4779271,-5.6,2945825,1833446,1326689,506757,,73419,
1999-11-01,,4760799,-5.7,2927520,1833279,1328926,504353,,71973,
1999-12-01,,4784120,-5.9,2938368,1845752,1339504,506248,,69437,
2000-01-01,5484449,4783074,-6,2933650,1849424,1343323,506101,701375,65119,
2000-02-01,5451984,4755277,-6.3,2913748,1841529,1338566,502963,696707,61202,
2000-03-01,5454731,4761124,-5.9,2911760,1849364,1346252,503112,693607,64253,
2000-04-01,5365023,4682558,-4.2,2862339,1820219,1339318,480901,682465,62970,
2000-05-01,5315059,4638740,-4.7,2831357,1807383,1330721,476662,676319,60496,
2000-06-01,5284831,4611376,-4.7,2820061,1791315,1318292,473023,673455,60109,
2000-07-01,5293314,4619661,-4.6,2821671,1797990,1323993,473997,673653,58709,
2000-08-01,5286811,4613150,-4.3,2814544,1798606,1325319,473287,673661,64549,
2000-09-01,5292620,4618280,-4,2813483,1804797,1331174,473623,674340,69096,
2000-10-01,5261023,4586880,-4,2792430,1794450,1322062,472388,674143,74161,
2000-11-01,5243059,4570114,-4,2774193,1795921,1323870,472051,672945,77836,
2000-12-01,5278528,4604646,-3.8,2793900,1810746,1335249,475497,673882,80695,
2001-01-01,5275383,4608226,-3.7,2794561,1813665,1336428,477237,667157,82248,
2001-02-01,5245235,4582622,-3.6,2783243,1799379,1332185,467194,662613,84696,
2001-03-01,5249357,4587687,-3.6,2785065,1802622,1342344,460278,661670,81917,
2001-04-01,5174649,4520873,-3.5,2741102,1779771,1323689,456082,653776,80672,
2001-05-01,5111662,4463858,-3.8,2701970,1761888,1313862,448026,647804,78247,
2001-06-01,5082013,4436223,-3.8,2691842,1744381,1307901,436480,645790,75292,
2001-07-01,5078507,4432538,-4.1,2684005,1748533,1311130,437403,645969,70276,
2001-08-01,5063955,4418210,-4.2,2669955,1748255,1310507,437748,645745,64967,
2001-09-01,5071253,4425038,-4.2,2670044,1754994,1315727,439267,646215,64270,
2001-10-01,5041567,4396647,-4.1,2646323,1750324,1310810,439514,644920,68399,
2001-11-01,5018864,4374832,-4.3,2622748,1752084,1313347,438737,644032,69985,
2001-12-01,5053756,4406385,-4.3,2638888,1767497,1325998,441499,647371,79030,
2002-01-01,5041172,4394848,-4.6,2625317,1769531,1327650,441881,646324,80970,
2002-02-01,5008427,4367426,-4.7,2604407,1763019,1323904,439115,641001,80936,
2002-03-01,5010375,4372894,-4.7,2600916,1771978,1331832,440146,637481,92850,
2002-04-01,4928885,4298145,-4.9,2549694,1748451,1313252,435199,630740,99558,
2002-05-01,4879063,4253680,-4.7,2518023,1735657,1304643,431014,625383,98054,
2002-06-01,4855971,4234253,-4.6,2502945,1731308,1302203,429105,621718,93134,
2002-07-01,4848453,4225601,-4.7,2494159,1731442,1302492,428950,622852,86489,
2002-08-01,4839091,4215416,-4.6,2479482,1735934,1305908,430026,623675,83101,
2002-09-01,4830941,4208979,-4.9,2467160,1741819,1311064,430755,621962,74728,
2002-10-01,4790962,4165753,-5.3,2428443,1737310,1307255,430055,625209,71060,
2002-11-01,4790408,4165375,-4.8,2425813,1739562,1310347,429215,625033,70803,
2002-12-01,4824452,4196529,-4.8,2443831,1752698,1320445,432253,627923,69690,
