Date,消費税課税状況:個人事業者及び法人合計:現年分:納税申告計:税額(百万円)
1989/1/1,3954656
1990/1/1,5580462
1991/1/1,6212863
1992/1/1,6694481
1993/1/1,7086332
1994/1/1,7181654
1995/1/1,7166742
1996/1/1,7310813
1997/1/1,9027367
1998/1/1,9866754
1999/1/1,10301743
2000/1/1,9779263
2001/1/1,9594760
2002/1/1,9534943
2003/1/1,9481412
2004/1/1,9517177
2005/1/1,10026524
2006/1/1,10004067
2007/1/1,9978643
2008/1/1,9726373
2009/1/1,9648438
2010/1/1,9514477
2011/1/1,9303893
2012/1/1,9313521
2013/1/1,9382570
2014/1/1,13504549
2015/1/1,15319465
