"Date","実質原系列:国内総生産(支出側)","実質原系列:民間最終消費支出","実質原系列:民間最終消費支出:家計最終消費支出","実質原系列:民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質原系列:民間住宅","実質原系列:民間企業設備","実質原系列:民間在庫変動","実質原系列:政府最終消費支出","実質原系列:公的固定資本形成","実質原系列:公的在庫変動","実質原系列:財貨・サービス:純輸出","実質原系列:財貨・サービス:輸出","実質原系列:財貨・サービス:輸入","実質原系列:開差"
1994-03-01,103670.7,59361.2,58793.6,49667.9,5987,16179.8,-2195.4,17716.4,11706.1,-163.5,-2260.7,8368.6,10629.3,-2660.2
1994-06-01,102206.5,59252.2,58146.9,48990.5,6304.7,13796.6,785.8,17970.6,9286.3,53.8,-2465.4,8351.9,10817.3,-2778.1
1994-09-01,106768.9,62128.3,61000.5,51727,7391.2,15101,-409.7,17783.6,10181.3,177.3,-2659.8,8691.2,11351,-2924.2
1994-12-01,112787.9,63659.2,62341.7,52991.6,6931.8,15022,1762.2,18080.1,12825.7,485.7,-2541.9,9014.7,11556.6,-3436.9
1995-03-01,104812.1,60371.5,59764.1,50436.8,6292.5,16812.6,-2650.7,18475.2,10843.9,4.4,-2939.2,8704.3,11643.5,-2398.3
1995-06-01,105604.3,60984.6,59821.3,50451.8,6132.5,14981.6,1773.1,18582.3,8779.3,-80.6,-3179.5,8789.2,11968.7,-2368.9
1995-09-01,109793.7,63448.2,62274.7,52806.3,6436.3,16729.3,100.9,18474.5,10777.5,-39.1,-3825,9058.8,12883.8,-2308.9
1995-12-01,116890.1,65697.2,64342.7,54782.7,6468.9,16554.6,2447.3,18779.3,13787.8,276.4,-4261.4,9327.9,13589.3,-2860
1996-03-01,109116,62266.7,61594.4,52051.6,6355.4,17946,-2878.4,18944.4,12873.1,220.4,-4409.1,9039.3,13448.5,-2202.5
1996-06-01,108970.8,62335.2,61162.2,51581.1,6731.6,15769.9,2351.2,18992.5,9788.5,-67.6,-4848.4,8972.6,13821,-2082.1
1996-09-01,112265.1,64319.3,63142.7,53471,7536.5,17725,-108,18765.9,10722.7,-13.9,-4589.4,9441.3,14030.6,-2093.2
1996-12-01,120298.2,66806,65453.5,55686,7509.2,17233.4,2782,19308.6,13314.6,265.4,-4156.3,10152.6,14308.9,-2764.7
1997-03-01,111970.8,64555.9,63844.3,54062.7,6823.9,19101.9,-3544.7,19295.4,11653.1,66.4,-4163.1,9990,14153.1,-1818.1
1997-06-01,109786.9,62099.7,60939.5,51161.8,6172.4,16179.4,2309.1,19386.7,8952.2,-96.9,-3478.9,10341.9,13820.7,-1736.8
1997-09-01,113549.5,64554.9,63397.6,53537.9,6161.2,18133.9,637.9,19028.1,10400.1,-32.4,-3535,10446.9,13981.8,-1799.2
1997-12-01,120194.2,66288.7,64961.9,55035.7,5700.6,18031.2,3212.1,19402.7,12516.7,288.2,-2863.5,10983.3,13846.8,-2382.5
1998-03-01,110055.9,62578.5,61864.4,51949.3,5388.9,19564.5,-2770.9,19357.3,10608,113.2,-3243.5,10220.1,13463.6,-1540
1998-06-01,108979.8,62352.5,61003.1,51060.7,5355.2,16155.9,2241.9,19602.2,8001,-22.7,-2829.3,9961.5,12790.7,-1876.9
1998-09-01,111950.7,64583.2,63244.6,53224.8,5580.1,18023.9,-608.7,19355.1,9642.2,-91.5,-2714.4,10248.9,12963.4,-1819.1
1998-12-01,119373.5,66473.2,64964.2,54876.9,5213.9,16870.2,2922.5,19740.4,13470.2,-119.4,-2532.2,10309,12841.2,-2665.3
1999-03-01,109573.1,63334.7,62431.2,52328.7,4932.2,18307.1,-4568.9,19957.7,12308.1,22.6,-3032.4,9886.1,12918.5,-1687.9
1999-06-01,109110,63328.7,61894.1,51737.4,5389.3,15120.4,1088.3,20239,9124.8,-62,-3167.2,9927,13094.2,-1951.2
1999-09-01,112325.7,65340.4,63890.6,53646.6,5853.1,17072,-1428.9,20115.3,10167,-52,-3006.5,10626.6,13633.1,-1734.6
1999-12-01,118216.2,66952.9,65373.3,55050.7,5386.3,16683,1492.1,20453.2,12696.2,-95,-3197.1,11093.1,14290.2,-2155.3
2000-03-01,113284,64871.3,63844.5,53486.7,5123.5,19476,-4137,20716.5,11164.6,125.6,-2685.4,11194.3,13879.7,-1371
2000-06-01,112114.5,64046.4,62790.4,52385.3,5338.6,15492.9,2374.4,21068.9,8284.6,-30.9,-2863.8,11500,14363.8,-1596.6
2000-09-01,115034,65943.4,64636.4,54145.4,5585.4,18349.2,-872,20881.8,9318.9,-51.3,-2881.5,11987.7,14869.2,-1239.8
2000-12-01,121278.9,68177.1,66780.3,56199.1,5525.2,18177.4,2356.8,21232.2,11225.5,-23.3,-3679.1,12142.3,15821.4,-1712.9
2001-03-01,115909.7,65968.7,65092.4,54477.5,5202.7,20631.5,-3316.4,21305,11188.9,74.6,-4057.9,11284.1,15342,-1087.4
2001-06-01,113408.1,65921.6,64609.7,53944,4969.5,16055.4,2693.6,21794.4,7742.5,-101.7,-4163,10811.5,14974.6,-1504.1
2001-09-01,114822.6,67251.2,65863.3,55123.9,5294.9,18215.7,-1120.5,21569,8884.3,-107.2,-3811.7,10793.5,14605.2,-1353
2001-12-01,119446.7,68890.3,67413.6,56599.5,5148.5,16566.6,1976.9,22091.6,10697.5,-28.4,-3824.6,10794.3,14618.9,-2071.7
2002-03-01,113798.4,66584,65576.8,54731.2,4809.5,18729.8,-4562.6,22183.6,10548.5,27.5,-3324.1,10900.9,14225,-1197.7
2002-06-01,113149.9,66621.9,65371.6,54473.1,4906.9,14777.9,1525.1,22340.5,7419.7,-24.7,-3009.3,11645,14654.3,-1408
2002-09-01,116033.7,68291.6,66952.5,55983.2,5252.9,17237.9,-921.9,22176.7,8463.3,-31.6,-3251.1,11916.8,15167.9,-1184.1
2002-12-01,121152.6,69702.3,68257.6,57220.3,5017,16556.6,2191.4,22361.1,10282.1,-93.1,-3289.9,12612.5,15902.4,-1574.9
2003-03-01,115345.4,67184.2,66222.3,55156.6,4672.8,18766.2,-3841.2,22547.1,9890,26.2,-3105.9,12358.4,15464.3,-794
2003-06-01,114915.5,66949.2,65608.5,54493.8,4754.6,15460.7,1852,22766.1,7043.9,5.5,-2618.8,12327,14945.9,-1297.7
2003-09-01,117610.2,68228.4,66792.5,55599.2,5264.7,17320.4,82.6,22524.7,7799.9,-44.8,-2457.7,12933.4,15391.1,-1107.9
2003-12-01,123356.6,70624.7,69065,57819.1,5028.1,17348.9,1785.4,22871.1,9417.4,-182.8,-2248.6,13936,16184.6,-1287.7
2004-03-01,119477.9,68451.5,67388.1,56102.5,4741.6,19621.6,-2826.2,23052.4,9126,-70.7,-1957.2,14137.5,16094.7,-661.1
2004-06-01,117602.6,68019.6,66691,55374.3,4871.6,15903.6,2192.4,22977.4,6296.1,-22.9,-1804.8,14512.2,16317,-830.4
2004-09-01,120348.9,69553.9,68129.5,56758.9,5298.8,18189.4,226.7,22748.1,7016.4,-17.4,-2007.8,14823.7,16831.5,-659.1
2004-12-01,124187.6,70539.8,68962,57546.1,5144.7,17800.9,2289.1,22998.2,8623,-26.6,-2335.9,15440.4,17776.3,-845.5
2005-03-01,120493.2,68602,67551.3,56127.2,4784.5,20889.4,-3060.8,23310.4,8725.5,75.5,-2365,14801.8,17166.8,-468.1
2005-06-01,119303.9,68723.9,67382,55923,4731.3,17605.3,2134.3,23178.6,5524.4,-16.4,-2071.5,15301.9,17373.4,-505.9
2005-09-01,122626.2,70482.4,69022.2,57509.5,5238.2,20149,-62.9,22809.9,6377.2,7.6,-2046.6,15993.3,18039.9,-328.6
2005-12-01,127201.7,72172.9,70539,58975.9,5202.6,18979.3,1810.9,23206.1,7881.6,-26.1,-1487.2,17040.3,18527.5,-538.4
2006-03-01,123555.8,70213,69089.7,57514.9,4844,21610.3,-3228.4,23206.8,8478.4,54.2,-1450,16893.3,18343.3,-172.4
2006-06-01,121034.4,69666.7,68317.1,56707.9,4804.2,17924.3,1734.5,23242.1,5393.7,-25.8,-1498.4,16949.1,18447.5,-207
2006-09-01,122997,70237.8,68753.2,57101.4,5249,20026.2,-91.8,22908.1,5785.4,6.4,-1035.9,17548.1,18584,-88.2
2006-12-01,128990.6,72759.8,71082.7,59377,5206.7,19687,1802.1,23210.2,7467.8,-23.1,-820.9,18259.1,19080,-299.1
2007-03-01,126624.4,70972.2,69838.1,58103.5,4823,22743.7,-2409.3,23372.3,7805.6,5.6,-621.3,18139.9,18761.3,-67.2
2007-06-01,123009.9,70396,69094.7,57325.3,4707,18119.9,1885.7,23501.5,4991,25.9,-582.7,18272.4,18855,-34.5
2007-09-01,124871.8,71109.7,69628.7,57828,4645.7,19892.6,159.4,23118.8,5597.1,-10.2,221.8,19096.6,18874.8,136.9
2007-12-01,130286.4,73046.4,71414.1,59577,4008.5,19310.9,2328,23642.9,7267.9,6,590.6,20180.8,19590.2,85.1
2008-03-01,127338.7,71372.9,70248.7,58385,3892.2,22508.5,-2542.5,23676.7,7476.7,66.9,678.9,20057.4,19378.5,208.3
2008-06-01,122714.4,69320.2,68040.8,56149.5,4036.5,17737.8,2605.9,23369.9,4741.3,-10.1,741.3,19356.8,18615.5,171.6
2008-09-01,123581.9,70382.7,68902.2,56966.1,4530.3,19434,-306.4,23028,5381.4,-33.2,879.5,19796.3,18916.9,285.7
2008-12-01,125637.6,71548.2,69935.7,57956.8,4527.8,18119.2,3416,23487,6798.9,18.9,-2042.1,17658.4,19700.5,-236.2
