"Date","名目季節調整系列:国内総生産(支出側)_兆円","株式時価総額:一部_兆円","Warren Buffett Indicator"
1994-03-01,500.9401,340.797081,0.68
1994-04-01,,349.660582,
1994-05-01,,366.97505,
1994-06-01,498.4758,365.021201,0.73
1994-07-01,,357.335526,
1994-08-01,,358.148692,
1994-09-01,504.3889,344.117873,0.68
1994-10-01,,347.169236,
1994-11-01,,333.387175,
1994-12-01,502.2238,342.140944,0.68
1995-01-01,,321.335447,
1995-02-01,,296.132491,
1995-03-01,504.9727,287.247774,0.57
1995-04-01,,292.598564,
1995-05-01,,275.53668,
1995-06-01,510.3237,263.123296,0.52
1995-07-01,,293.915589,
1995-08-01,,314.06723,
1995-09-01,516.623,318.833755,0.62
1995-10-01,,312.929845,
1995-11-01,,328.828911,
1995-12-01,517.8402,350.23751,0.68
1996-01-01,,358.468136,
1996-02-01,,346.854245,
1996-03-01,521.4156,360.813502,0.69
1996-04-01,,381.504988,
1996-05-01,,374.664065,
1996-06-01,526.2253,382.004943,0.73
1996-07-01,,353.665328,
1996-08-01,,345.05327,
1996-09-01,525.3843,369.103464,0.7
1996-10-01,,352.853631,
1996-11-01,,355.944434,
1996-12-01,530.7068,336.385108,0.63
1997-01-01,,313.975898,
1997-02-01,,318.275508,
1997-03-01,533.1077,314.429431,0.59
1997-04-01,,330.188891,
1997-05-01,,340.829541,
1997-06-01,532.9592,356.76217,0.67
1997-07-01,,355.065148,
1997-08-01,,329.583899,
1997-09-01,534.9544,321.96179,0.6
1997-10-01,,297.355955,
1997-11-01,,291.85247,
1997-12-01,536.6078,273.907955,0.51
1998-01-01,,295.918947,
1998-02-01,,297.313746,
1998-03-01,528.8739,292.838446,0.55
1998-04-01,,286.348102,
1998-05-01,,286.301506,
1998-06-01,525.8959,288.650534,0.55
1998-07-01,,296.074108,
1998-08-01,,260.01559,
1998-09-01,525.1383,245.766459,0.47
1998-10-01,,252.84468,
1998-11-01,,279.472371,
1998-12-01,531.4846,267.783547,0.5
1999-01-01,,277.438707,
1999-02-01,,276.245232,
1999-03-01,520.4916,313.370438,0.6
1999-04-01,,331.171449,
1999-05-01,,322.171622,
1999-06-01,521.1318,351.879308,0.68
1999-07-01,,369.340892,
1999-08-01,,364.685751,
1999-09-01,520.0656,381.030802,0.73
1999-10-01,,396.304465,
1999-11-01,,418.625772,
1999-12-01,519.2069,442.443338,0.85
