"Date","経常収支","経常収支:貿易・サービス収支","経常収支:貿易・サービス収支:貿易収支","経常収支:貿易・サービス収支:貿易収支:輸出","経常収支:貿易・サービス収支:貿易収支:輸入","経常収支:貿易・サービス収支:サービス収支","経常収支:第一次所得収支","経常収支:第二次所得収支","資本移転等収支","金融収支","金融収支:直接投資","金融収支:証券投資","金融収支:金融派生商品","金融収支:その他投資","金融収支:外貨準備","誤差脱漏"
2015-11-01,10240,-3154,-3273,59439,62712,119,15279,-1885,-94,20108,10050,18315,-478,-10519,2740,9962
2015-12-01,7739,-889,1616,62621,61005,-2505,9371,-743,-213,12871,12310,7524,3167,-8613,-1516,5344
2016-01-01,5774,-6193,-4320,53626,57946,-1873,13295,-1327,-5238,7578,10686,11748,172,-16819,1790,7041
2016-02-01,23803,5665,4036,56454,52419,1630,20126,-1988,-146,30456,13158,95512,-9263,-70004,1053,6799
2016-03-01,29722,11400,8771,63367,54596,2630,21591,-3269,-234,52077,11557,93875,-3107,-47586,-2663,22588
2016-04-01,18161,2712,6825,56167,49342,-4113,17452,-2002,204,16157,8492,-52627,-4656,65239,-292,-2209
2016-05-01,17576,1127,308,50636,50328,819,18936,-2487,-80,40013,5383,66788,-3139,-31097,2077,22517
2016-06-01,9765,6044,7625,58458,50833,-1581,4127,-406,-87,13627,4652,30083,-4131,-14318,-2659,3949
2016-07-01,19396,3972,6007,55560,49553,-2035,16935,-1511,-466,40236,4767,32147,-3308,8702,-2073,21306
2016-08-01,19704,1675,2180,53000,50819,-506,19811,-1781,-129,31244,-1211,65577,-4023,-28793,-306,11669
2016-09-01,18643,5743,6672,58805,52133,-929,15100,-2200,-269,33480,45202,4580,-1687,-15786,1171,15106
2016-10-01,15466,2390,5659,57490,51831,-3269,14749,-1673,-790,7866,15546,31254,-925,-33063,-4946,-6811
2016-11-01,14267,4035,3400,59418,56017,635,12049,-1817,-99,11842,6326,-23402,4863,22284,1771,-2326
2016-12-01,11143,5201,8087,66815,58728,-2886,6841,-900,-99,2412,21066,-51994,11968,22075,-704,-8632
2017-01-01,655,-10892,-8534,55173,63707,-2357,12655,-1108,-235,-15351,11110,-47137,5916,3775,10986,-15771
2017-02-01,28136,10130,10768,63339,52570,-639,19751,-1745,-119,17752,21355,-28642,3758,16762,4519,-10265
2017-03-01,29077,10459,8655,71659,63004,1804,21951,-3333,-315,50249,24228,35134,2287,-7559,-3841,21486
