"Date","原子力原動機","火水力原動機","内燃機関","発電機","その他重電機","電子計算機","通信機","電子応用装置","電気計測器","半導体製造装置","風水力機械","運搬機械","産業用ロボット","金属加工機械","化学機械","冷凍機械","合成樹脂加工機械","繊維機械","建設機械","鉱山機械","農林用機械","その他","工作機械","鉄道車両","道路車両","航空機","船舶","合計"
2005-04-01,300.31,407.46,602.67,68.89,992.09,2966.75,1881.96,429.33,535.07,1248,512.86,912.84,424.32,290.97,958.58,300.09,199.68,115.61,1169.17,30.24,568.64,768,990.44,208.45,511.07,342.8,2148.92,19885.21
2005-05-01,324.51,323.27,405.86,48.39,863.12,3112.13,1495.35,320.92,422.75,986.84,458.58,928.57,375.28,290.87,602.81,357.92,174.21,130.94,1137.54,18.87,431.88,701.6,894.53,192.56,547.29,376.63,1679.27,17602.49
2005-06-01,346.34,868.19,563.27,86.89,1194.63,4299.02,1773.47,349.1,425.29,1536.18,659.73,818.46,432.19,243.44,1425.68,429.88,184.02,145.94,1193.46,32.21,512.04,689.44,966.85,241.68,644.75,486.33,1134.75,21683.23
2005-07-01,254.78,233.35,546.81,56.85,1091.57,2763.46,1454.26,349.57,446.98,1335.83,565.1,719.15,358.62,238.5,1623.01,407.78,190.71,147.42,1249.75,27.95,502.72,636.78,963.93,1672.36,718.02,270.69,1815.86,20641.81
2005-08-01,215.36,300.34,633.31,114.2,1155.26,3488.14,1440.21,293.42,491.04,1217.87,683.68,700.98,314.99,215.21,936.96,315.62,213.14,113.28,1106.84,31.82,511.46,583.78,912.11,135.47,724.98,278.57,891.41,18019.45
2005-09-01,391.25,1119.15,574.92,117.99,1684.91,6034.93,1686.66,349.58,586.93,1640.38,837.51,1036.81,365.96,326.61,4898.99,371.86,202.85,126.52,1292.35,30.99,533.46,1140.51,996.55,849.23,656.82,1135.97,2135.39,31125.08
2005-10-01,141.3,285.2,461.01,89.81,1366.79,2634.87,1782.23,347.34,539.59,1646.65,701.61,744.45,363.77,224.17,583.03,262.98,191.12,108.11,1212.53,34.99,364.21,739.13,928.63,244,535.39,656.68,887.43,18077.02
2005-11-01,279.55,840.31,681.68,94.8,1300.6,3028.07,1837.88,361.5,500.68,1284.03,674.61,682.08,351.42,255.12,941.08,306.79,201.09,123.24,1313.94,35.95,439.7,700.18,1010.05,338.67,605.03,410.35,1818.82,20417.22
2005-12-01,325.94,541.36,632.54,107.7,1305.89,4922.09,2078.38,380.13,595.16,1773.68,720.48,717.93,365.13,320.86,3922.11,325.91,217.79,99.39,1483.66,37.73,398.81,827.2,1117.42,245.22,602.6,674.06,1347.74,26086.91
2006-01-01,237.33,293.9,578.14,60.3,924.36,2538.83,1427.98,347.02,472.48,1481.37,572.56,660.15,392.73,185.31,732.23,349.92,215.8,105.03,1248.84,32.72,379.85,783.73,967.75,324.54,655.67,316.18,1021.49,17306.21
2006-02-01,456.1,839.28,721.67,111.38,1065.93,3364.73,1348.09,359.13,541.35,1467.03,577.58,661.24,394.17,195.28,1329.61,317.53,216.56,133.25,1339.74,50.26,493.79,725.18,918.37,237.26,689.92,1222.9,1569.54,21346.87
2006-03-01,1535.75,3737.35,714.75,219.37,1964.11,6800.95,3105.97,606.23,657.1,2377.89,975.69,1184.78,414.31,326.05,3143.69,491.99,218.44,226.04,1609.13,27.87,776.74,1362.51,1052.48,1572.64,917.16,3687.59,4880.8,44587.38
2006-04-01,297.52,537.74,724.51,64.75,1184.86,3169.76,1943.63,669.2,539.74,1730.36,587.69,909.65,481.95,469.71,692.46,282.03,208.27,190.42,1478.46,22.77,470.18,655.73,983.05,442.29,652.36,409.27,1886.79,21685.15
2006-05-01,307.43,570.52,519.11,163.41,1277.9,3041.39,1452.55,422.21,484.78,1916.75,611,917.29,474.46,239.76,1211.56,352.57,215.47,165.94,1388.8,17.97,471.47,607.49,1012,754.21,658.19,279.52,1026.71,20560.46
2006-06-01,338.31,756.97,514.86,95.91,1471.11,4380.38,1868.04,482.43,570.63,3280.27,953.86,1149.18,391.36,307.87,2160.6,479.32,209.18,170.93,1539.96,10.31,482.06,1014.5,1057.74,710.82,781.07,641.4,1447.17,27266.24
2006-07-01,225.73,380.42,823.14,45.32,1190.12,2888.24,1402.14,392.83,391.09,1576.32,566.94,829.22,339.23,280.24,903.03,419.97,189.25,136.81,1481.96,19.43,505.03,526.23,961.77,610.53,760.25,629.99,2310.75,20785.98
2006-08-01,191.75,1148.12,557.47,48.73,1159.84,3108.94,1433.74,399.83,419.94,1818.13,739.25,776.72,332.41,235.42,2554.93,349.61,172.1,136.52,1419.37,13.57,518.4,578.16,1009.6,161.93,755.61,289.88,907.69,21237.66
2006-09-01,544.92,1674.01,761.63,180.71,2456.2,5393.12,2064.08,462.42,613.95,2266.05,882.33,967.57,345.75,396.28,1822.77,400.1,180.64,124.56,1496.21,37.18,572.42,915.6,956.57,852.96,796.06,1508.32,1429.79,30102.2
2006-10-01,226.25,395.59,608.07,100.82,1539.21,2977.06,1750.46,458.09,391.81,1437.85,611.05,916.68,323.21,302.65,531.47,271.79,157.24,132.44,1382.62,17.45,373.29,616.4,946.03,268.97,632.21,568.09,2147.88,20084.68
2006-11-01,431.9,465.37,641.53,105.81,1527.63,3215.24,1534.31,399.43,505.52,1487.76,614.85,797.41,348.16,310.82,1050.29,356.49,219.07,137.32,1403.28,11.95,393.63,816.66,974.59,405.44,627.78,445.47,4390.85,23618.56
2006-12-01,251.93,1067.12,791.44,161.6,1638.73,4432.07,2135.51,451.49,604.66,2499.11,629.84,803.44,405.83,261.76,1383.79,399.27,188.45,160.57,1676.25,14.1,441.37,757.6,1022.12,491.45,701.88,839.7,2092.2,26303.28
2007-01-01,181.1,321.21,564.4,45.37,1216.44,2956.53,1265.09,464.89,440.37,2222.4,564.93,741.15,323.87,233.86,786.91,289.12,180.61,152.35,1387.93,24.84,402.92,553.78,1002.68,249.75,700.18,594.14,1742.2,19609.02
2007-02-01,442.81,560.12,659.51,86.18,1253.2,3185.44,1808.46,396.64,491.32,1240.91,682.35,725.87,311.88,304.82,1133.19,347.26,186.1,143.69,1954.02,14.64,461.43,1008.8,1069.39,195,716.55,1646.36,1893.59,22919.53
