"Date","総数","アジア計","韓国","中国","台湾","香港","タイ","シンガポール","マレーシア","インドネシア","フィリピン","ベトナム","インド","イスラエル","トルコ","ヨーロッパ計","英国","フランス","ドイツ","イタリア","ロシア","スペイン","スウェーデン","オランダ","スイス","ベルギー","フィンランド","ポーランド","デンマーク","ノルウェー","オーストリア","ポルトガル","アイルランド","アフリカ計","北アメリカ計","米国","カナダ","メキシコ","南アメリカ計","ブラジル","オセアニア計","豪州","ニュージーランド","無国籍・その他","マカオ","モンゴル","その他アジア","その他ヨーロッパ","その他北アメリカ","その他南アメリカ","その他オセアニア"
2004-10-01,539353,353095,122877,56111,94104,23446,12457,6455,6097,4044,13168,2039,4823,1102,648,74951,19876,10216,11631,4200,4804,2228,2659,3337,2491,1374,1407,664,1238,852,1384,868,1076,1971,86650,71190,13060,1850,3046,1479,19577,16515,2790,63,,,,,,,
2004-11-01,486403,328016,128369,47522,74876,19173,6912,11157,7849,7483,12828,1677,4411,1073,525,64103,17018,8638,10128,3553,4919,1508,2037,2772,1766,1236,1236,644,1191,773,1172,617,986,1688,74229,61772,10864,1113,2017,863,16296,13608,2494,54,,,,,,,
2004-12-01,455394,310848,120817,38776,65227,27921,7472,13060,7720,6375,13429,1148,3761,753,423,50052,15105,6748,6682,2612,4166,1203,1436,1986,1436,785,815,384,647,483,739,1080,829,1334,69643,55635,12623,1082,2358,1084,21103,18226,2735,56,,,,,,,
2005-01-01,516280,359018,174775,48412,76413,17760,5514,4287,3970,3714,11945,1420,5107,743,567,58043,18333,8128,8122,2940,4039,1145,1762,2792,1518,892,948,555,869,628,800,531,1254,1622,72345,57704,13091,998,2013,931,23176,19860,3075,63,,,,,,,
2005-02-01,519460,375692,148946,51101,96399,37818,6245,6840,5351,2505,10284,1188,4096,804,358,56645,17644,8041,7985,2560,4177,1319,1544,2219,1469,911,1016,464,755,679,975,830,953,1534,66199,53128,11777,835,1872,905,17423,15031,2151,95,,,,,,,
2005-03-01,557640,359276,130963,50649,89753,27248,13479,7974,8345,4699,13022,1912,4529,1061,666,75270,22172,9750,12150,3862,5543,2162,2306,2595,2333,1578,1277,633,1093,887,1190,846,1396,2230,98263,80916,14637,2147,2769,1300,19732,16646,2806,100,,,,,,,
2005-04-01,584406,388177,122084,56321,120282,16984,20516,7885,8756,4590,16577,2051,4808,1101,482,76847,22051,12123,10978,4570,5388,2016,2272,2873,2456,1229,1107,640,1447,873,1148,595,1239,2012,91952,76971,12874,1273,3620,1640,21699,17898,3532,99,,,,,,,
2005-05-01,530752,357077,114151,50721,114392,16529,11068,7590,7076,4577,15598,1759,6230,1050,557,63453,15695,9183,9681,3766,4744,2050,1754,2537,2005,1285,1256,719,929,699,1066,619,965,1890,86804,73094,11593,1511,3310,1711,18137,15027,2773,81,,,,,,,
2005-06-01,551134,374766,133177,44086,121516,22984,7469,8493,5551,5597,12485,1915,4894,718,574,56312,14017,7686,8236,3202,5248,1806,1651,2091,1529,1234,827,616,938,634,838,1179,954,2067,93934,81686,10101,1627,2528,1220,21448,18463,2580,79,,,,,,,
2005-07-01,669172,471907,170420,60844,153393,32608,8203,5983,4784,5797,14556,2233,5010,1012,773,72836,19663,10232,10004,4049,6379,3343,1596,2700,2338,1287,857,570,1056,739,1153,1178,1265,2177,95907,78619,14096,2566,3096,1578,23172,19254,3371,77,,,,,,,
2005-08-01,618655,448769,193279,65026,116030,27826,7524,4903,4868,4260,10255,2000,5266,832,497,67628,18820,9421,8512,4420,5557,3313,1510,2500,1753,964,900,531,769,631,951,1691,1388,2365,77816,62645,13087,1363,2619,1340,19373,16019,3015,85,,,,,,,
2005-09-01,540462,369841,130269,66216,100895,20303,10373,5989,6161,5039,9895,2021,4783,996,566,67300,16602,9057,10340,3926,5577,2973,2025,2382,2129,1218,1064,744,1103,738,1176,681,1244,2618,71916,58916,10460,1928,3432,1817,25283,21072,3849,72,,,,,,,
2005-10-01,599539,396643,146650,61239,107093,21968,13017,7983,7639,6079,9669,2588,5040,1307,753,85455,22673,11275,14418,5067,6207,2502,3126,3293,2700,1584,1533,564,1523,881,1417,762,1229,1741,92773,76704,13461,1916,3949,1841,18908,15810,2813,70,,,,,,,
2005-11-01,526229,362568,140442,52670,93862,22946,7970,9839,7277,6220,7653,1784,5069,988,741,67150,17573,8690,11207,3613,6301,1830,2059,2573,1655,1241,1241,540,1105,805,967,684,999,2021,77337,63612,11810,1361,2238,1040,14829,12297,2339,86,,,,,,,
2005-12-01,514197,363744,142015,45535,84584,33836,8860,16395,8395,5897,7633,1267,3740,722,433,51852,16292,7236,6796,2716,4449,1270,1492,1952,1345,739,869,334,795,502,638,1077,826,1378,72563,58038,13025,1098,2885,1878,21714,18802,2677,61,,,,,,,
2006-01-01,613596,453684,192590,68854,109560,36601,6716,6958,6213,3987,8515,1643,5452,661,640,58940,18162,8487,7928,2847,5086,1151,2015,2322,1233,840,1053,481,1149,595,911,789,1258,1672,73425,57337,14659,1006,2119,1147,23655,20315,3115,101,,,,,,,
2006-02-01,513906,386518,174239,55842,92508,28071,6876,4769,4175,2705,5986,2080,4060,687,512,50262,14494,7423,8099,2658,3710,1205,1478,1992,1226,903,1021,382,993,509,742,589,860,1154,58061,47426,9447,860,1726,846,16119,14141,1833,66,,,,,,,
2006-03-01,579197,396170,149071,70491,94927,26440,14779,7597,7501,3544,7613,2246,4834,1003,626,69901,19438,9473,11741,3817,4724,2054,2514,2411,2068,1144,1511,639,1217,846,1147,733,1016,1929,90495,73875,14400,1605,2723,1412,17902,15196,2465,77,,,,,,,
2006-04-01,672319,475735,162657,73932,128895,34728,22015,10935,10267,6244,10491,2459,5346,1263,677,78472,22457,13088,11206,3763,5007,2526,2803,2804,2551,1314,1399,549,1344,910,1183,888,1115,1767,92944,76335,13972,2064,3189,1813,20080,16441,3383,132,,,,,,,
2006-05-01,586326,413623,161080,64298,110240,23532,10357,9082,6937,3724,9663,1918,6283,923,594,64313,17131,10329,9897,3537,5070,1765,1805,2474,1802,1089,1192,574,991,580,978,679,909,1763,85962,72321,11616,1467,2688,1303,17909,14943,2570,68,,,,,,,
2006-06-01,557600,389128,153706,51243,110294,25408,6741,10777,5270,4657,7860,1811,4904,831,567,52375,13462,7946,7044,2966,4354,1521,1793,2024,1277,833,1218,511,810,545,761,1627,890,1642,94838,83297,9898,1200,2360,1216,17186,14536,2282,71,,,,,,,
2006-07-01,701527,510852,197622,81476,146392,35949,7317,7345,5779,5284,8295,2393,5493,937,605,71386,18731,11128,9271,4061,6240,2831,1783,2792,2245,1253,1224,599,1033,698,1159,1372,1156,1980,94973,77174,14714,2482,3242,1857,18980,15713,2867,114,,,,,,,
2006-08-01,655488,487625,220332,81117,112300,29994,6679,5582,4951,3883,7539,2073,5127,848,745,67155,17448,10096,8386,4981,5261,3986,1473,2222,1537,918,1020,621,787,589,909,2114,898,2329,79132,63280,13609,1498,2602,1382,16546,13804,2469,99,,,,,,,
