"Date","消費支出(円,原数値)","エンゲル係数(%)","世帯人員(人)"
2000-01-01,309621,21.6,3.32
2000-02-01,290663,23.7,3.32
2000-03-01,335341,22.1,3.32
2000-04-01,335276,21.5,3.32
2000-05-01,308566,24.4,3.31
2000-06-01,297648,24.1,3.31
2000-07-01,326480,22.7,3.31
2000-08-01,309993,24.6,3.31
2000-09-01,296457,24.3,3.31
2000-10-01,309193,24,3.3
2000-11-01,297144,23.8,3.3
2000-12-01,391556,23.4,3.29
2001-01-01,308912,21.7,3.29
2001-02-01,293698,22.6,3.29
2001-03-01,339910,21.1,3.29
2001-04-01,318509,21.6,3.29
2001-05-01,300346,23.9,3.28
2001-06-01,286054,24.4,3.28
2001-07-01,314251,22.9,3.28
2001-08-01,302474,24.3,3.28
2001-09-01,283973,24.8,3.28
2001-10-01,305653,23.4,3.28
2001-11-01,294929,23.3,3.28
2001-12-01,359940,24.8,3.28
2002-01-01,305221,21.5,3.26
2002-02-01,273487,23.4,3.25
2002-03-01,330380,21.7,3.25
2002-04-01,320228,21.5,3.25
2002-05-01,291968,25,3.24
2002-06-01,289427,24.3,3.24
2002-07-01,315699,22.4,3.24
2002-08-01,298788,24.8,3.24
2002-09-01,295423,23.7,3.24
2002-10-01,304989,23.1,3.24
2002-11-01,289126,23.7,3.24
2002-12-01,356702,24.6,3.23
2003-01-01,298734,21.5,3.24
2003-02-01,270619,23.4,3.23
2003-03-01,321847,22.1,3.23
2003-04-01,315074,21.6,3.23
2003-05-01,287172,24.7,3.22
2003-06-01,291742,23.5,3.22
2003-07-01,302444,23.1,3.22
2003-08-01,302283,23.9,3.21
2003-09-01,287699,23.6,3.21
2003-10-01,299754,23.3,3.21
2003-11-01,289498,23.3,3.21
2003-12-01,355228,24.1,3.21
2004-01-01,301275,21.6,3.21
2004-02-01,284916,23.1,3.21
2004-03-01,322091,21.5,3.2
2004-04-01,325593,20.4,3.19
2004-05-01,299964,23.8,3.2
2004-06-01,283000,23.9,3.2
2004-07-01,302616,23,3.19
2004-08-01,301059,23.7,3.19
2004-09-01,284946,23.7,3.18
2004-10-01,296794,23.7,3.19
2004-11-01,287806,23.3,3.18
2004-12-01,345643,24.5,3.18
2005-01-01,302145,21.3,3.18
2005-02-01,272407,23,3.18
2005-03-01,319333,21.3,3.18
2005-04-01,317844,21.1,3.18
2005-05-01,295783,23.8,3.17
2005-06-01,284002,23.4,3.18
2005-07-01,294764,23.4,3.17
2005-08-01,302201,23.2,3.17
2005-09-01,288147,23.3,3.17
2005-10-01,300146,23.1,3.17
2005-11-01,283603,23.1,3.17
2005-12-01,346003,24.3,3.17
2006-01-01,294617,21.4,3.16
2006-02-01,269418,22.7,3.16
2006-03-01,313350,21.6,3.16
2006-04-01,312872,21.3,3.16
2006-05-01,292114,23.7,3.16
2006-06-01,280824,23.6,3.16
2006-07-01,292328,23.3,3.16
2006-08-01,292087,24,3.16
2006-09-01,273194,24.3,3.16
2006-10-01,294693,23.4,3.16
2006-11-01,282860,23.2,3.16
2006-12-01,340959,24.6,3.15
2007-01-01,296472,21.8,3.15
2007-02-01,272763,22.7,3.15
2007-03-01,313563,21.9,3.15
2007-04-01,316163,21.2,3.15
2007-05-01,293231,23.7,3.15
2007-06-01,280587,23.9,3.15
2007-07-01,291632,23.1,3.15
2007-08-01,296035,23.8,3.14
2007-09-01,281448,24.1,3.14
2007-10-01,296984,23,3.14
2007-11-01,282836,23.2,3.13
2007-12-01,351667,23.9,3.13
2008-01-01,309826,20.4,3.13
2008-02-01,275827,23.2,3.13
2008-03-01,312565,22.1,3.13
2008-04-01,310695,21.4,3.14
2008-05-01,288128,24.2,3.13
2008-06-01,281951,23.7,3.13
2008-07-01,298366,22.8,3.13
2008-08-01,291154,24.4,3.13
2008-09-01,281433,23.8,3.12
2008-10-01,291504,23.8,3.12
2008-11-01,284762,24.1,3.12
2008-12-01,336976,25.1,3.12
2009-01-01,291440,22,3.12
2009-02-01,266044,23.2,3.11
2009-03-01,310680,21.9,3.11
2009-04-01,306340,21.5,3.11
2009-05-01,285530,24.8,3.11
2009-06-01,277237,24,3.11
2009-07-01,285078,23.6,3.11
2009-08-01,290972,24.3,3.1
2009-09-01,277110,24.1,3.1
2009-10-01,287789,24,3.1
2009-11-01,284740,23.3,3.1
2009-12-01,337887,24.5,3.1
2010-01-01,291918,22,3.09
2010-02-01,261163,23.4,3.09
2010-03-01,319991,21,3.09
2010-04-01,299996,21.6,3.09
