"Date","SINGAPORE:Singapore EPU"
2003-01-01,131.900182931795
2003-02-01,140.060819933175
2003-03-01,176.556777208618
2003-04-01,138.744540494305
2003-05-01,107.590035446577
2003-06-01,94.7612816461456
2003-07-01,80.4449970497489
2003-08-01,69.1332247986112
2003-09-01,84.7596298733466
2003-10-01,81.9944672930899
2003-11-01,67.9944082584543
2003-12-01,72.715726748969
2004-01-01,76.2637883971988
2004-02-01,63.5398899817887
2004-03-01,78.9391440752445
2004-04-01,70.2001943431819
2004-05-01,103.505937641174
2004-06-01,70.5375919337184
2004-07-01,67.6912983485725
2004-08-01,74.3823654345947
2004-09-01,79.0355103236275
2004-10-01,90.4273757142736
2004-11-01,82.3041617905786
2004-12-01,68.1771745029434
2005-01-01,57.7630794707248
2005-02-01,47.9705634971167
2005-03-01,55.3103988302742
2005-04-01,60.9072155090666
2005-05-01,71.5005568742483
2005-06-01,60.0612973938407
2005-07-01,55.2886857680979
2005-08-01,63.7479170287986
2005-09-01,82.5864498560257
2005-10-01,55.5315776631682
2005-11-01,66.7277514113855
2005-12-01,57.3737163942097
2006-01-01,65.2853286239194
2006-02-01,56.119039492187
2006-03-01,58.9418301873377
2006-04-01,76.4646024871366
2006-05-01,60.8626199849215
2006-06-01,76.4721093719263
2006-07-01,61.5391106972723
2006-08-01,51.783641155056
2006-09-01,58.1291911722283
2006-10-01,60.8405497846672
2006-11-01,55.581371170717
2006-12-01,58.824689925435
2007-01-01,65.938155220601
2007-02-01,54.4252000655618
2007-03-01,61.1006358592479
2007-04-01,58.2218566108172
2007-05-01,51.3650738698298
2007-06-01,56.3218762637558
2007-07-01,60.797138178024
2007-08-01,70.7350719629098
2007-09-01,90.3623595666122
2007-10-01,78.2031131439092
2007-11-01,85.7892682654312
2007-12-01,90.4664818641297
2008-01-01,131.746312731188
2008-02-01,106.025601777351
2008-03-01,122.293299806004
2008-04-01,96.3809676685157
2008-05-01,83.143904713239
2008-06-01,103.911832245423
2008-07-01,109.669348495574
2008-08-01,109.006317167206
2008-09-01,191.72473085306
2008-10-01,202.75484163053
2008-11-01,153.437719495231
2008-12-01,157.993348196799
2009-01-01,155.211527008087
2009-02-01,154.036990292378
2009-03-01,134.756423370757
2009-04-01,110.868949412124
2009-05-01,104.265729801818
2009-06-01,108.61492986997
2009-07-01,106.838309197284
2009-08-01,97.3234611803507
2009-09-01,104.921923317248
2009-10-01,83.36571593087
2009-11-01,93.8179935021289
2009-12-01,95.9590521281537
2010-01-01,106.070544084956
2010-02-01,106.469117419154
2010-03-01,97.5560681506601
2010-04-01,94.2565990068759
2010-05-01,152.819431288186
2010-06-01,137.74684684905
2010-07-01,123.734099463587
2010-08-01,120.716986960865
2010-09-01,128.712352939601
2010-10-01,110.109364198966
2010-11-01,118.33505677764
2010-12-01,120.643418466086
2011-01-01,118.474993477026
2011-02-01,84.6179308661728
2011-03-01,121.568688129118
2011-04-01,107.829560531479
2011-05-01,77.9128491633681
2011-06-01,102.72249853383
2011-07-01,158.46666767247
2011-08-01,214.726230655599
2011-09-01,185.458756399843
2011-10-01,177.021176195814
2011-11-01,222.228274193607
2011-12-01,209.041345757969
2012-01-01,186.812050248685
2012-02-01,155.090916297861
2012-03-01,147.500092046463
2012-04-01,128.649545729198
2012-05-01,173.775658034208
2012-06-01,210.948663309842
2012-07-01,173.412248622605
2012-08-01,136.823026565423
2012-09-01,145.57764321216
2012-10-01,179.121287488697
2012-11-01,191.456518943563
2012-12-01,166.627054729278
2013-01-01,162.867838940983
2013-02-01,132.052078276584
2013-03-01,119.452836089675
2013-04-01,129.30511571465
2013-05-01,100.009868284571
2013-06-01,103.148250976447
2013-07-01,110.316008571638
2013-08-01,118.425507127355
2013-09-01,111.901890317238
2013-10-01,128.592186231411
2013-11-01,81.4981045948498
2013-12-01,111.913553742646
2014-01-01,97.1530638430634
2014-02-01,83.2347877504241
2014-03-01,101.726268193814
2014-04-01,76.6860977850314
2014-05-01,83.4542066753534
2014-06-01,77.5230445777749
2014-07-01,89.0394563132699
2014-08-01,100.392059998781
2014-09-01,118.141343194365
2014-10-01,130.975531564627
2014-11-01,96.6099578615652
2014-12-01,97.8273575965419
2015-01-01,145.000144045662
2015-02-01,102.710828454981
2015-03-01,81.6950746730719
2015-04-01,89.2581277244949
2015-05-01,100.508456392987
2015-06-01,110.946003611925
2015-07-01,146.833489987407
2015-08-01,141.046478067101
2015-09-01,201.980593990015
2015-10-01,136.930114341823
2015-11-01,90.0688411174381
2015-12-01,112.398393582171
2016-01-01,162.255607407188
2016-02-01,169.837623747278
2016-03-01,173.329846325936
2016-04-01,150.16752166938
2016-05-01,150.5307412787
2016-06-01,258.97432876892
2016-07-01,292.734828095802
2016-08-01,151.600535726053
2016-09-01,177.905750153896
2016-10-01,141.36170163204
2016-11-01,282.516146104395
2016-12-01,299.548557605368
2017-01-01,325.026388781802
2017-02-01,242.241402915151
2017-03-01,251.852229968656
2017-04-01,179.98121294828
