CO2 emissions from fuel combustion,million tonnes of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,340.146604,357.82722,375.568472,385.256192,377.025753,389.142912,401.524238,403.038837,417.217207,422.166144,402.68778,385.591641,378.972794,394.302511,393.807065,385.675448,396.550012,426.605117,442.168151,419.518923,412.99818,425.751831,423.196827,438.397911,448.906571,462.819055,478.444909,484.603198,494.674278,516.167094,508.486911,514.350298,534.1625,526.087143,535.080909,524.118875,556.239377,542.854107,513.665439,525.847042,535.827379,537.203351,549.66583,554.802591
Chile,21.029624,20.635647,20.000008,19.702818,17.105471,17.886024,18.673901,19.384248,20.622842,21.3977,21.293975,18.381054,19.006853,20.209646,19.624773,20.219948,20.503366,24.801466,30.000915,29.426764,28.259445,29.199302,30.962776,33.989945,37.063883,42.901764,49.41664,50.075667,52.62059,48.610004,46.660445,47.413606,48.603023,53.334354,54.419293,55.662341,63.056051,66.513859,64.194728,68.587529,75.29713,77.21706,82.011827,75.813215
Mexico,93.724832,106.422546,117.601055,128.249601,134.521637,145.155801,154.261022,170.147407,183.773669,204.546844,219.478093,230.299058,223.774024,231.769748,241.084221,239.806797,249.397196,248.249247,261.976709,256.869765,275.053779,277.917708,285.500509,309.24097,291.23857,304.680416,322.91357,345.256277,335.787148,359.616673,360.483779,368.002038,385.057852,394.014681,410.672959,424.809758,431.762382,432.24343,423.469378,437.94969,455.216301,457.638096,448.113266,430.924368
United States,4288.093141,4526.993907,4690.048138,4538.990865,4354.96582,4615.842297,4780.672165,4770.151804,4799.348089,4594.92607,4533.113721,4320.397601,4293.865837,4484.904457,4513.650711,4477.433815,4632.358935,4841.328748,4903.846108,4802.45181,4765.154844,4837.102079,4952.068198,5023.416401,5073.179874,5229.780684,5396.535323,5414.97822,5438.356436,5642.637667,5605.139933,5535.845303,5609.354962,5687.795929,5702.274653,5601.660651,5685.860334,5511.623947,5119.865158,5347.049212,5211.078251,5031.251301,5103.166926,5176.211155
OECD Americas,4742.994201,5011.87932,5203.217673,5072.199476,4883.618681,5168.027034,5355.131326,5362.722296,5420.961807,5243.036758,5176.573569,4954.669354,4915.619508,5131.186362,5168.16677,5123.136008,5298.809509,5540.984578,5637.991883,5508.267262,5481.466248,5569.97092,5691.72831,5805.045227,5850.388898,6040.181919,6247.310442,6294.913362,6321.438452,6567.031438,6520.771068,6465.611245,6577.178337,6661.232107,6702.447814,6606.251625,6736.918144,6553.235343,6121.194703,6379.433473,6277.419061,6103.309808,6182.957849,6237.751329
Australia,143.356059,148.414983,157.722343,172.534387,179.452326,181.875961,195.909718,191.089989,197.378526,206.73747,207.369332,213.685878,201.776767,208.058754,220.151376,221.521315,231.837716,240.829324,254.30619,259.727121,261.073601,265.094848,269.002778,274.943397,285.354465,295.836409,303.137057,323.799543,328.860526,334.700731,341.033428,349.014523,352.855998,366.654717,371.915656,377.347315,387.448668,389.951308,396.024802,389.539308,387.403041,387.089271,383.122478,373.78409
Israel,13.773179,14.432018,15.653873,15.820818,16.407455,16.48178,17.382494,18.576973,19.004785,18.848253,19.636465,20.931985,21.776683,22.668167,24.307556,26.718179,28.988913,30.693603,31.945719,32.810519,33.321275,35.547063,39.038693,41.845551,44.865002,47.051349,49.238535,49.306469,50.700863,54.834737,56.122668,59.249021,60.991971,61.165662,58.788073,61.998007,64.258853,64.469175,63.844685,68.428326,67.504035,73.741809,67.661531,64.693591
Japan,750.65674,788.495439,897.450914,885.685119,849.548193,876.073645,900.752025,895.336988,917.488184,870.229567,846.245566,819.87761,825.815656,886.366811,865.851824,865.918288,871.073044,936.583253,964.295497,1040.596782,1043.648976,1054.200859,1046.024887,1095.209524,1107.733054,1120.683522,1114.560506,1085.801709,1126.059855,1141.242037,1130.856205,1168.72783,1175.845378,1172.348351,1177.674174,1162.338196,1206.436911,1120.602626,1059.944388,1111.82368,1165.720431,1208.811949,1229.595874,1188.62581
Korea,52.935926,54.846542,68.225806,71.61323,77.715355,86.39482,98.614781,107.399756,121.225938,125.567728,131.342756,131.181133,139.116725,151.395595,155.688827,162.047726,168.336189,191.923562,203.149798,231.714234,255.71664,275.788221,302.75567,327.279505,357.136123,381.502089,402.132487,343.52584,377.98631,431.711635,445.678568,435.734093,437.618827,459.632675,457.512023,464.553283,477.252247,488.681618,501.933911,550.803591,573.561119,575.271159,572.184987,567.810479
New Zealand,13.50163,15.470001,16.696424,17.39223,16.431083,18.179008,18.719332,18.212076,16.355573,16.472413,16.252743,17.940209,18.060364,18.435098,18.901453,17.880256,19.125457,20.406082,20.527664,21.744995,22.063153,23.801245,23.415661,23.721632,23.927488,24.941384,27.177418,26.714222,28.107335,28.972631,31.172831,31.07781,32.965343,32.43256,33.703553,33.75654,32.605403,33.447712,30.459467,30.347908,29.650804,31.213311,30.964767,31.23898
