統計名：,法人企業統計調査 時系列データ,,,,,,,,,,,,,,,
表番号：,1,,,,,,,,,,,,,,,
表題：,[時系列データ] 金融業、保険業以外の業種(原数値),,,,,,,,,,,,,,,
実施年月：,2017年,1～3月期,,,,,,,,,,,,,,
業種（金融業、保険業以外の業種）：,144,非製造業,,,,,,,,,,,,,,
規模（金融業、保険業以外の業種）：,26,全規模,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,2,13,27,28,40,225,78,86,88,89,91,154,171,172
,,,現金・預金(当期末流動資産)【百万円】,資産合計(当期末)【百万円】,利益剰余金(当期末純資産)【百万円】,負債及び純資産合計(当期末)【百万円】,設備投資(当期末新設固定資産合計)【百万円】,ソフトウェアを除く設備投資(当期末新設固定資産)【百万円】,売上高(当期末)【百万円】,経常利益(当期末)【百万円】,従業員数(当期末)【人】,人員計(当期末)【人】,従業員給与(当期末)【百万円】,売上高経常利益率(当期末)【％】,負債計(当期末)【百万円】,純資産計(当期末)【百万円】
19631,,1963年1 - 3 月,1408249,15088991,1200232,15088991,258751,258751,5510890,121548,2676622,2733080,257494,2.2,12223063,2865928
19632,,1963年4 - 6 月,1532278,16552598,1194693,16552598,244002,244002,6040746,143893,2993960,3060475,290535,2.4,13529360,3023238
19633,,1963年7 - 9 月,1669866,17423394,1291315,17423394,316529,316529,6776207,117292,3059126,3124469,323375,1.7,14247462,3175932
19634,,1963年10-12月,1733618,18006760,1237936,18006760,290506,290506,6897540,126482,3020723,3085099,363046,1.8,14753703,3253057
19641,,1964年1 - 3 月,1780058,18723486,1345142,18723486,304292,304292,7077207,117386,3017087,3082872,314670,1.7,15352437,3371049
19642,,1964年4 - 6 月,1952422,20938298,1435544,20938298,299693,299693,7851381,174949,3520733,3601370,368325,2.2,17274946,3663352
19643,,1964年7 - 9 月,2094428,21483220,1469606,21483220,409343,409343,8319173,150070,3665777,3746951,405656,1.8,17718424,3764796
19644,,1964年10-12月,2188707,21907914,1404361,21907914,354529,354529,8258821,146952,3470992,3551799,442521,1.8,18189501,3718413
19651,,1965年1 - 3 月,2293608,22711983,1537563,22711983,372738,372738,8628206,161516,3606486,3685602,379067,1.9,18780720,3931263
19652,,1965年4 - 6 月,2533282,24729163,1507367,24729163,289379,289379,9050284,169639,4094920,4192134,469301,1.9,20714430,4014733
19653,,1965年7 - 9 月,2749674,25243757,1623225,25243757,415231,415231,9739863,147074,4202083,4298075,490893,1.5,21024475,4219282
19654,,1965年10-12月,3047800,26193322,1587711,26193322,387836,387836,9875607,156791,4240257,4337958,535172,1.6,21974013,4219309
19661,,1966年1 - 3 月,3061578,26180946,1698562,26180946,389547,389547,9779986,191844,3876413,3977973,484567,2,21818476,4362470
19662,,1966年4 - 6 月,3149757,27912474,1748071,27912474,377435,377435,10342271,240463,4118847,4239916,529229,2.3,23437746,4474728
19663,,1966年7 - 9 月,3323399,28357674,1839306,28357674,442764,442764,11249460,186138,4219457,4339318,575592,1.7,23725442,4632232
19664,,1966年10-12月,3542131,29593900,1830704,29593900,430349,430349,11671367,224483,4087935,4207530,639101,1.9,24942980,4650920
19671,,1967年1 - 3 月,3723603,31124796,2108046,31124796,445186,445186,12399663,214827,4206211,4329416,563383,1.7,26075371,5049425
19672,,1967年4 - 6 月,3851173,33063936,1966951,33063936,443554,443554,13046270,291352,4672001,4811858,649362,2.2,28066675,4997261
19673,,1967年7 - 9 月,4055576,34251483,2205974,34251483,526171,526171,14141229,261220,4653086,4787512,722192,1.8,28939843,5311640
19674,,1967年10-12月,4377435,35506335,2225695,35506335,549099,549099,14684644,298349,4759944,4902035,812966,2,30203650,5302685
19681,,1968年1 - 3 月,4275099,35541125,2263498,35541125,512298,512298,14244914,272994,4556760,4703860,679775,1.9,30211670,5329455
19682,,1968年4 - 6 月,4656898,39727088,2527653,39727088,531458,531458,15290029,374845,5147764,5310513,818883,2.5,33858503,5868585
19683,,1968年7 - 9 月,4812953,39924966,2739774,39924966,611958,611958,16120758,287569,5085373,5241473,891816,1.8,33729765,6195201
19684,,1968年10-12月,5195520,42222457,2794408,42222457,689249,689249,17021583,364097,5199671,5365297,1006337,2.1,35893268,6329189
19691,,1969年1 - 3 月,5241174,43276657,2933363,43276657,604745,604745,17143829,349954,4917089,5084958,821825,2,36853342,6423315
19692,,1969年4 - 6 月,5710512,47183014,3203013,47183014,775949,775949,18223334,517065,5622053,5812261,967775,2.8,40144682,7038332
19693,,1969年7 - 9 月,5944947,49435465,3428063,49435465,897284,897284,20606272,435863,5447490,5637216,1055591,2.1,42104162,7331303
19694,,1969年10-12月,6380068,51849039,3572080,51849039,912981,912981,21085707,470594,5405155,5597607,1189431,2.2,44392706,7456333
19701,,1970年1 - 3 月,6348027,53620578,3716301,53620578,928759,928759,21715684,475918,5343754,5531632,1013903,2.2,45947618,7672960
19702,,1970年4 - 6 月,6629110,56415596,3828294,56415596,851854,851854,22040355,585655,5772445,5978809,1189170,2.7,48439869,7975727
19703,,1970年7 - 9 月,6945061,58855492,4167944,58855492,963238,963238,24228577,504291,5664828,5868019,1291356,2.1,50413571,8441921
19704,,1970年10-12月,7591881,61512633,4181927,61512633,1020852,1020852,24640099,500516,5617134,5820965,1440090,2,52960486,8552147
19711,,1971年1 - 3 月,7770963,62147600,4395702,62147600,1026646,1026646,24160065,493262,5561113,5760039,1237891,2,53323852,8823748
19712,,1971年4 - 6 月,8683331,65815079,4503759,65815079,970049,970049,24273961,601981,6012563,6245116,1399970,2.5,56729301,9085778
19713,,1971年7 - 9 月,9606594,69184821,4784963,69184821,1180286,1180286,27172709,446558,6027516,6257041,1537103,1.6,59644143,9540678
19714,,1971年10-12月,10730972,72656246,4862594,72656246,1158539,1158539,27314762,510150,5984576,6220014,1664316,1.9,62976109,9680137
19721,,1972年1 - 3 月,11060764,73600231,5172682,73600231,1236560,1236560,26846529,554488,5883998,6113412,1402857,2.1,63517760,10082471
19722,,1972年4 - 6 月,12011819,80772662,5387215,80772662,1167894,1167894,28409488,676013,6400841,6640840,1706336,2.4,70118227,10654435
19723,,1972年7 - 9 月,12848757,84928312,5935753,84928312,1317263,1317263,31766919,637792,6413624,6650196,1882222,2,73637932,11290380
19724,,1972年10-12月,14288228,91598145,6376312,91598145,1473471,1473471,33625602,807216,6355610,6593466,2131447,2.4,79736441,11861704
