Date,5～14歳:男:自殺者数,15～24歳:男:自殺者数,25～34歳:男:自殺者数,35～44歳:男:自殺者数,45～54歳:男:自殺者数,55～64歳:男:自殺者数,65～74歳:男:自殺者数,75歳～:男:自殺者数,不詳:男:自殺者数,5～14歳:女:自殺者数,15～24歳:女:自殺者数,25～34歳:女:自殺者数,35～44歳:女:自殺者数,45～54歳:女:自殺者数,55～64歳:女:自殺者数,65～74歳:女:自殺者数,75歳～:女:自殺者数,不詳:女:自殺者数
2003/1/1,32,1158,2910,3463,5483,5538,2868,1733,211,33,556,1131,971,1255,1568,1531,1642,26
2004/1/1,27,1233,2677,3248,4807,5232,2659,1876,196,22,579,1088,935,1108,1592,1348,1595,25
2005/1/1,29,1243,2862,3393,4680,5259,2744,1857,169,16,642,1140,1013,1101,1563,1223,1600,19
2006/1/1,57,1257,2667,3297,4138,5141,2780,1945,137,20,635,1133,1100,1092,1511,1355,1639,17
2007/1/1,31,1252,2596,3444,4155,5095,3088,2205,141,16,596,1084,1173,1129,1616,1492,1691,23
2008/1/1,41,1343,2650,3458,3885,4970,2923,2132,144,18,652,1203,1195,1041,1455,1428,1672,19
2009/1/1,34,1326,2657,3668,4131,4988,2993,2216,176,21,605,1085,1224,1102,1387,1431,1648,15
2010/1/1,42,1315,2543,3474,3873,4633,2831,2187,130,21,508,1007,1196,1207,1431,1448,1685,23
2011/1/1,52,1304,2404,3427,3548,4176,2680,2186,127,22,616,1112,1350,1247,1471,1408,1754,12
2012/1/1,55,1294,2244,3064,3347,3491,2641,2261,88,20,495,930,1098,1143,1269,1367,1609,17
2013/1/1,58,1242,2177,3050,3279,3159,2747,2362,84,34,466,846,1103,1139,1199,1400,1713,5
2014/1/1,68,1180,2130,2748,2961,2886,2589,2252,61,34,432,813,1056,1100,1104,1406,1586,11
2015/1/1,62,1091,1948,2622,2884,2634,2605,2296,60,28,408,684,935,1089,995,1296,1507,8
