"Date","総額 -Export","食料品 -Export","食料品及び動物 -Export","飲料及びたばこ -Export","原料品 -Export","原材料 -Export","動植物性油脂 -Export","鉱物性燃料 -Export","化学製品 -Export","有機化合物 -Export","医薬品 -Export","プラスチック -Export","原料別製品 -Export","鉄鋼 -Export","非鉄金属 -Export","金属製品 -Export","織物用糸繊維製品.織物用糸及び繊維製品 -Export","非金属鉱物製品 -Export","ゴム製品 -Export","紙類紙製品.紙類及び同製品 -Export","一般機械 -Export","原動機 -Export","電算機類含周辺機器 -Export","電算機類の部分品 -Export","半導体等製造装置 -Export","金属加工機械 -Export","ポンプ遠心分離機.ポンプ及び遠心分離機 -Export","建設用鉱山用機械 -Export","荷役機械 -Export","加熱用冷却用機器 -Export","繊維機械 -Export","ベアリング.ベアリング及び同部分品 -Export","電気機器 -Export","半導体等電子部品 -Export","ＩＣ -Export","音響映像機器 -Export","映像機器 -Export","映像記録再生機器 -Export","テレビ受像機 -Export","音響機器 -Export","音響映像機器の部分品 -Export","重電機器 -Export","通信機 -Export","電気計測機器 -Export","電気回路等の機器 -Export","電池 -Export","輸送用機器 -Export","自動車 -Export","乗用車 -Export","バストラック -Export","自動車の部分品 -Export","二輪自動車.二輪自動車原動機付自転車 -Export","航空機類 -Export","船舶 -Export","その他 -Export","雑製品 -Export","特殊取扱品 -Export","科学光学機器 -Export","写真用映画用材料 -Export"
2007-11-01,72685.84026,389.88784,343.67308,46.21476,864.75885,855.24958,9.50927,1093.25348,6501.74884,1803.67814,281.49831,2058.90359,8097.18658,3173.71187,1306.30213,946.06276,712.08597,801.9939,848.74887,284.32332,13676.99577,2263.11168,749.05552,1566.96322,972.30866,1131.86894,1020.86015,1036.42987,728.59317,459.28878,274.17587,335.49799,14812.11999,4325.65672,2820.08277,1900.28601,1823.26909,1613.99178,209.27731,77.01692,993.42144,796.98207,881.32361,1092.0908,1729.41714,382.01442,18906.8455,13250.64176,11726.53123,1421.24872,2909.74524,574.76172,226.27456,1628.42603,8343.04341,4138.08922,4204.95419,1843.53092,464.08011
2007-12-01,74339.67778,432.2195,389.64445,42.57505,875.89566,865.52054,10.37512,1029.15896,6815.04915,1957.43718,257.7218,2104.26509,8784.08714,3672.29365,1275.598,994.70812,791.32444,849.77449,899.94503,275.23128,14799.6593,2341.54137,654.32903,1519.66377,1342.16633,1148.89405,1172.93207,1225.47311,829.33777,522.85021,291.1577,340.2054,14437.12051,4359.90281,2766.1545,1415.88941,1341.72323,1113.53773,228.1855,74.16618,845.72231,762.83499,997.66054,1122.74881,1768.24099,373.05519,18918.58469,13540.48732,11963.98391,1472.52239,2915.67318,620.98785,216.96266,1247.1127,8247.90287,4223.84609,4024.05678,1923.59201,490.0453
2008-01-01,64083.22709,340.16259,290.55095,49.61164,779.58442,772.38422,7.2002,1105.61847,6009.28914,1879.71598,326.23998,1749.36887,7217.70935,3109.71673,1108.91694,768.91804,512.41572,737.44698,726.21173,240.32113,12027.17136,2015.94249,546.07772,1404.4212,1328.81163,883.58824,867.34058,902.56145,643.23808,397.1917,192.6922,296.9752,11686.3732,3695.43689,2386.71102,1023.34951,972.5492,807.99567,164.55353,50.80031,779.40518,566.2658,715.8793,962.4182,1435.42234,316.44693,17628.93172,11795.65541,10520.9303,1179.80227,2415.20305,663.44655,258.50266,2191.75301,7288.38684,3540.75321,3747.63363,1626.78974,400.83918
2008-02-01,69736.74679,309.33978,265.58058,43.7592,938.47085,927.19991,11.27094,1078.00002,6441.00397,1850.5638,325.89902,1974.43134,8474.40573,3567.90088,1386.84943,985.06936,630.89579,757.18301,840.44463,286.06207,14136.61392,2214.48213,701.0377,1566.28985,1286.16796,1087.05259,1038.81225,1169.76395,740.60861,556.59284,305.1688,342.8856,12716.59638,3744.68831,2361.34397,1173.05554,1111.97403,930.32139,181.65264,61.08151,869.1964,727.74889,772.6653,1065.36869,1581.36185,354.68166,17992.30131,12384.93411,10869.83761,1417.13864,2777.99214,810.52772,237.61939,1453.57858,7650.01483,3851.85258,3798.16225,1713.93292,428.6815
2008-03-01,76816.91634,307.72583,266.62673,41.0991,1073.08931,1061.90036,11.18895,1245.25693,6654.4666,1922.58166,318.53788,2050.64445,9283.7962,4057.62563,1483.26852,1046.80264,641.07527,828.71028,930.16518,276.63979,15586.40818,2448.09314,656.05707,1443.35725,1512.78039,1336.72045,1185.72552,1620.062,861.40168,516.83785,286.74266,356.79825,13872.80334,4023.76922,2498.816,1486.00487,1431.77709,1245.37269,186.4044,54.22778,878.15389,806.20809,873.85943,1167.05926,1650.83498,389.40528,20150.0567,13435.11825,11673.08219,1657.76974,2825.64645,687.04059,243.12387,2607.38456,8643.31325,4172.87166,4470.44159,1898.93615,448.71515
2008-04-01,68894.54205,312.38366,263.93095,48.45271,1048.92835,1038.17352,10.75483,1153.26908,6409.0715,1817.55089,345.37369,1960.79339,8160.34951,3257.86754,1324.50369,961.2405,635.007,796.25345,893.72872,272.32512,13877.07531,2132.96435,650.16529,1316.15992,1229.00648,1041.00368,1200.83441,1211.88742,778.68329,449.77438,256.42965,344.68206,13201.71709,3815.41779,2418.35626,1497.71261,1440.10165,1264.82057,175.28108,57.61096,858.73629,684.77383,778.81856,1071.68798,1651.32049,386.93395,17250.87021,11851.42392,10420.67274,1327.291,2885.18416,493.61558,241.70118,1413.53085,7480.87734,3895.16421,3585.71313,1744.77634,408.53877
2008-05-01,68067.70184,323.82558,276.32123,47.50435,1027.55425,1018.08767,9.46658,1833.11856,6456.42544,1716.6426,325.39867,2046.15753,8649.20508,3684.13653,1320.78331,953.65187,678.99891,812.74397,892.73322,287.22083,13399.93332,2009.72332,585.52642,1440.16057,1034.61767,1055.57725,1050.95807,1241.44683,736.59915,513.92714,247.18667,326.90208,13245.7602,4069.57907,2673.8857,1510.6205,1453.24994,1299.98794,153.262,57.37056,827.55349,745.14014,810.43133,956.75251,1586.27397,379.15213,15735.64001,11110.08369,9754.25144,1261.33984,2576.30855,382.15486,218.74827,1147.95096,7396.2394,3881.34379,3514.89561,1786.9755,420.53145
2008-06-01,71521.3689,326.83101,282.18983,44.64118,1066.44112,1054.92346,11.51766,1915.80728,6602.558,1814.39623,331.79667,2047.39179,8739.27497,3831.85158,1253.20258,980.34981,684.20149,800.74363,885.85446,281.57555,13883.12925,2115.22496,610.27379,1358.92602,1091.24335,1112.81702,1048.76159,1243.92955,894.27193,499.22224,241.2529,348.21056,13422.2372,3974.76236,2539.28006,1468.39061,1411.30689,1233.06562,178.24127,57.08372,854.10744,800.63261,793.37898,1013.68613,1629.97338,397.39336,17855.72234,12473.75797,10822.21558,1532.28101,2701.54529,387.22764,331.65496,1537.01775,7709.36773,3991.11625,3718.25148,1801.00069,421.31696
2008-07-01,76244.98933,387.67841,336.76617,50.91224,1129.70375,1119.23006,10.47369,2151.99442,7142.48669,2103.28567,325.3598,2212.1319,9540.83056,4272.31772,1408.65848,1044.52226,707.20521,831.21242,953.23068,302.18138,14699.71053,2284.56956,612.65675,1593.19792,1151.55546,1206.922,1207.26071,1253.58942,931.0061,492.99748,180.33081,378.73835,14314.93572,4471.82412,2861.6532,1235.69362,1170.61002,1018.85361,151.75641,65.0836,1000.54544,892.89086,806.72421,1040.00545,1762.72708,446.14775,18499.625,13186.4842,11429.4687,1622.05751,2953.83904,343.53425,251.5231,1452.34636,8378.02425,4144.39019,4233.63406,1885.19902,444.69013
2008-08-01,70514.39164,356.29441,309.62444,46.66997,900.68299,890.03053,10.65246,2745.83695,6904.92078,2094.05833,313.4516,2056.14101,9166.25326,4342.83275,1312.79217,910.74917,625.17791,801.35703,870.86357,284.27449,13323.03557,2005.76022,652.37464,1498.45771,1239.87323,1004.23851,1065.49701,1118.63859,807.15359,472.6817,162.40955,339.60758,13737.04883,4395.59557,2907.00198,1329.25166,1261.25718,1119.54581,141.71137,67.99448,1036.88397,703.00208,788.26122,960.14366,1642.5993,467.00024,15294.99162,10707.27672,9225.68639,1374.84884,2430.17484,320.31888,227.11073,1279.32427,8085.32723,4033.68161,4051.64562,1842.02362,417.90875
