"Date","IRELAND:EPU Index","IRELAND:EPU Interpolated"
1985-01-01,58.77772,
1985-02-01,57.37272,
1985-03-01,55.96772,
1985-04-01,152.20735,
1985-05-01,179.65579,
1985-06-01,84.94728,
1985-07-01,112.17182,
1985-08-01,122.13333,
1985-09-01,60.29554,
1985-10-01,83.16872,
1985-11-01,106.04191,
1985-12-01,179.99277,
1986-01-01,117.83251,
1986-02-01,63.36111,
1986-03-01,107.8723,
1986-04-01,116.22123,
1986-05-01,106.34708,
1986-06-01,88.21539,
1986-07-01,29.46221,
1986-08-01,66.03931,
1986-09-01,56.91214,
1986-10-01,152.77277,
1986-11-01,80.18169,
1986-12-01,77.09777,
1987-01-01,183.99319,
1987-02-01,63.34222,
1987-03-01,83.96265,
1987-04-01,85.79332,
1987-05-01,55.6307,
1987-06-01,54.35004,
1987-07-01,29.08713,
1987-08-01,63.61721,
1987-09-01,52.51643,
1987-10-01,78.05123,
1987-11-01,176.06182,
1987-12-01,89.07831,
1988-01-01,127.04423,
1988-02-01,173.80897,
1988-03-01,55.59431,
1988-04-01,147.98821,
1988-05-01,80.58716,
1988-06-01,82.87109,
1988-07-01,79.82024,
1988-08-01,66.02312,
1988-09-01,52.226,
1988-10-01,25.89343,
1988-11-01,101.55644,
1988-12-01,99.56957,
1989-01-01,119.07059,
1989-02-01,74.61599,
1989-03-01,76.84682,
1989-04-01,113.7938,
1989-05-01,75.32133,
1989-06-01,96.83558,
1989-07-01,25.8399,
1989-08-01,85.70105,
1989-09-01,53.08056,
1989-10-01,111.07238,
1989-11-01,100.94131,
1989-12-01,28.99979,
1990-01-01,87.58511,
1990-02-01,77.25662,
1990-03-01,98.95516,
1990-04-01,107.13801,
1990-05-01,74.5549,
1990-06-01,51.11414,
1990-07-01,26.73395,
1990-08-01,116.015,
1990-09-01,137.0141,
1990-10-01,157.82233,
1990-11-01,50.9609,
1990-12-01,170.16668,
1991-01-01,162.65486,
1991-02-01,151.83755,
1991-03-01,165.29091,
1991-04-01,56.95791,
1991-05-01,128.93293,
1991-06-01,143.31679,
1991-07-01,134.75486,
1991-08-01,92.24955,
1991-09-01,58.8184,
1991-10-01,144.74214,
1991-11-01,80.06084,
1991-12-01,182.43973,
1992-01-01,153.83831,
1992-02-01,117.31206,
1992-03-01,86.14114,
1992-04-01,138.3523,
1992-05-01,155.03938,
1992-06-01,172.23572,
1992-07-01,110.86954,
1992-08-01,88.48479,
1992-09-01,174.40339,
1992-10-01,107.81757,
1992-11-01,57.63772,
1992-12-01,204.73094,
1993-01-01,93.67295,
1993-02-01,154.53198,
1993-03-01,101.61715,
1993-04-01,29.75098,
1993-05-01,77.12576,
1993-06-01,54.39874,
1993-07-01,111.62672,
1993-08-01,95.62622,
1993-09-01,52.28383,
1993-10-01,102.52423,
1993-11-01,78.42574,
1993-12-01,76.36808,
1994-01-01,140.62308,
1994-02-01,79.51159,
1994-03-01,68.47614,
1994-04-01,119.93761,
1994-05-01,95.05937,
1994-06-01,124.50572,
1994-07-01,76.74505,
1994-08-01,115.02583,
1994-09-01,98.14386,
1994-10-01,24.42035,
1994-11-01,88.91368,
1994-12-01,101.15757,
1995-01-01,54.02529,
1995-02-01,54.81978,
1995-03-01,71.75196,
1995-04-01,80.11115,
1995-05-01,22.57799,
1995-06-01,23.54365,
1995-07-01,24.29192,
1995-08-01,26.45107,
