"Date","CANADA:Canada News-Based Policy Uncertainty Index"
1985-01-01,106.925926208496
1985-02-01,114.699378967285
1985-03-01,79.5883026123047
1985-04-01,73.3759918212891
1985-05-01,75.6022338867188
1985-06-01,43.1403694152832
1985-07-01,73.3982849121094
1985-08-01,91.5768203735352
1985-09-01,80.4455795288086
1985-10-01,92.5624618530273
1985-11-01,57.9124794006348
1985-12-01,65.7647933959961
1986-01-01,91.1053161621094
1986-02-01,96.9687042236328
1986-03-01,86.9067840576172
1986-04-01,69.2233810424805
1986-05-01,93.3543319702148
1986-06-01,58.4930267333984
1986-07-01,85.9998474121094
1986-08-01,91.5278625488281
1986-09-01,119.690231323242
1986-10-01,76.7775726318359
1986-11-01,64.2598571777344
1986-12-01,78.6656188964844
1987-01-01,74.6827774047852
1987-02-01,67.5973358154297
1987-03-01,36.3046760559082
1987-04-01,70.4270858764648
1987-05-01,81.23486328125
1987-06-01,72.8196716308594
1987-07-01,61.8754577636719
1987-08-01,28.5368556976318
1987-09-01,59.6566734313965
1987-10-01,125.181930541992
1987-11-01,137.515914916992
1987-12-01,117.4072265625
1988-01-01,88.0050811767578
1988-02-01,74.2121734619141
1988-03-01,57.2920188903809
1988-04-01,61.0470542907715
1988-05-01,48.3789863586426
1988-06-01,43.1921424865723
1988-07-01,56.5683784484863
1988-08-01,82.5141220092773
1988-09-01,62.3847045898438
1988-10-01,61.0373573303223
1988-11-01,123.853698730469
1988-12-01,57.6216735839844
1989-01-01,47.2750053405762
1989-02-01,40.6564178466797
1989-03-01,69.5688781738281
1989-04-01,59.6572647094727
1989-05-01,88.9449691772461
1989-06-01,64.5614242553711
1989-07-01,69.9806137084961
1989-08-01,61.0222816467285
1989-09-01,59.1085472106934
1989-10-01,76.8403549194336
1989-11-01,75.0090179443359
1989-12-01,57.9260635375977
1990-01-01,90.4677963256836
1990-02-01,77.0607299804688
1990-03-01,92.6895446777344
1990-04-01,109.270454406738
1990-05-01,130.707427978516
1990-06-01,164.171325683594
1990-07-01,88.387565612793
1990-08-01,116.574836730957
1990-09-01,118.003364562988
1990-10-01,166.115188598633
1990-11-01,148.147552490234
1990-12-01,123.486694335938
1991-01-01,182.074081420898
1991-02-01,129.966064453125
1991-03-01,145.063400268555
1991-04-01,128.067123413086
1991-05-01,92.5836868286133
1991-06-01,93.472900390625
