"Date","Net"
1979-01-01,-0.283799908
1979-02-01,0.0722949640000001
1979-03-01,0.195693218
1979-04-01,-0.0797893510000001
1979-05-01,-0.17639088
1979-06-01,0.0525727950000001
1979-07-01,-0.0509940050000002
1979-08-01,-0.361329136
1979-09-01,-0.16477842
1979-10-01,-0.316094476
1979-11-01,-0.526659289
1979-12-01,-0.0745376500000003
1980-01-01,-0.824836559
1980-02-01,-0.336416329
1980-03-01,-0.268594332
1980-04-01,-0.508328328
1980-05-01,-0.453590887
1980-06-01,-0.229916454
1980-07-01,-0.213451307
1980-08-01,-0.18209494
1980-09-01,0.191413079
1980-10-01,-0.0655882939999999
1980-11-01,-0.0498670729999997
1980-12-01,0.32841816
1981-01-01,-0.511927809
1981-02-01,0.0610278869999998
1981-03-01,0.215627498
1981-04-01,0.094265085
1981-05-01,0.00112808499999995
1981-06-01,0.327942527
1981-07-01,0.342863105
1981-08-01,0.173952146
1981-09-01,0.53182605
1981-10-01,0.485831821
1981-11-01,-0.0384454680000004
1981-12-01,0.320747834
1982-01-01,-0.408013892
1982-02-01,0.0816771350000001
1982-03-01,0.203178994
1982-04-01,0.12137021
1982-05-01,0.107111974
1982-06-01,0.408481843
1982-07-01,0.326073415
1982-08-01,-0.004731182
1982-09-01,0.412326104
1982-10-01,0.258660448
1982-11-01,-0.116033802
1982-12-01,0.386097126
1983-01-01,-0.409794653
1983-02-01,0.333696741
1983-03-01,0.482742865
1983-04-01,0.484072385
1983-05-01,0.422625009
1983-06-01,0.465865347
1983-07-01,0.684335525
1983-08-01,0.407382888
1983-09-01,0.584764619
1983-10-01,0.480409278
1983-11-01,0.279775339
1983-12-01,0.6786092
1984-01-01,-0.196592407
1984-02-01,0.509742965
1984-03-01,0.726469227
1984-04-01,0.699539714
1984-05-01,0.425473865
1984-06-01,0.929484209
1984-07-01,0.760207404
1984-08-01,0.270296992
1984-09-01,1.09287239
1984-10-01,0.886789937
1984-11-01,0.754615647
1984-12-01,1.145267118
1985-01-01,0.124266547
1985-02-01,0.604223656
1985-03-01,0.830066026
1985-04-01,0.827219774
1985-05-01,0.849230062
1985-06-01,1.255526776
1985-07-01,1.126155532
1985-08-01,0.830795438
1985-09-01,1.09980811
1985-10-01,0.974214501
1985-11-01,1.001552249
1985-12-01,1.347665593
1986-01-01,0.380058429
1986-02-01,0.758494819
1986-03-01,1.200699695
1986-04-01,1.22499513
1986-05-01,1.253011763
1986-06-01,1.241874934
1986-07-01,1.330571178
1986-08-01,1.158958801
1986-09-01,1.384763471
1986-10-01,1.198544659
1986-11-01,1.187177817
1986-12-01,1.419846121
1987-01-01,0.67675627
1987-02-01,1.090469621
1987-03-01,1.234695683
1987-04-01,1.104762301
1987-05-01,0.899151885
1987-06-01,0.942456034
1987-07-01,1.027026603
1987-08-01,0.776251035
1987-09-01,1.060216368
1987-10-01,0.980834568
1987-11-01,0.653561469
1987-12-01,1.132096873
1988-01-01,0.391449112
1988-02-01,0.675292191
1988-03-01,0.958545184
1988-04-01,0.853638354
1988-05-01,0.646945721
1988-06-01,0.745074035
1988-07-01,0.941389338
1988-08-01,0.662151638
1988-09-01,1.040521545
1988-10-01,1.005647048
1988-11-01,0.821410466
1988-12-01,1.190798667
1989-01-01,0.412475452
1989-02-01,0.929261763
1989-03-01,0.847428175
1989-04-01,0.962820813
1989-05-01,0.506777394
1989-06-01,0.7552271
1989-07-01,0.847488272
1989-08-01,0.471852862
1989-09-01,1.043835828
1989-10-01,0.667511578
1989-11-01,0.504377645
1989-12-01,0.894905163
1990-01-01,0.0500251540000001
1990-02-01,0.721078016
1990-03-01,1.052922162
1990-04-01,0.556853873
1990-05-01,0.480515661
1990-06-01,1.019658604
1990-07-01,0.803100099
1990-08-01,0.509295868
1990-09-01,0.974905991
1990-10-01,0.430045869
1990-11-01,0.28703548
1990-12-01,0.716295259
1991-01-01,0.123899955
1991-02-01,0.662021307
1991-03-01,1.140226179
1991-04-01,0.86620037
1991-05-01,0.575264459
1991-06-01,1.008870887
1991-07-01,0.914688341
1991-08-01,0.780960578
1991-09-01,1.311705711
1991-10-01,0.948646026
1991-11-01,0.835395616
1991-12-01,1.291860023
1992-01-01,0.475086879
1992-02-01,1.280713377
1992-03-01,1.43676978
1992-04-01,0.947472871
1992-05-01,1.021031182
1992-06-01,1.143608592
1992-07-01,1.158448045
1992-08-01,0.889229533
1992-09-01,1.49859032
1992-10-01,1.312643436
1992-11-01,0.932294267
1992-12-01,1.388973802
1993-01-01,0.655108444
1993-02-01,1.304210246
1993-03-01,1.576221372
1993-04-01,1.17901908
1993-05-01,0.862645435
1993-06-01,1.064074851
1993-07-01,1.280485079
1993-08-01,0.783174631
1993-09-01,1.308542768
1993-10-01,1.157532811
1993-11-01,0.798420691
1993-12-01,1.406656078
1994-01-01,0.67851425
1994-02-01,1.183065709
1994-03-01,1.461194515
1994-04-01,1.157829602
1994-05-01,0.674332897
1994-06-01,1.181630291
1994-07-01,1.218202973
1994-08-01,0.604361505
1994-09-01,1.186294224
1994-10-01,0.915341569
1994-11-01,0.832598033
1994-12-01,1.299859786
1995-01-01,0.274898962
1995-02-01,1.121277176
1995-03-01,1.294905882
1995-04-01,0.928782496
1995-05-01,0.586988875
1995-06-01,0.989570093
1995-07-01,0.808389727
1995-08-01,0.535136063
1995-09-01,1.118390238
1995-10-01,0.540451334
1995-11-01,0.673627519
1995-12-01,1.109722875
1996-01-01,0.0629247860000004
1996-02-01,0.644857882
1996-03-01,1.117633991
1996-04-01,0.31532363
1996-05-01,0.229097935
1996-06-01,0.731629315
1996-07-01,0.500467048
1996-08-01,0.34744958
1996-09-01,0.777271445
1996-10-01,0.462141453
1996-11-01,0.670171855
1996-12-01,0.87892118
1997-01-01,-0.0244805330000002
1997-02-01,0.680719909
1997-03-01,0.800211793
1997-04-01,0.807170176
1997-05-01,0.731978866
1997-06-01,0.959413417
