"Date","大企業-全産業-当期","大企業-全産業-翌期","大企業-全産業-翌々期","大企業-製造業-当期","大企業-製造業-翌期","大企業-製造業-翌々期","大企業-非製造業-当期","大企業-非製造業-翌期","大企業-非製造業-翌々期","中堅企業-全産業-当期","中堅企業-全産業-翌期","中堅企業-全産業-翌々期","中堅企業-製造業-当期","中堅企業-製造業-翌期","中堅企業-製造業-翌々期","中堅企業-非製造業-当期","中堅企業-非製造業-翌期","中堅企業-非製造業-翌々期","中小企業-全産業-当期","中小企業-全産業-翌期","中小企業-全産業-翌々期","中小企業-製造業-当期","中小企業-製造業-翌期","中小企業-製造業-翌々期","中小企業-非製造業-当期","中小企業-非製造業-翌期","中小企業-非製造業-翌々期"
2004-06-01,12.2,11.7,8.7,16.8,15.7,10.7,9,9,7.3,13.1,12.2,10.5,17.5,15.8,13.1,11.7,11.1,9.6,5.8,2.3,3,11,5.3,5.3,4.7,1.7,2.5
2004-09-01,10.1,7.6,5,13,8.5,5.8,8.1,7,4.4,9.4,7.4,5,12.4,7.4,5.9,8.5,7.4,4.7,8.5,2.2,-1.6,8.5,2.4,0.9,8.6,2.2,-2.1
2004-12-01,5.8,6.2,6.1,3,6.9,8.3,7.7,5.8,4.6,5.9,1.6,4.9,8.5,3.9,7.4,5.1,0.8,4.1,1.8,1.8,1.7,0.6,-1.6,2.1,2.1,2.6,1.6
2005-03-01,2.4,7.4,7.7,0.3,9.8,11.2,3.9,5.7,5.3,3.3,6.4,8.1,1.9,10,10.2,3.7,5.2,7.5,0.7,1.4,2.3,-1.6,-4.3,2.4,1.3,2.6,2.2
2005-06-01,4.1,8.6,9.4,4.4,10.9,12.4,3.9,7.1,7.4,5.4,6.8,6.9,6,13.8,10.6,5.1,4.5,5.7,2.4,2.2,3.4,-3.8,-2.8,4.6,3.7,3.2,3.1
2005-09-01,8.3,8,6.5,11.9,11.4,7.3,5.9,5.8,6,6.6,7.8,5.2,8.3,12.9,10.7,6,6.1,3.4,1.4,0.6,-0.9,1.3,-0.4,3.9,1.5,0.9,-1.9
2005-12-01,10.2,6.5,7.5,15.9,9.5,9,6.4,4.5,6.4,7,3.6,5.5,10.3,5.8,4.6,5.9,2.8,5.8,3.1,1.9,2.7,3.7,1.2,3.5,2.9,2.1,2.5
2006-03-01,8,9.1,8.8,10.7,12.3,10.3,6.1,7,7.8,8.4,6.5,7,12.4,8.6,9.7,7,5.8,6.1,5,4.5,4.1,2.9,12.8,7.5,5.5,2.7,3.4
2006-06-01,9.5,11,7.4,11.1,14.2,10.1,8.4,8.9,5.6,7.7,7.4,5.7,7.6,7.6,8.7,7.7,7.3,4.7,3,1.9,3.6,-1.1,-2.2,6.4,3.8,2.8,3
2006-09-01,11.2,7.9,5.4,12.9,11.1,6.5,10.1,5.8,4.6,5.2,7.9,4.2,3,9.3,3.7,5.9,7.4,4.3,5.7,4.4,2.7,2.1,6.2,2.1,6.5,4,2.9
2006-12-01,8.9,6.1,5.6,12,6.7,6.5,6.9,5.7,4.9,10.6,4.5,5,10.5,6.5,6.3,10.6,3.8,4.6,5.7,1,0.6,5.9,-1.8,-1.7,5.6,1.6,1.1
2007-03-01,5.4,8.2,9.1,4.2,11.4,11.9,6.2,5.9,7.2,4.5,6.1,5.7,0.5,9.2,8.2,5.9,5,4.9,4.6,5.8,3.6,2.7,3.4,2.3,5,6.3,3.9
2007-06-01,9.1,10.9,9.3,10.9,15.5,12.6,7.8,7.8,7,7.6,8.9,10.5,7.9,10.7,15.2,7.6,8.4,9,-1.1,2.5,2.5,-4.3,1.2,3.9,-0.4,2.8,2.2
2007-09-01,9.5,8.3,5.2,13.6,10.5,7.6,6.8,6.7,3.5,8.2,8.3,5.4,15.4,11.4,8.6,5.9,7.3,4.4,1.1,0.8,-0.5,-8,-2.2,-2.8,2.9,1.4,0
2007-12-01,8.7,4.5,4.9,12,5.7,6.5,6.5,3.7,3.8,5,4.6,4,12.6,11.8,9.5,2.5,2.2,2.2,0.5,0.6,-0.2,5.9,5.8,1.7,-0.7,-0.5,-0.6
2008-03-01,0.4,4.7,6.2,-0.7,6.5,7.2,1.1,3.5,5.6,-1.7,2.4,3.4,0.8,7.1,6.6,-2.5,0.9,2.3,-6.6,-5.8,-4.7,-3.4,-4.1,-3.5,-7.3,-6.1,-5
2008-06-01,0.7,5.8,5.6,2.4,10.2,9.4,-0.4,2.9,3,-1.2,2.2,3.1,1.1,5.6,8.2,-1.9,1.1,1.5,-5.4,-4.3,-2.6,-6.3,-3,-1.3,-5.2,-4.6,-2.8
2008-09-01,-1.2,0.2,1.9,0.5,0.4,3.3,-2.4,0.1,1,-7.6,-3.7,-0.4,-9.5,-6,-5.2,-7,-2.9,1.1,-11.9,-9.8,-6.8,-11.3,-15,-6.8,-12,-8.7,-6.8
2008-12-01,-31.1,-20.3,-7.8,-44.6,-26.3,-7.1,-21.9,-16.2,-8.3,-31,-25.3,-13,-41.6,-34.7,-16,-27.5,-22.3,-12,-32,-25.8,-17.7,-40.3,-31.6,-18.8,-30.3,-24.6,-17.5
2009-03-01,-44.8,-19.4,-6.1,-59.7,-20.7,-2.6,-34.5,-18.4,-8.5,-37.4,-23.5,-12.6,-58.4,-28.3,-11.2,-30.6,-21.9,-13.1,-34.8,-22.6,-15.5,-48.8,-25.7,-14.2,-31.8,-22,-15.8
2009-06-01,-13.8,-1.5,8.3,-7,4.4,13.5,-18.2,-5.4,4.8,-18.9,-8.9,-1.6,-21.8,-7.2,0.1,-18,-9.4,-2.1,-25.3,-16.3,-8,-32,-15.2,-7.1,-23.9,-16.6,-8.2
2009-09-01,6.2,6.2,5.1,17.9,12,8.5,-1.6,2.3,2.9,-2.7,1.2,3.6,10.4,6.7,3.8,-6.9,-0.6,3.6,-9.8,-3.7,2.1,-11.2,-4.4,2,-9.5,-3.5,2.1
2009-12-01,4,0.1,4.6,15.8,4.2,6.8,-3.9,-2.6,3.1,-2.7,-4.2,0.9,1.4,-7.3,1.3,-4,-3.1,0.7,-8.4,-6.4,-0.6,-12.3,-7,-0.1,-7.7,-6.3,-0.7
2010-03-01,8.2,8.6,9.5,13.3,11.5,11.4,4.8,6.7,8.3,-0.8,3.8,5.1,1.3,3.7,7.5,-1.5,3.8,4.3,-3.8,-1.4,-0.2,0.3,-1.7,1.3,-4.6,-1.4,-0.5
2010-06-01,14.5,13.1,10.5,21.3,15.7,13.3,9.9,11.4,8.7,6.9,8.8,7.1,10.1,14.3,9.9,5.8,6.9,6.2,3.7,4.5,4.2,5.3,7.4,5.4,3.4,3.9,3.9
2010-09-01,12.8,6.9,4.8,18.2,7.2,4.4,9.3,6.6,5.1,4.8,2,3.2,7.7,5.1,2,3.9,1,3.6,-1.7,-2.1,0.5,3.6,3.7,-0.3,-2.8,-3.3,0.7
2010-12-01,3.3,4.6,4.5,2,4,5.3,4.2,5.1,4,-2.4,-0.4,2.2,1.1,1.6,6.4,-3.5,-1.1,0.9,-9.1,-6.8,-3.6,-11.7,-9.5,-2,-8.6,-6.3,-3.9
2011-03-01,8.8,10.2,9.7,10.5,12.6,10.8,7.6,8.6,8.9,0.8,7.2,7.4,0.1,13.3,7.8,1,5.2,7.3,-2,4.1,2.8,3.9,10.5,7.5,-3.2,2.8,1.8
2011-06-01,-3,7.2,9.8,-0.7,10.7,12.8,-4.6,4.7,7.8,-10.5,0.1,5.3,-7.3,5,9.1,-11.5,-1.5,4.1,-18.7,-10.5,0.3,-16.7,-8.7,2.6,-19.1,-10.8,-0.1
2011-09-01,6.1,7.5,5.4,10.6,10.9,7.5,3,5.2,4,1.4,2.8,2.9,5.4,9.5,6.4,0.1,0.6,1.7,-6,-4.9,-2.7,-6.5,-3.4,-3.4,-5.9,-5.2,-2.6
2011-12-01,-1.4,4.5,4.6,-10,4.1,3.6,4.5,4.8,5.4,-6.3,-3.6,1.7,-4.1,0.3,7.1,-7.1,-4.9,0,-11.9,-9.5,-4.4,-17.1,-9.6,-2.7,-10.9,-9.5,-4.7
2012-03-01,-0.1,5.3,7.6,-1.1,7.3,9.4,0.5,3.8,6.3,-4.2,-1,4.5,-6.8,0.5,6.9,-3.4,-1.5,3.7,-11.3,-6.2,-4.3,-16.2,-7.5,-4,-10.3,-6,-4.4
2012-06-01,4.8,9.7,10.1,3.3,12,11.3,5.8,8.1,9.2,2.8,5.4,9.4,-2.5,4.5,9.1,4.6,5.6,9.4,-5.2,-1.9,-1.8,-8.9,-4.1,1.8,-4.4,-1.4,-2.6
2012-09-01,2.5,6.6,5.5,1,6.8,5.8,3.5,6.4,5.3,-2,2.7,1.7,-6.1,2.4,3.6,-0.7,2.8,1.1,-7.1,-6,-3.9,-7.5,-1.8,1,-7,-6.9,-4.9
2012-12-01,-6.8,1.6,3.1,-11.4,2.1,3.4,-3.6,1.2,2.8,-9.3,-5.4,-0.4,-16.3,-6.3,-1.3,-7,-5.1,-0.1,-16.8,-10.2,-5.3,-25.2,-19,-7.9,-15.1,-8.3,-4.8
2013-03-01,2.6,8.2,9.4,1.7,10.2,12.1,3.3,6.8,7.6,-1.8,6.8,6.8,-5.7,9,7.3,-0.5,6,6.7,-1.2,1.7,1.8,-8.1,3.3,5.8,0.3,1.4,0.9
2013-06-01,10.3,13.5,10.9,13.6,16.7,12.1,8.1,11.4,10.1,9,9.4,8.3,9.8,13.4,10.1,8.7,8.1,7.7,3.5,4.8,4.3,0.1,6.1,9.5,4.2,4.5,3.2
2013-09-01,12.2,9.7,7.7,15.9,11.9,8.3,9.6,8.2,7.3,8.2,5.3,3.9,10.4,6.2,6.5,7.5,5.1,3,2.2,0.3,0.5,3,-2,-0.6,2,0.8,0.8
2013-12-01,8.8,8.5,5.5,11.2,10.9,6.2,7.2,6.8,5,8.9,5.7,3.2,7.7,5.5,6.5,9.3,5.8,2.1,4.8,2,-0.4,0.7,1,1.3,5.7,2.2,-0.8
2014-03-01,6.1,4.7,7.2,8.3,5.9,7.7,4.7,3.9,6.8,5.8,1.9,5.6,4.1,4.7,9,6.4,0.9,4.4,2.9,0.6,0.1,2.6,-1.9,2.8,3,1.1,-0.4
2014-06-01,5.1,10,8,6.1,11.4,8.6,4.5,9.2,7.5,1.5,6.6,6.9,4.9,9.3,8,0.4,5.6,6.5,0,0,1,-2.6,2.3,4.5,0.5,-0.4,0.3
2014-09-01,10.2,8.5,6.7,13.2,9.3,7,8.2,8,6.5,6.2,4.1,3.7,8.6,6.5,6.1,5.5,3.3,2.9,0,-1,-0.7,-2.8,-2.2,-0.9,0.5,-0.8,-0.7
2014-12-01,8.6,6.1,5.1,9.8,6.5,5.7,7.8,5.9,4.8,4.1,2.4,3.1,4.2,4.7,5.5,4.1,1.6,2.3,0.2,-1.2,-0.2,0.1,-3,-0.4,0.2,-0.8,-0.2
2015-03-01,7.3,6.6,7.1,6,6.5,8.4,8.1,6.7,6.3,0.5,3.6,3.5,-4.9,8.1,7,2.4,2.1,2.3,-1.2,1.9,0.8,-4.1,1.6,-1.1,-0.6,2,1.2
2015-06-01,6.5,10.2,9.2,3.8,12.3,10.9,8.4,8.7,8.2,5.4,6.4,6.1,-0.1,6.1,7,7.2,6.5,5.8,2.6,2.6,3.9,4.7,6.4,5.2,2.2,1.8,3.6
2015-09-01,9.1,7.9,5.2,10.7,9.1,5.7,8.1,7.1,4.9,4.4,4.1,3.5,0.6,2.6,3.2,5.6,4.6,3.6,-0.3,0.5,-1.5,-4.7,-3.9,-1.3,0.6,1.3,-1.6
2015-12-01,2.9,3.9,3.4,1.3,3.5,3.7,4,4.2,3.2,2.6,1.1,1.1,-1.4,0.2,1.1,3.9,1.4,1.1,-1.2,-3.6,-0.3,0,-2.2,2.7,-1.4,-3.9,-0.9
2016-03-01,-0.7,1.5,4.7,-3.7,2.1,6.7,1.3,1.2,3.4,-2.5,1.8,3.9,-5.5,-0.5,3.6,-1.5,2.6,4,-5.9,-3.5,-2.5,-4.7,-2.2,-2.3,-6.1,-3.7,-2.6
2016-06-01,-0.8,5.3,6.1,-2.2,7.2,8.8,0.1,4,4.4,2.1,5,4.9,2.2,9.6,8.4,2,3.4,3.8,-6.5,-5.2,-4.5,-4.4,-1.6,-3.1,-6.9,-5.9,-4.8
2016-09-01,4,4.9,3.8,5.5,6.3,5.5,3,4,2.6,1.1,2.1,2.9,1.5,5.2,4.5,0.9,1.1,2.3,-4,-1.6,-2.4,-4.4,-0.1,0.7,-3.9,-1.8,-3
2016-12-01,4.4,3.3,2,6.1,3.9,2,3.4,3,2,2.8,2.8,3.9,3.6,2.2,4.5,2.5,2.9,3.7,-2.6,-3.1,-3.4,0.7,-0.5,0.5,-3.3,-3.7,-4.2
2017-03-01,3.8,3.4,4.9,4.1,3.7,6.3,3.7,3.2,4,1.3,2.7,3.5,-2.7,2.4,3.5,2.6,2.8,3.5,-0.1,-2.7,-2.1,1.4,-1.1,-3,-0.3,-3,-1.9
