"Date","対個人サービス業(調査9業種)総合","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)ゴルフ場","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)ゴルフ練習場","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)ボウリング場","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)遊園地・テーマパーク","対個人サービス業(調査9業種)総合:趣味・娯楽関連(調査5業種)パチンコホール","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)葬儀業","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)外国語会話教室","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)フィットネスクラブ","対個人サービス業(調査9業種)総合:教養・生活関連(調査4業種)学習塾"
2013-04-01,96.8,98.2,96.2,96.9,82,107.5,98.1,95.5,104.5,111.1,101,88.2
2013-05-01,97.2,107.5,128.6,104,87.9,125,100.3,87.8,103.9,104.3,101.5,76.4
2013-06-01,95.7,103.8,127.1,98.5,76.4,101.7,98.7,88.2,92.8,107.5,103.9,80.7
2013-07-01,107.7,107.8,114.3,87.6,74.6,118.2,107,107.7,100,108.1,104.7,111
2013-08-01,119.8,112.7,102.4,82.6,89.2,182.1,109.9,126.3,101.6,105.9,104.2,142.9
2013-09-01,101.8,102.9,115.2,91.3,77.8,130.6,97.6,100.7,97.4,101.5,108.2,100.9
2013-10-01,99.3,101.5,115.7,95.3,73.2,133.2,95,97.2,102.5,106.1,103,92.7
2013-11-01,100.5,98.4,112.6,90,72.8,138.8,90.9,102.5,110,106.6,103.5,98.7
2013-12-01,115.8,102.8,84.4,77.2,84.5,155.6,103.7,127.7,116.2,98.7,103.9,140.9
2014-01-01,108,97,59.6,74.2,105.2,95.6,108.8,118,120.8,98.4,103,122.6
2014-02-01,86.6,79.2,33.6,58.8,78.8,87.7,92.1,93.3,107.7,99.7,103.1,85
2014-03-01,103.4,102.1,78.3,89,108.1,151.5,103.5,104.5,113.6,114.8,103.5,99.1
2014-04-01,96.7,98.4,100.3,96.1,76,112.6,96.8,95.2,104.7,107,104.4,88
2014-05-01,96.5,107.3,133.2,100.7,77.4,118.5,100,86.7,102.5,104,103.9,74.8
2014-06-01,92.5,97.3,118.4,92.3,69.3,100.1,92.2,88.2,93.4,108.5,106.6,79.8
2014-07-01,105.3,100.5,112.1,87.6,67,123.7,96.2,109.6,97.9,115,106.9,113.6
2014-08-01,118.3,110.1,103.9,87,87.8,187.7,104.7,125.8,98.3,116.3,106.7,141
2014-09-01,101.1,100.3,121.1,94.5,65,142.2,90.8,101.8,99.3,105.3,108.4,101.3
2014-10-01,98.8,98.4,121.1,94.2,63.8,143.5,87.9,99.2,105.2,108.9,106.1,94.1
2014-11-01,99.9,97.4,115.4,94.2,68.2,150.9,87.1,102.2,110.3,108.1,106.5,97.3
2014-12-01,112.7,93.2,78.4,70.9,82.6,158.2,91.4,130.5,118.4,102.2,105.9,143.9
2015-01-01,106.1,89.9,53.4,73.1,90.4,104.6,99.2,120.9,128.7,101.5,106.1,123.5
2015-02-01,88.2,82.1,48.3,69.9,72.8,116.6,88.3,93.7,110.6,107.4,104.4,83
2015-03-01,101.6,96.1,77.1,87.8,105.9,173.5,92.4,106.7,114.1,119.4,108.6,101.1
2015-04-01,96.5,95.2,97.9,93.7,67.1,122.5,92,97.7,104.7,121.6,106.8,89.3
2015-05-01,96.5,105.6,135.3,102.7,74.3,135.5,94.9,88.1,104.4,109,107.2,75.1
2015-06-01,92,93.8,117.6,89.8,60.8,109.3,86.5,90.4,95.9,109.5,109.2,82
2015-07-01,105.8,99.6,111.9,83.5,64.1,132.6,94.3,111.4,99.3,116.2,110,115.5
2015-08-01,116.7,103.8,104.5,83.4,77.7,191.7,95.2,128.6,104.1,116,109.2,143.3
2015-09-01,100.2,96.8,116.9,88.7,66.1,151.2,86.2,103.4,99.7,107.3,111.5,103.1
2015-10-01,101.4,100.5,129.3,97,61.4,160.5,86.6,102.2,106.2,111.8,110.2,97.8
2015-11-01,98.4,92,112.1,89,60.9,142.6,81.5,104.2,107.2,109.3,111.3,101.1
2015-12-01,113.8,92.5,86.5,77.9,78.4,162.8,87.2,133.3,117.7,109,110.6,147.1
2016-01-01,103.5,83.9,51.3,74,87.5,107.2,90.6,121.5,117.2,111.9,110,126.5
2016-02-01,86.8,76.3,49.6,72.2,70.2,112.5,79.7,96.4,113.3,110.3,108.6,85.4
2016-03-01,98.7,88.2,79.1,88,93.4,166.6,81.3,108.3,113.4,123.5,111.9,102.9
2016-04-01,92.9,87.3,96.2,92.5,66.2,128.1,80.2,98,101.3,120.8,109.7,90.8
2016-05-01,92.4,96.3,129,100.9,72.7,134,83.1,88.9,102.7,114.1,109.6,75.9
2016-06-01,88.7,86.3,112.5,88.9,62.3,108.7,76.9,90.9,95.1,110.1,111.5,82.8
2016-07-01,103.2,94.1,118.5,88.3,63.3,140.4,83.1,111.6,98.2,115.5,112.4,116.1
2016-08-01,111.8,93.8,98.1,78.9,72,196.3,82,128.2,102.3,113.1,111.5,143.6
2016-09-01,96.3,87.9,113.1,86,63,137,75.9,103.9,99,105.5,114.2,104.1
2016-10-01,98.1,93.1,126.7,95.8,57.9,153.7,77.4,102.7,106.1,110.8,112,98.5
2016-11-01,94.6,83.6,103.1,87,56.6,144.3,71.4,104.7,111.1,110.3,112.8,100.1
2016-12-01,111.9,88.3,83.6,75.6,74.7,169.9,81.1,133.5,118.3,105.7,112.1,147.7
2017-01-01,103.8,81.2,53.5,72.3,82.3,117.3,85.1,124.5,125.9,109.4,110.2,128.8
2017-02-01,84.2,70.9,45.3,67.5,64.5,115.2,73,96.3,114.3,107.4,107.9,85.6
2017-03-01,98,86,77.6,85.4,89.3,171.4,78.1,109,117.2,122.6,112.1,102.8
