"Date","SWEDEN:Swedish News-Based EPU Index"
1992-11-01,117.2847885
1992-12-01,123.6422448
1993-01-01,128.6340262
1993-02-01,114.8884396
1993-03-01,140.0947514
1993-04-01,104.4606837
1993-05-01,121.0914541
1993-06-01,126.6048949
1993-07-01,142.1429238
1993-08-01,124.6943571
1993-09-01,119.1969219
1993-10-01,114.6211422
1993-11-01,113.8706485
1993-12-01,129.0307043
1994-01-01,122.0100581
1994-02-01,121.3113533
1994-03-01,118.9405012
1994-04-01,113.8579132
1994-05-01,105.9131861
1994-06-01,126.9722489
1994-07-01,195.8633631
1994-08-01,138.7280899
1994-09-01,145.2097489
1994-10-01,118.9893829
1994-11-01,118.2013824
1994-12-01,109.2500653
1995-01-01,119.1841671
1995-02-01,115.548937
1995-03-01,116.6212961
1995-04-01,121.0018739
1995-05-01,97.86114673
1995-06-01,116.2280982
1995-07-01,116.5325313
1995-08-01,119.7455053
1995-09-01,119.2167682
1995-10-01,123.4451123
1995-11-01,113.3376009
1995-12-01,122.9833387
1996-01-01,134.1244013
1996-02-01,116.4723324
1996-03-01,102.6364505
1996-04-01,100.6213589
1996-05-01,90.69548914
1996-06-01,100.2159854
1996-07-01,126.3375772
1996-08-01,97.57188207
1996-09-01,102.665538
1996-10-01,100.2399405
1996-11-01,94.24592042
1996-12-01,102.3590138
1997-01-01,117.0766931
1997-02-01,137.7194057
1997-03-01,114.15071
1997-04-01,105.0641599
1997-05-01,99.74805371
1997-06-01,91.41779813
1997-07-01,118.8774852
1997-08-01,85.83911712
1997-09-01,100.6375593
1997-10-01,101.3017651
1997-11-01,106.0545915
1997-12-01,97.0392339
1998-01-01,118.109067
1998-02-01,99.81307438
1998-03-01,95.30582681
1998-04-01,108.5122798
1998-05-01,103.0714915
1998-06-01,98.40231469
1998-07-01,115.3926953
1998-08-01,144.2645044
1998-09-01,142.2921204
1998-10-01,123.6959908
1998-11-01,99.21585128
1998-12-01,94.42723528
1999-01-01,103.7335108
1999-02-01,97.73988163
1999-03-01,89.86271654
1999-04-01,87.56561255
1999-05-01,90.97799456
1999-06-01,107.9751329
1999-07-01,132.2880234
1999-08-01,100.3786411
1999-09-01,92.13588282
1999-10-01,91.34620242
1999-11-01,85.92704023
1999-12-01,86.67847251
2000-01-01,94.84992255
2000-02-01,80.97971805
2000-03-01,80.28338222
2000-04-01,79.57239536
2000-05-01,78.59933178
2000-06-01,78.81714765
2000-07-01,81.51877844
2000-08-01,66.88322852
2000-09-01,70.38968024
2000-10-01,68.2013042
2000-11-01,66.61735967
2000-12-01,67.80475208
2001-01-01,79.88509915
2001-02-01,67.59015563
2001-03-01,77.50194489
2001-04-01,76.0885934
2001-05-01,63.28309659
2001-06-01,76.74990235
2001-07-01,93.47947936
2001-08-01,80.20389507
2001-09-01,100.5389728
2001-10-01,99.16783943
2001-11-01,76.80017821
2001-12-01,83.50425401
2002-01-01,97.76842489
2002-02-01,85.42672969
2002-03-01,80.874681
2002-04-01,85.05694075
2002-05-01,84.62329368
2002-06-01,83.77785442
2002-07-01,95.44371742
2002-08-01,96.60983708
2002-09-01,88.47225648
2002-10-01,94.40570203
2002-11-01,81.64803647
2002-12-01,80.23159979
2003-01-01,91.33283034
2003-02-01,102.7573417
2003-03-01,111.3861972
2003-04-01,86.85570821
2003-05-01,82.33169116
2003-06-01,88.98305927
2003-07-01,104.1298003
2003-08-01,89.05272235
2003-09-01,74.63010637
2003-10-01,73.39775468
2003-11-01,67.25315652
2003-12-01,65.6528371
2004-01-01,75.28810144
2004-02-01,77.08092607
2004-03-01,75.4156344
2004-04-01,88.0851172
2004-05-01,69.42848687
2004-06-01,71.20591948
2004-07-01,75.29735789
2004-08-01,87.34436214
2004-09-01,71.53098283
2004-10-01,68.69717418
2004-11-01,73.3630937
2004-12-01,71.49053938
2005-01-01,61.95293319
2005-02-01,59.62589323
2005-03-01,58.99064003
2005-04-01,71.491205
2005-05-01,71.81225804
2005-06-01,68.57465166
2005-07-01,71.79633705
2005-08-01,76.33384356
2005-09-01,58.25895535
2005-10-01,61.44609497
2005-11-01,65.08254931
2005-12-01,57.2362902
2006-01-01,86.24548889
2006-02-01,78.1879327
2006-03-01,63.76049365
2006-04-01,58.05703188
2006-05-01,74.89321156
2006-06-01,66.1666264
2006-07-01,110.7244168
2006-08-01,90.73189261
2006-09-01,83.77353011
2006-10-01,86.27015453
2006-11-01,71.60770537
2006-12-01,80.71162487
2007-01-01,54.65678776
2007-02-01,74.65096758
2007-03-01,78.02769869
2007-04-01,76.89896724
2007-05-01,74.38268742
2007-06-01,62.53455497
2007-07-01,69.0162486
2007-08-01,87.47700651
2007-09-01,71.29582171
2007-10-01,53.73406929
2007-11-01,55.8435759
2007-12-01,62.28190093
2008-01-01,105.3682529
2008-02-01,89.46371941
2008-03-01,79.30984464
2008-04-01,93.68800825
2008-05-01,72.10124196
2008-06-01,77.45795076
2008-07-01,93.69370378
2008-08-01,95.08484613
2008-09-01,105.7871318
2008-10-01,123.2354429
2008-11-01,102.7213056
2008-12-01,91.78415833
2009-01-01,87.76860225
2009-02-01,100.4463807
2009-03-01,90.01631274
2009-04-01,89.54349872
2009-05-01,72.10924981
2009-06-01,85.25739414
2009-07-01,97.57139792
2009-08-01,71.73111799
2009-09-01,75.82399267
2009-10-01,65.80657012
2009-11-01,70.19594536
2009-12-01,85.08738374
2010-01-01,81.35311636
2010-02-01,78.348378
2010-03-01,68.50535566
2010-04-01,74.82032805
2010-05-01,118.1579874
2010-06-01,99.85671746
2010-07-01,104.8464333
2010-08-01,94.87877819
2010-09-01,94.1082804
2010-10-01,82.06398691
2010-11-01,95.12036344
2010-12-01,77.45531509
2011-01-01,79.16856235
2011-02-01,85.64691926
2011-03-01,98.05778961
2011-04-01,93.70730783
2011-05-01,62.16916662
2011-06-01,106.8561414
2011-07-01,144.5859361
2011-08-01,156.7298215
2011-09-01,125.521689
2011-10-01,106.1911532
2011-11-01,112.658545
2011-12-01,96.68015571
2012-01-01,74.66651295
2012-02-01,101.0075517
2012-03-01,74.17799674
2012-04-01,94.29543113
2012-05-01,113.3613379
2012-06-01,114.2225398
2012-07-01,123.8365079
2012-08-01,91.95624142
2012-09-01,99.57802619
2012-10-01,82.46964768
2012-11-01,102.2030606
2012-12-01,108.8973922
2013-01-01,107.4731204
2013-02-01,82.17815681
2013-03-01,97.00481412
2013-04-01,101.0923693
2013-05-01,97.90918761
2013-06-01,95.36513398
2013-07-01,107.3510159
2013-08-01,81.39985707
2013-09-01,102.3390661
2013-10-01,93.27239617
2013-11-01,85.97449573
2013-12-01,100.3721376
2014-01-01,108.4015776
2014-02-01,110.8505321
2014-03-01,93.64988254
2014-04-01,108.020223
2014-05-01,88.4928159
2014-06-01,85.73344942
2014-07-01,108.8742664
2014-08-01,127.6632753
2014-09-01,126.5469373
2014-10-01,118.5385441
2014-11-01,100.014038
2014-12-01,111.0270519
2015-01-01,107.9964638
2015-02-01,99.97752684
2015-03-01,85.07596304
2015-04-01,106.0394803
2015-05-01,92.59688317
2015-06-01,107.5227946
2015-07-01,129.7831539
2015-08-01,113.9301027
2015-09-01,99.5371197
2015-10-01,103.8724264
2015-11-01,90.57217833
2015-12-01,105.4669435
2016-01-01,110.849344
2016-02-01,116.2317444
2016-03-01,93.97053029
2016-04-01,104.6926516
2016-05-01,111.2174803
2016-06-01,136.1197603
2016-07-01,112.2347552
2016-08-01,91.21630737
2016-09-01,103.7796425
2016-10-01,100.4713782
2016-11-01,126.0715626
2016-12-01,88.91453478
2017-01-01,134.3558552
2017-02-01,131.4163628
2017-03-01,90.07738094
