"Date","Austria","Belgium","Cyprus","Denmark","Finland","France","Germany","Ireland","Italy","Luxembourg","Netherlands","Norway","Portugal","Spain","Sweden","Switzerland","Turkey","United Kingdom","Russia","Kazakhstan","Total Europe","Memo: Euro Area","Memo: European Union","Canada","Argentina","Bolivia","Brazil","Chile","Colombia","Costa Rica","Ecuador","Guatemala","Honduras","Mexico","Panama","Paraguay","Peru","Uruguay","Venezuela","Total Latin America","Barbados","Dominican Republic","Haiti","Jamaica","Trinidad and Tobago","Bahamas","Bermuda","British Virgin Islands","Cayman Islands","Total Caribbean","Bahrain","China, Mainland","Hong Kong","India","Indonesia","Iraq","Israel","Japan","Korea, South","Kuwait","Malaysia","Oman","Philippines","Saudi Arabia","Singapore","Taiwan","Thailand","United Arab Emirates","Total Asia","Algeria","Liberia","Morocco","South Africa","Total Africa","Australia","New Zealand","Total Other","All Countries","International","Total Regional Orgs.","Total IROs","Of which Foreign Official","Grand Total","Greece","Monaco","Czech Republic","Hungary","Poland","Romania","Ukraine","El Salvador","Belize","Aruba","Netherlands Antilles","Pakistan","Kenya","Egypt"
2011-09-01,2700,132131,85,13890,2470,43398,66007,62904,21666,127992,25349,39645,2157,13085,30949,158323,40676,111416,149935,25041,1132564,502019,699190,45082,1761,95,226443,22198,21426,1283,166,3226,700,31351,944,9,8010,5719,4132,328280,5226,308,111,8,5712,5349,67491,24254,111651,221782,1119,1270188,111614,41181,39993,37300,20254,983956,38530,20834,17035,24350,32218,70482,70458,166607,49017,47219,3065505,706,312,714,10900,32069,23359,1620,25204,4850486,32552,7562,61630,3619491,4912116,1179,154,4993,916,29644,3488,7584,291,7,133,1173,2146,257,8630
2011-12-01,2803,135205,85,16547,2694,44706,60687,95248,22794,147518,21726,56694,2396,24030,28928,142425,31969,107371,149547,27716,1186804,565599,758514,45119,1982,136,226931,22975,23526,1356,202,3191,698,29410,1015,9,8823,6553,4149,331815,7599,631,103,15,5715,4586,71007,27080,122312,240733,1130,1151894,121731,43533,38041,39618,19343,1058133,47285,20933,20575,23758,32681,73135,75103,177270,51570,53294,3070717,706,339,855,12050,28844,21765,1612,23593,4927625,38447,7821,76729,3620580,5004354,4796,190,5159,1022,28451,3523,6519,318,10,117,1214,2084,294,3649
2012-01-01,2809,131535,84,15902,2787,42525,60891,83924,22681,136458,24254,57216,2301,23676,29182,145798,27448,109741,145672,29323,1156453,536936,732322,47289,1989,119,228242,22272,25184,1323,328,3062,687,30137,985,9,8923,6985,4238,335398,8336,632,103,11,5872,5046,73085,23822,119537,238253,1159,1166162,134184,42846,38219,41068,22792,1080822,49890,23336,20599,23577,35716,74948,75114,178469,54521,53992,3139812,706,302,1064,12873,29775,22060,881,23169,4970149,40163,8251,84160,3688258,5054309,1980,181,5363,892,28678,3740,6542,334,8,111,1295,2018,279,3442
2012-02-01,2924,124975,86,15442,2827,39716,60728,94061,23345,137121,23633,59330,2466,21258,28481,145111,30096,113606,144814,31727,1165789,536486,736797,53514,2087,116,228442,22506,25080,1495,328,2961,701,31770,980,11,8939,7540,4212,338241,8232,629,107,13,5560,5168,80104,22508,122185,247311,1009,1155225,141461,44113,36331,43818,23067,1088573,50787,23997,20937,21642,37077,76453,84738,183630,54283,52908,3163400,705,290,1064,12940,29817,23352,2020,25554,5023626,37902,6762,79027,3712895,5102653,2333,201,5067,2547,27336,5758,6367,464,7,113,1605,1988,388,3434
2012-03-01,3215,141400,88,15424,3000,45910,64642,92216,24091,137520,23424,60880,2512,21120,27628,150411,30374,118644,151050,33454,1214065,562982,767430,54326,1999,130,238089,21891,26742,1615,323,3159,765,35897,968,11,10064,8399,4223,355532,7702,607,108,30,5911,5064,82338,21095,123572,249705,1032,1144033,140457,46664,32258,44131,22887,1080434,42747,23958,20529,17993,37103,78183,85166,190120,54720,50013,3138784,705,255,962,12242,29971,22506,2680,25363,5067746,31715,9256,77314,3722551,5145060,2842,196,5010,1986,27537,6274,6408,590,6,111,1796,2128,413,3203
2012-04-01,3252,132081,89,14556,3047,49818,62777,93022,26538,128942,24771,64841,2542,21241,27584,150430,28133,131025,155436,25417,1210776,551882,767848,64038,2007,212,245926,24469,26857,1557,337,3128,758,40910,987,11,10470,8276,4369,371400,6635,614,94,18,5365,5027,83331,23082,123317,250549,912,1164373,145210,49330,31393,45182,23758,1087939,43879,25005,20112,17565,36831,78913,83058,187354,52202,48323,3167088,705,264,961,12302,30980,25754,4159,30089,5124920,32893,11910,89601,3783394,5214521,2696,197,5433,1761,28426,5280,6510,538,5,139,1571,2150,420,3987
2012-05-01,3458,132086,89,15120,3439,50587,65135,91540,27087,131163,26160,67920,2656,21748,27376,155154,27108,131356,156275,31075,1233426,558994,777011,55908,2005,168,245799,26365,26471,1415,323,3130,786,45847,1059,10,11395,8431,4277,378519,6545,636,110,20,5413,5002,87534,21928,126312,256376,866,1164023,144109,49957,32455,44730,24869,1107225,46261,26849,20281,16699,36468,76566,83462,189981,53475,47372,3193753,705,230,909,12553,31440,29736,5450,35366,5184788,31732,12321,80483,3828575,5265271,2715,206,6032,1955,28411,5953,6472,508,6,137,1401,2061,412,4110
2012-06-01,3396,144494,79,15319,3385,49059,63982,88701,27507,137701,26195,68617,2685,26552,27808,172365,29112,129635,163774,28922,1281328,577652,796088,52940,2001,189,244345,26727,27129,1475,321,3900,842,51622,953,9,11769,8998,4256,385739,6295,638,104,20,4954,5336,86823,22117,127900,256970,808,1147029,136038,53777,31602,48855,24564,1108377,44528,26621,20312,17020,35401,75999,86900,196358,53129,53826,3190105,705,374,839,13179,32672,25261,5639,31083,5230837,30576,14064,80034,3857872,5310871,2777,204,5831,2015,29860,6170,6465,732,7,147,1511,1948,428,3886
2012-07-01,3783,141291,80,15605,3376,55154,66467,90618,27744,134800,25769,68185,2819,24464,28482,184817,30281,127733,156183,28379,1286140,580538,796496,61284,1973,153,256474,29746,27551,1559,535,3862,850,53923,878,28,11887,8640,4258,403295,6178,647,114,18,4989,5332,92106,17789,129718,259984,787,1159976,137118,59281,28271,47805,23083,1119790,46480,27540,20137,16995,36871,77156,96373,194430,52954,53234,3226486,705,347,737,12987,33266,26681,5741,32606,5303061,30629,14396,75676,3917422,5378737,2991,196,6334,1724,28812,5549,6621,504,7,163,1788,1881,420,4003
2012-08-01,3653,130247,81,15750,3297,52880,66133,91815,27542,138601,27388,71435,2903,24195,27958,191745,34581,129298,162891,29676,1304457,572688,791973,61293,1894,198,259801,30092,27862,1510,110,3732,926,57217,840,12,11474,8698,4246,409628,7229,638,122,20,5053,5638,97814,19150,142310,281580,740,1155173,141667,60562,29587,46936,24973,1120937,44136,27346,19557,17805,37120,75906,96862,199472,58686,53101,3241255,705,349,682,12843,33192,27607,5239,33032,5364437,31578,15551,82973,3957066,5447410,2780,198,7040,1659,29356,6492,6656,511,6,182,2135,1860,701,3892
