"Date","総数","0~4歳","5~9","10~14","15~19","20~24","25~29","30~34","35~39","40~44","45~49","50~54","55~59","60~64","65~69","70~74","75~79","80~84","85~89","90~94","95~99","100歳以上","85歳以上","75歳以上"
2000-01-01,61970,3040,3080,3430,3900,4520,5050,4400,4020,3950,4640,5000,4360,3700,3290,2590,,,,,,,,3010
2000-02-01,62000,3040,3080,3430,3900,4500,5060,4410,4020,3940,4620,5040,4330,3710,3300,2600,,,,,,,,3030
2000-03-01,62000,3040,3080,3420,3890,4460,5060,4410,4030,3930,4600,5070,4330,3710,3310,2610,,,,,,,,3040
2000-04-01,62000,3050,3070,3410,3870,4470,5060,4410,4030,3930,4570,5080,4320,3710,3310,2620,,,,,,,,3080
2000-05-01,61960,3050,3070,3400,3880,4460,5050,4410,4030,3920,4550,5090,4310,3710,3320,2630,,,,,,,,3080
2000-06-01,62020,3050,3070,3400,3870,4450,5060,4430,4040,3930,4540,5110,4310,3710,3320,2630,,,,,,,,3090
2000-07-01,62040,3050,3070,3390,3860,4440,5060,4440,4050,3930,4530,5140,4310,3720,3330,2640,,,,,,,,3100
2000-08-01,61980,3050,3060,3360,3850,4420,5060,4440,4060,3910,4500,5160,4290,3720,3330,2640,,,,,,,,3110
2000-09-01,62000,3050,3060,3370,3850,4390,5060,4450,4070,3910,4480,5190,4290,3720,3340,2650,,,,,,,,3130
2000-10-01,62040,3050,3060,3360,3840,4390,5060,4450,4090,3910,4470,5210,4280,3720,3340,2660,,,,,,,,3150
2000-11-01,62060,3050,3060,3350,3840,4390,5060,4440,4110,3910,4440,5240,4260,3730,3360,2670,,,,,,,,3170
2000-12-01,62130,3050,3060,3340,3840,4380,5070,4450,4120,3910,4430,5280,4240,3730,3370,2680,,,,,,,,3190
2001-01-01,62130,3060,3050,3330,3840,4370,5060,4460,4130,3900,4410,5320,4220,3730,3380,2680,,,,,,,,3200
2001-02-01,62140,3060,3050,3330,3830,4350,5060,4490,4110,3890,4380,5370,4170,3730,3390,2700,,,,,,,,3220
2001-03-01,62060,3060,3050,3320,3820,4310,5050,4510,4100,3890,4350,5400,4140,3740,3390,2700,,,,,,,,3240
2001-04-01,62120,3060,3050,3300,3810,4320,5060,4540,4090,3890,4330,5440,4110,3750,3400,2710,,,,,,,,3280
2001-05-01,62100,3060,3050,3300,3810,4310,5040,4560,4060,3880,4320,5460,4090,3750,3400,2720,,,,,,,,3290
2001-06-01,62150,3050,3050,3300,3800,4300,5050,4600,4060,3890,4310,5480,4080,3750,3400,2720,,,,,,,,3310
2001-07-01,62140,3050,3050,3290,3800,4290,5050,4620,4050,3880,4300,5490,4070,3760,3400,2720,,,,,,,,3320
2001-08-01,62130,3050,3040,3270,3780,4270,5040,4660,4040,3880,4280,5500,4070,3780,3410,2730,,,,,,,,3330
2001-09-01,62160,3050,3050,3270,3780,4240,5040,4690,4040,3880,4270,5500,4060,3790,3420,2740,,,,,,,,3350
2001-10-01,62190,3020,3070,3270,3770,4200,4920,4710,4030,3900,4270,5490,4090,3840,3440,2750,,,,,,,,3420
