Date,申告所得税課税状況:本年分:納税者数(人),申告所得税課税状況:本年分:合計税額(百万円)
1948/1/1,8789038,171558
1949/1/1,9453717,200554
1950/1/1,4318059,83121
1951/1/1,3489848,86190
1952/1/1,2916960,81376
1953/1/1,2164238,69250
1954/1/1,2220903,61391
1955/1/1,2384260,60483
1956/1/1,2174112,66033
1957/1/1,2183839,58155
1958/1/1,2120232,53474
1959/1/1,1973195,63132
1960/1/1,2150581,94194
1961/1/1,2084858,120869
1962/1/1,2311200,142768
1963/1/1,2580563,184734
1964/1/1,2843749,220766
1965/1/1,2919861,232612
1966/1/1,3241935,269849
1967/1/1,3638780,340035
1968/1/1,3922171,425013
1969/1/1,4201309,547825
1970/1/1,4465783,659723
1971/1/1,4452946,815931
1972/1/1,4918264,1127621
1973/1/1,5682810,1824961
1974/1/1,4988439,1185846
1975/1/1,4623720,1419584
1976/1/1,4939700,1311620
1977/1/1,5050249,1502379
1978/1/1,5367908,1740941
1979/1/1,5715926,2200652
1980/1/1,5942099,2373537
1981/1/1,6170506,2419345
1982/1/1,6579497,2559745
1983/1/1,6998199,2695111
1984/1/1,7129463,2751623
1985/1/1,7372229,2892092
1986/1/1,7695293,3379229
1987/1/1,7707308,4197560
1988/1/1,7797019,4340693
1989/1/1,7965871,5378809
1990/1/1,8547375,6621585
1991/1/1,8562552,6596057
1992/1/1,8577661,4110252
1993/1/1,8428477,4280677
1994/1/1,8223171,3456732
1995/1/1,8020634,3477682
1996/1/1,8239858,3645039
1997/1/1,8271709,3518559
1998/1/1,6224254,2959034
1999/1/1,7400607,2624665
2000/1/1,7273506,2690394
2001/1/1,7076549,2584807
2002/1/1,6868284,2403097
2003/1/1,6933359,2384546
2004/1/1,7440793,2418218
2005/1/1,8294146,2685526
2006/1/1,8232918,2912868
2007/1/1,7768684,3012777
2008/1/1,7522978,2664189
2009/1/1,7176061,2287850
2010/1/1,7021145,2263618
2011/1/1,6071242,2321096
2012/1/1,6092502,2417131
2013/1/1,6227270,2727683
2014/1/1,6125849,2727056
2015/1/1,6329141,2989146
