"Date","合計","衣料品","衣料品:紳士服・洋品","衣料品:婦人･子供服・洋品","衣料品:その他の衣料品","衣料品:身の回り品","飲食料品","その他","その他:家具","その他:家庭用電気機械器具","その他:家庭用品","その他:その他の商品","その他:食堂･喫茶"
1980-01-01,4338.81,2330.38,485.94,1058.09,453.92,332.43,708.03,1300.39,199.61,56.99,209.79,712.12,121.88
1980-02-01,4089.75,2021.11,389.94,905.51,441.43,284.23,700.42,1368.23,291.74,52.81,206.41,713.49,103.78
1980-03-01,5565.28,2944.6,556.48,1402.02,506.62,479.48,855.75,1764.93,327.45,72.05,294.83,928.11,142.49
1980-04-01,4900.23,2425.01,519.14,1085.51,443.78,376.58,781.38,1693.84,310.84,70.76,310.73,876.54,124.97
1980-05-01,4775.51,2425.49,536.32,1082.85,412.75,393.57,756.62,1593.39,288.01,72.12,273.21,828.2,131.85
1980-06-01,4945.37,2524.18,622.36,1087.15,409,405.67,887.98,1533.22,284.36,84.88,242.33,788.36,133.29
1980-07-01,6537.47,2740.18,568.35,1201.18,524.81,445.84,1969.32,1827.96,314.63,89.29,278.14,989.28,156.62
1980-08-01,4436.85,1889.78,329.48,874.25,360.44,325.61,1065.33,1481.73,326.46,58.06,209.33,726.11,161.77
1980-09-01,4493.18,2274.19,406.38,1016.38,456.1,395.33,718.16,1500.84,306.49,64.08,244.03,768.1,118.14
1980-10-01,5324.35,2866.76,624.85,1279.55,547.94,414.42,801.58,1656.02,336.09,80.28,286.95,832.41,120.29
1980-11-01,5500.1,2954.35,692.91,1316.6,567.08,377.76,942.82,1602.93,310.91,94.62,288.57,779.14,129.69
1980-12-01,10105.64,4481.22,1175.66,1900.48,817.5,587.58,3152.78,2471.63,403.8,121.71,412.11,1374.09,159.92
1981-01-01,4659.09,2477.69,507.57,1158.69,472.34,339.09,782.86,1398.53,211.04,61.82,217.72,777.65,130.3
1981-02-01,4304.61,2087.13,398.32,951.11,451.45,286.25,759.35,1458.15,303,59.61,215.82,771.18,108.54
1981-03-01,5922.41,3104.22,593.5,1474.95,539.37,496.4,932.05,1886.14,341.9,79.66,312.35,1000.61,151.62
1981-04-01,5270.32,2578.67,556.92,1160.57,460.39,400.79,856.73,1834.93,335.08,72.89,330.72,961.15,135.09
1981-05-01,5177.9,2588.37,580.18,1151.22,435.19,421.78,844.06,1745.49,304.34,74.5,296.79,926.53,143.33
1981-06-01,5184.67,2544.76,626.05,1070.39,424.76,423.56,976.22,1663.68,286.8,80.23,262.32,900.28,134.05
1981-07-01,7039.99,2925.23,623.7,1292.5,540.67,468.36,2145.66,1969.1,325.91,100.46,292.05,1072.7,177.98
1981-08-01,4729.58,1993.03,341.56,927.12,383.9,340.45,1128.44,1608.11,329.31,63.77,218.02,814.21,182.8
1981-09-01,4837.83,2464.33,454.71,1110.9,476.3,422.41,783.3,1590.19,310.63,67.87,254.57,827.38,129.75
1981-10-01,5626.92,3025.17,662.33,1368.04,564.8,429.99,873.85,1727.9,327.75,85.54,298.17,888.05,128.39
1981-11-01,5913.77,3156.98,754.05,1431.53,574.12,397.29,1011.93,1744.86,322.71,100.17,294.32,891.14,136.52
1981-12-01,10625.6,4657.56,1217.64,2000.2,830.03,609.69,3352.22,2615.84,400.49,121.76,426.5,1494.87,172.22
1982-01-01,5016.67,2671.46,548.17,1268.67,490.44,364.19,836.27,1508.94,232.75,60.58,234.09,838.58,142.94
1982-02-01,4528.44,2216.31,419.66,1028.05,461.02,307.58,800.61,1511.52,318.39,58.63,219.91,799.9,114.71
1982-03-01,6116.34,3227.6,621.97,1551.31,538.85,515.47,967.82,1920.91,346.58,75.76,313.52,1027,158.05
1982-04-01,5464.47,2709.23,592.48,1230.87,469.18,416.71,902.45,1852.78,335.26,74.3,337.5,964.64,141.08
1982-05-01,5394.43,2743.49,626.22,1235.59,440.87,440.82,861.88,1789.05,312.39,77.68,299.79,946.08,153.13
1982-06-01,5433.17,2688.45,659.26,1143.95,429.34,455.9,1039.5,1705.22,304.67,88.68,267.51,902.42,141.93
1982-07-01,7201.48,2955.82,616.29,1316.58,531.14,491.81,2264.6,1981.06,342.69,92.73,299.65,1075.89,170.11
1982-08-01,4887.79,2069.34,365.65,959.57,387.15,356.98,1177.35,1641.11,358.26,65.7,228.98,805.29,182.88
1982-09-01,4919.43,2507.08,460.17,1149.54,457.38,439.99,804.8,1607.56,334.24,71.37,257.05,813.32,131.58
1982-10-01,5878.59,3167.23,700.27,1458.24,555.46,453.26,926.17,1785.19,339.69,90.01,312.22,901.93,141.34
1982-11-01,5940.68,3143.69,728.16,1436.32,566.22,413,1034.08,1762.9,336.56,102.43,310.89,874.92,138.1
1982-12-01,10755.21,4695.3,1232.04,2070.54,785.84,606.88,3473.64,2586.27,414.15,125.69,432.67,1436.79,176.97
1983-01-01,5090.32,2736.7,565.86,1332.4,467.22,371.22,857.71,1495.91,231.61,65.09,241.5,811.2,146.51
1983-02-01,4576.28,2237.56,432.16,1057.66,442.24,305.5,831.36,1507.36,315.48,60.28,230.38,781.66,119.58
1983-03-01,6146.95,3228.29,616.01,1567.72,525.41,519.15,1008.53,1910.13,354.83,81.91,323.29,988.78,161.32
1983-04-01,5581.11,2805.46,612.67,1306.31,452.79,433.69,911.45,1864.2,333.22,78.93,337.84,970.17,144.03
1983-05-01,5506.81,2824.86,640.98,1294.23,430.57,459.08,895.58,1786.37,319.69,79.84,308.25,921.72,156.88
1983-06-01,5403.84,2665.93,652.46,1139.62,417,456.85,1059.48,1678.44,300.24,92.43,275.57,867.9,142.29
1983-07-01,7467.49,3084.55,661.14,1387.52,525.61,510.29,2393.94,1988.99,339.66,98.31,305.17,1064.62,181.23
1983-08-01,4972.07,2101.69,379.52,983.82,377.48,360.87,1202.35,1668.03,351.95,77.21,227.72,817.62,193.53
1983-09-01,4999.51,2483.25,439.97,1151.54,448.1,443.63,840.19,1676.07,336.29,76.49,271.43,854.7,137.16
1983-10-01,6145.4,3335.65,740.13,1550.56,555.43,489.53,968.12,1841.62,335.9,99.38,323.52,935.47,147.35
1983-11-01,6114.31,3229.01,752.2,1511.3,546.04,419.48,1083.24,1802.06,329.55,109.79,317.11,902.7,142.91
1983-12-01,11076.2,4814.8,1258.12,2158.13,771.02,627.53,3612.54,2648.85,405.84,141.17,444.19,1474.25,183.41
1984-01-01,5320.75,2872.32,588.04,1434.06,458.95,391.26,908.86,1539.58,228.2,76.09,248.56,833.04,153.7
1984-02-01,4906.13,2414.97,468.54,1168.58,440.56,337.3,916.2,1574.96,311.39,68.48,238.82,826.91,129.36
1984-03-01,6397.88,3356.19,637.75,1662.7,514.38,541.37,1075.83,1965.86,350.66,91.79,339.62,1012.41,171.38
1984-04-01,5920.19,2976.7,639.74,1410.35,457.52,469.09,1003.9,1939.59,335.79,86.82,357.85,1002.23,156.89
1984-05-01,5663.6,2885.45,642.35,1333.25,430.8,479.05,937.08,1841.08,322.79,87.49,320.36,952.54,157.89
1984-06-01,5648.64,2823.64,694.68,1219.25,422.19,487.52,1091.04,1733.96,302.99,97.3,279.77,906.16,147.73
1984-07-01,7903.09,3257.51,687.73,1491.95,530.18,547.65,2522.29,2123.29,363.63,120.86,314.8,1129.99,194.02
1984-08-01,5087.08,2161.1,374.56,1029.01,375.61,381.92,1230.45,1695.53,350.1,79.01,235.79,831.92,198.72
1984-09-01,5370.64,2736.9,479.12,1310.4,457.32,490.06,906.23,1727.51,326.95,77.39,285.59,887.64,149.94
1984-10-01,6316.61,3425.67,744.91,1623.96,544.89,511.9,989.61,1901.33,353.25,99.15,330.74,971.52,146.66
1984-11-01,6329.17,3351.79,767.71,1600.51,543.47,440.1,1123.83,1853.54,344.17,114.72,325.93,922.43,146.29
1984-12-01,11573.75,5066.59,1308.74,2314.34,759.17,684.34,3757.75,2749.41,419.13,144.29,455.42,1537.88,192.69
1985-01-01,5668.82,3103.14,631.68,1586.12,458.97,426.36,949.27,1616.41,250.13,75.12,254.13,879.53,157.5
1985-02-01,4999.19,2435.11,459.04,1197.1,430.74,348.23,917.34,1646.74,332,67,248.11,871.01,128.63
1985-03-01,6763.18,3606.03,684.48,1821.88,507.21,592.46,1116.57,2040.59,351.11,90.34,341.23,1080.29,177.61
1985-04-01,6140.78,3139.05,672.53,1515.72,453.21,497.59,1014.1,1987.64,334.8,85.79,357.76,1051.7,157.59
1985-05-01,5936.97,3070.84,677.77,1438.18,434.35,520.53,980.08,1886.05,331.34,94.03,319.42,984.63,156.64
1985-06-01,5918.56,2951.86,724.33,1280.08,425.69,521.76,1163.03,1803.67,310.24,105.42,287.73,946.43,153.86
1985-07-01,8230.71,3437.79,725.84,1592.54,534.71,584.7,2637.8,2155.13,365.96,122.16,316.4,1155.66,194.95
1985-08-01,5273.31,2251.17,391.38,1084.18,369.29,406.32,1284.51,1737.63,344.36,80.47,233.15,875.28,204.37
1985-09-01,5530.26,2837.95,490.16,1379.65,456.8,511.34,945.57,1746.74,315.9,80.09,283.98,913.18,153.59
1985-10-01,6693.06,3675.88,796.32,1764.63,567.33,547.6,1060.04,1957.14,337.83,102.57,333.83,1026.8,156.12
1985-11-01,6656.61,3535.57,815.81,1701.82,550.17,467.76,1199.36,1921.68,339.26,121.84,326.53,982.15,151.91
1985-12-01,12013.2,5275.11,1369.44,2434,758.49,713.18,3911.61,2826.48,422,151.48,449.4,1604.26,199.34
1986-01-01,6119.52,3407.16,680.77,1790.93,472.67,462.78,1020.86,1691.5,253.64,78.6,263.75,929.49,166.03
1986-02-01,5320.82,2603.38,484.15,1307.97,436.04,375.23,1005.85,1711.59,320.76,71.97,259.89,922.51,136.46
1986-03-01,7137.37,3841.77,711.36,1987.17,508.72,634.52,1186.87,2108.73,346.72,92.12,349.12,1136.92,183.85
1986-04-01,6551.81,3368.88,719.6,1645.51,468.94,534.83,1079.87,2103.05,350.87,91.54,375.4,1123.54,161.71
1986-05-01,6349.81,3292.94,717.1,1567.8,447.08,560.96,1071.25,1985.62,321.18,95.14,334.11,1072.38,162.79
1986-06-01,6288.93,3152.01,764.09,1395.98,430.76,561.18,1241.17,1895.75,308.91,110.76,293.04,1024.75,158.29
1986-07-01,8614.15,3593.27,748.26,1693.53,523.88,627.61,2770.06,2250.82,367.32,123.63,318.19,1247.61,194.06
1986-08-01,5677.16,2452.31,431.58,1193.23,378.49,449.02,1395.06,1829.79,347.04,86.47,245.17,940.64,210.47
1986-09-01,5826.5,2980.66,506.32,1471,454.83,548.51,996.04,1849.8,346.34,82.87,284.87,983.42,152.3
1986-10-01,6982.62,3887.71,847.48,1898.87,564.16,577.2,1099.72,1995.19,344.69,105.58,337.64,1055.4,151.88
1986-11-01,7087.91,3818.03,899.42,1860.25,553.63,504.72,1288.45,1981.43,330.24,127.82,333.89,1031.66,157.82
1986-12-01,12207.79,5280.91,1358.06,2431.66,748.62,742.56,4019.11,2907.77,421.01,152.07,463.89,1674.43,196.36
1987-01-01,6291.94,3540.31,711.2,1872.31,460.61,496.19,1050.31,1701.32,244.29,81.87,265.51,946.98,162.67
1987-02-01,5584.16,2754.57,506.83,1407.61,433.59,406.54,1055.38,1774.21,307.41,85.33,263.93,979.02,138.53
1987-03-01,7467.91,4034.67,747.34,2103.08,519.84,664.41,1238.71,2194.54,353.58,97.04,352.99,1206.17,184.77
1987-04-01,6851.12,3577.28,769.94,1784.2,470.6,552.54,1124.3,2149.54,353.11,96,379.76,1156.66,164.01
1987-05-01,6796.27,3572.19,791.94,1731.38,452.45,596.42,1138.05,2086.04,327.63,99.88,348.75,1139.47,170.31
1987-06-01,6636.32,3324.71,801.61,1488.71,442.27,592.12,1305.3,2006.31,326.53,117.29,309.58,1085.91,167.01
1987-07-01,9029.4,3751.97,764.66,1806.72,529.87,650.72,2911.79,2365.64,381.28,127.44,338.32,1316.71,201.89
1987-08-01,5975.62,2602.89,441.8,1286.56,388.43,486.1,1449.07,1923.67,357.81,89.55,260.87,1005.47,209.96
1987-09-01,6250.48,3208.26,546.54,1623.97,462.2,575.54,1053.35,1988.87,371.16,95.32,302.44,1066.08,153.87
1987-10-01,7400.05,4073,893.02,2002.44,564.73,612.81,1167.58,2159.47,364.44,117.47,353.87,1167.74,155.95
1987-11-01,7587.58,4064.33,959.69,1984.36,570.83,549.45,1359.34,2163.9,361.99,138.59,359.48,1141.51,162.34
1987-12-01,12922.52,5591.33,1449.19,2569.35,759.06,813.72,4216.31,3114.89,443.06,164.86,487.58,1816.87,202.52
1988-01-01,6841.5,3835.29,765.51,2032.46,481.37,555.96,1125.46,1880.75,270.13,85.86,292.77,1059.1,172.89
1988-02-01,6074.29,2957.95,553.9,1510.83,444.87,448.35,1156.17,1960.17,351.97,79.86,287.35,1099.26,141.72
1988-03-01,7877.1,4214.69,784.8,2201.24,525.45,703.2,1293.89,2368.51,386.11,104.69,368.09,1328.97,180.66
1988-04-01,7442.16,3902.93,837.95,1965.93,485.78,613.28,1201.25,2337.98,384.33,97.89,399.28,1290.42,166.06
1988-05-01,7324.93,3846.68,852.03,1885.75,466.94,641.96,1207.77,2270.48,352.5,105.14,367.4,1268.39,177.05
1988-06-01,7107.36,3546.08,854.77,1615.98,451.91,623.42,1382.39,2178.89,355.65,125.4,326.45,1208.25,163.14
1988-07-01,9892.86,4115.27,843,2005.21,551.71,715.34,3153.59,2624,409.28,162.26,361.12,1488.72,202.61
1988-08-01,6288.21,2716.44,466.89,1341.43,399.85,508.28,1508.23,2063.54,391.64,94.72,270.35,1102.03,204.8
1988-09-01,6668.59,3411.51,578.09,1748.35,475,610.08,1105.84,2151.24,390.95,97.2,315.88,1193.98,153.23
1988-10-01,8089.87,4484.5,994,2240.88,586.27,663.35,1236.03,2369.34,402,119.11,369.54,1314.9,163.79
1988-11-01,8144.3,4362.23,1048.48,2147.33,583.97,582.45,1435.11,2346.97,395.3,145.12,366.63,1274.86,165.06
1988-12-01,13767.02,5892.97,1550.63,2695.53,762.83,883.98,4456.13,3417.92,490.51,167.57,508.31,2042.53,209
1989-01-01,7366.89,4137.29,829.38,2204.75,485.18,617.99,1187.54,2042.07,303.33,88.41,310.84,1159.95,179.54
1989-02-01,6459.03,3190.56,596.62,1634.08,455.17,504.69,1197.86,2070.61,370.47,78.9,297.45,1174.33,149.47
1989-03-01,10567.46,5654.73,1068.28,2870.17,787.96,928.32,1452.22,3460.51,681.2,125.1,504.27,1947.74,202.19
1989-04-01,7167.7,3695.03,798.45,1905.14,369.72,621.72,1187.63,2285.04,327.13,91.48,351.48,1336.42,178.53
1989-05-01,7689.79,4023.36,882.23,2008.65,437.51,694.97,1260.24,2406.19,338.51,103.33,372.69,1404.93,186.73
1989-06-01,7652.51,3819.13,921.74,1766.64,451.24,679.52,1468.22,2365.16,366.94,121.43,345.17,1355.9,175.73
1989-07-01,10834.62,4575.49,942.21,2269.01,563.42,800.85,3388.95,2870.18,436.72,137.15,385.63,1682.92,227.76
1989-08-01,6783.91,2960.86,510.55,1483.2,401.03,566.08,1608.29,2214.76,401.62,94.98,285.56,1205.91,226.69
1989-09-01,7457.26,3805.77,634.04,1963.35,490.53,717.85,1205.14,2446.36,450.83,98.77,338.59,1376.52,181.65
1989-10-01,9112.03,5092.39,1136.82,2573.01,599.28,783.28,1347.74,2671.89,451.47,125.66,404.18,1501.73,188.85
1989-11-01,8896.33,4680.19,1103.15,2304.26,595.53,677.25,1547.38,2668.76,453.65,137.82,400.59,1490.81,185.89
1989-12-01,15177.99,6482.43,1697.69,2971.54,779.64,1033.57,4833.11,3862.44,530.64,173.72,551.37,2369.38,237.33
1990-01-01,8281.12,4728.29,956.16,2540.39,514.44,717.3,1288.3,2264.53,326.32,98.76,330.16,1314.87,194.42
1990-02-01,7155.29,3543.01,664.4,1820.76,479.92,577.93,1322.42,2289.86,396.68,84.16,319.47,1326.38,163.17
1990-03-01,10085.56,5411.54,999.87,2867.47,593.45,950.75,1503.76,3170.26,522.34,118.88,425.17,1878.87,225
1990-04-01,8785.59,4585.7,984.62,2311.47,507.53,782.07,1366.11,2833.78,448.28,107.74,430.56,1640.8,206.41
1990-05-01,8681.85,4542.44,996.15,2242.76,506.54,796.99,1367.18,2772.23,431.39,112.29,403.8,1610.46,214.29
1990-06-01,8772.03,4413.88,1069.95,2054.34,498.37,791.22,1644.51,2713.63,433.08,129.25,377.22,1565.16,208.92
1990-07-01,11983.33,5059.52,1018.4,2541.08,596.84,903.2,3689.04,3234.76,481,148.52,410.62,1930.88,263.74
1990-08-01,7374.42,3187.28,534.96,1601.55,427.55,623.23,1711.57,2475.57,442.75,101.08,308.94,1366.73,256.07
1990-09-01,8177.32,4138.47,711.58,2123.49,509.26,794.14,1315.17,2723.68,494.45,102.11,367.25,1558.14,201.73
1990-10-01,9597.63,5244.45,1139.59,2656.45,614.8,833.6,1451.02,2902.16,504.3,124.98,430.16,1638.26,204.45
1990-11-01,9487.79,4944.28,1146.43,2450.69,609.97,737.19,1710.73,2832.78,483.7,137.75,406.02,1596.43,208.88
1990-12-01,16178.9,6876.73,1775.47,3149.53,790.16,1161.56,5145.26,4156.9,583.67,167.82,572.1,2560.39,272.91
1991-01-01,8923.92,5133.4,1033.12,2781.6,521.02,797.66,1402.05,2388.48,341.62,96.13,346.43,1382.86,221.44
1991-02-01,7557.02,3705.62,705.71,1904.46,479.86,615.6,1443.3,2408.1,416.38,83.91,330.51,1392.3,185
1991-03-01,10648.49,5779.91,1060.88,3074.07,594.69,1050.28,1646.45,3222.13,533.25,116.36,455.37,1869.69,247.47
1991-04-01,9287.04,4911.73,1052.53,2480.55,530.27,848.38,1452.25,2923.06,498.52,108.58,445.64,1649.36,220.97
1991-05-01,9113.59,4848.03,1047.11,2424.93,517.04,858.95,1462.87,2802.69,425.33,112.98,421.93,1616.63,225.81
1991-06-01,9408.29,4816.19,1152.47,2277.95,516.05,869.73,1852.82,2739.28,408.15,130.96,400.62,1572.37,227.17
1991-07-01,12555.67,5385.79,1045.64,2753.9,611.8,974.45,3908.72,3261.16,501.06,163.94,419.79,1904.17,272.2
1991-08-01,7999.52,3550.13,588.9,1801.83,452.24,707.15,1876.3,2573.1,481.3,109.65,316.7,1394.43,271.02
1991-09-01,8543.56,4419.88,758.79,2270.44,522.02,868.63,1425.02,2698.67,479.44,109.28,361.49,1537.13,211.33
1991-10-01,10045.88,5571.98,1197.29,2835.17,629.93,909.58,1583.46,2890.44,483.26,141.51,430.89,1623.26,211.53
1991-11-01,10160.93,5369.05,1247.38,2706.34,616.52,798.81,1937.3,2854.57,465.62,163.89,416.31,1590.49,218.27
1991-12-01,16607.84,7066.13,1807.32,3232.18,785.06,1241.57,5405.43,4136.28,586.31,192.58,570.86,2504.45,282.09
1992-01-01,9307.77,5346.69,1038.47,2925.26,524.91,858.05,1514.62,2446.45,343.15,107.02,350.64,1416.09,229.56
1992-02-01,7989.28,3913.62,730.89,2016.93,487.29,678.5,1607.52,2468.15,426.67,93.66,341.21,1408.82,197.78
1992-03-01,10628.99,5796.25,1026.65,3097.76,586.51,1085.32,1737.79,3094.95,487.42,128.47,442.54,1785.62,250.9
1992-04-01,9380.49,4964.49,1024.06,2537.72,523.36,879.35,1558.05,2857.95,462.2,114.29,446.85,1611.26,223.35
1992-05-01,9322.73,4966.62,1037.52,2511.52,513.28,904.31,1590.1,2766,433.46,123.21,421.11,1556.13,232.09
1992-06-01,9305.75,4706.99,1082.22,2259.12,501.57,864.08,1938.4,2660.36,395.79,130.08,383.48,1527.36,223.64
1992-07-01,12461.87,5453.54,1039.8,2843.07,590.9,979.77,3992.3,3016.03,442.59,147.6,396.91,1752.8,276.14
1992-08-01,7763.17,3451.53,564.47,1760.15,431.45,695.45,1901.53,2410.11,416.98,101.22,307.31,1310.85,273.75
1992-09-01,8193.4,4241.01,699.64,2228.65,493.01,819.72,1446.69,2505.69,409.81,101.04,347.35,1437.71,209.79
1992-10-01,9842.39,5513.18,1168.46,2861.43,590.83,892.46,1620.75,2708.47,447.76,129.76,410.62,1505.88,214.44
1992-11-01,9720.64,5140.81,1153.21,2630.9,573.57,783.14,1927.86,2651.97,416.16,154.08,389.88,1473.53,218.32
1992-12-01,15386.3,6507.79,1590.98,3028.87,712.49,1175.45,5206.75,3671.76,483.47,163.21,520.84,2234.25,269.99
1993-01-01,9024.17,5255.97,989.29,2928.36,488.8,849.52,1502.06,2266.13,299.09,91.74,332.64,1317.72,224.93
1993-02-01,7549.91,3753.92,661.89,1982.44,445.62,663.96,1524.7,2271.3,388.38,81.01,317.95,1296.72,187.24
1993-03-01,9779.55,5317.48,866.09,2891.55,535.48,1024.37,1684.88,2777.19,401.21,108.07,414.03,1613.86,240.02
1993-04-01,8902.43,4704.17,895.4,2469.29,486.4,853.08,1546.75,2651.51,392.53,102.94,424.75,1510.85,220.44
1993-05-01,8898.73,4731.37,910.75,2460.66,477.12,882.84,1575.22,2592.14,394.47,99.98,392.96,1467.19,237.53
1993-06-01,8595.37,4344.29,942.04,2116.75,465.66,819.84,1839.34,2411.74,348.64,108.38,356.96,1382.62,215.15
1993-07-01,11786.94,5123.87,914.66,2723.72,536.51,948.97,3868.56,2794.51,412.99,118.93,378.22,1623.08,261.29
1993-08-01,7462.41,3302.26,519.85,1705.52,400.95,675.94,1884.69,2275.45,397.02,85.92,294.73,1240.83,256.95
1993-09-01,7746.42,4034.66,630.96,2155.29,450.33,798.07,1434.78,2276.98,342.62,87.18,330.1,1314.81,202.26
1993-10-01,9337.48,5225.98,1032.55,2780.69,550.32,862.42,1624.48,2487.02,363.86,112.59,389.44,1404,217.13
1993-11-01,8985.01,4706.42,968.94,2453.13,523.25,761.1,1853.58,2425.01,349.34,124.54,365.82,1375.89,209.42
1993-12-01,14567.1,6157.88,1437.67,2924.91,652.1,1143.21,4990.67,3418.55,429.13,138.34,484.2,2097.67,269.2
1994-01-01,8821.19,5117.05,943.29,2891.49,457.58,824.69,1521.15,2182.99,289.82,81.12,329.27,1255.8,226.98
1994-02-01,7229.58,3517.75,624.2,1866.08,410.45,617.02,1539.97,2171.86,395.81,73.42,306.25,1210.95,185.43
1994-03-01,9398.97,5047.35,802.39,2775.17,498,971.8,1699.63,2651.98,378.54,101.79,394.53,1541.34,235.78
1994-04-01,8677.8,4627.44,853.2,2472.69,462.6,838.96,1519.46,2530.89,358,99.72,405.79,1451.04,216.35
1994-05-01,8558.26,4561.42,854.14,2404.67,446.99,855.62,1555.73,2441.11,339.36,93.09,376.95,1399.1,232.61
1994-06-01,8519.85,4337.39,911.04,2160.85,435.24,830.26,1846.01,2336.46,310.47,104.97,359.45,1344.43,217.14
1994-07-01,11678.13,5174.01,924.46,2786.93,518.86,943.76,3738.68,2765.44,372.18,126.75,373.61,1608.27,284.63
1994-08-01,7261.9,3206.19,483.88,1687.63,379.91,654.78,1811.67,2244.04,361,89.73,295.85,1232.38,265.08
1994-09-01,7619.24,3909.5,590.36,2089.33,431.44,798.38,1472.93,2236.81,315.06,84.84,324.48,1303.22,209.22
1994-10-01,9154.61,5065.34,962.3,2697.9,536.37,868.77,1635.18,2454.09,333.08,112.4,377.77,1413,217.84
1994-11-01,9022.03,4747.58,975.96,2487.71,513.56,770.35,1857.57,2416.88,322.12,111.95,361.69,1414.42,206.69
