"Date","INDIA:India News-Based Policy Uncertainty Index"
2003-01-01,49.2818374633789
2003-02-01,69.260139465332
2003-03-01,113.419067382812
2003-04-01,80.2934494018555
2003-05-01,62.9845809936523
2003-06-01,57.7182312011719
2003-07-01,63.9877395629883
2003-08-01,59.8491668701172
2003-09-01,53.4251937866211
2003-10-01,64.7146377563477
2003-11-01,40.5371437072754
2003-12-01,42.9592094421387
2004-01-01,77.3104934692383
2004-02-01,82.8178405761719
2004-03-01,24.9398250579834
2004-04-01,73.9504089355469
2004-05-01,229.632827758789
2004-06-01,48.4213027954102
2004-07-01,47.1645317077637
2004-08-01,83.1905975341797
2004-09-01,41.4608688354492
2004-10-01,86.2077865600586
2004-11-01,50.9636764526367
2004-12-01,50.8265228271484
2005-01-01,52.3063316345215
2005-02-01,60.7992858886719
2005-03-01,38.8253479003906
2005-04-01,90.2983016967773
2005-05-01,60.1220664978027
2005-06-01,63.0202674865723
2005-07-01,66.4270095825195
2005-08-01,30.6937522888184
2005-09-01,31.9044017791748
2005-10-01,51.6388740539551
2005-11-01,33.0072212219238
2005-12-01,42.3465423583984
2006-01-01,39.9901504516602
2006-02-01,31.3734283447266
2006-03-01,32.268180847168
2006-04-01,37.3250694274902
2006-05-01,39.5940055847168
2006-06-01,53.5439033508301
2006-07-01,72.4278793334961
2006-08-01,59.8098487854004
2006-09-01,41.7118225097656
2006-10-01,37.2011985778809
2006-11-01,85.0499038696289
2006-12-01,63.4955062866211
2007-01-01,45.9179153442383
2007-02-01,71.2627563476562
2007-03-01,50.2120933532715
2007-04-01,72.6543273925781
2007-05-01,35.1894149780273
2007-06-01,27.7394599914551
2007-07-01,35.047966003418
2007-08-01,47.8267974853516
2007-09-01,58.0687255859375
2007-10-01,72.572135925293
2007-11-01,56.1760787963867
2007-12-01,61.8094787597656
2008-01-01,126.778579711914
2008-02-01,89.3504409790039
2008-03-01,175.192276000977
2008-04-01,124.776657104492
2008-05-01,94.384407043457
2008-06-01,162.873718261719
2008-07-01,193.61181640625
2008-08-01,92.2674713134766
2008-09-01,124.111701965332
2008-10-01,235.185592651367
2008-11-01,146.629150390625
2008-12-01,136.160110473633
2009-01-01,105.815437316895
2009-02-01,135.764953613281
2009-03-01,155.97053527832
2009-04-01,131.591064453125
2009-05-01,114.316078186035
2009-06-01,98.4006118774414
2009-07-01,141.067489624023
2009-08-01,103.87956237793
2009-09-01,87.3887710571289
2009-10-01,85.9990768432617
2009-11-01,68.5594177246094
2009-12-01,78.4864959716797
2010-01-01,77.4538497924805
2010-02-01,129.569000244141
2010-03-01,96.4868545532227
2010-04-01,94.1680526733398
2010-05-01,113.867942810059
2010-06-01,151.379058837891
2010-07-01,100.370330810547
2010-08-01,89.1088790893555
2010-09-01,99.3994827270508
2010-10-01,88.9995422363281
2010-11-01,107.062294006348
2010-12-01,157.43473815918
2011-01-01,124.548812866211
2011-02-01,144.151672363281
2011-03-01,96.319206237793
2011-04-01,71.0399398803711
2011-05-01,102.970649719238
2011-06-01,105.510955810547
2011-07-01,155.340454101562
2011-08-01,272.874450683594
2011-09-01,186.787384033203
2011-10-01,222.56591796875
2011-11-01,224.140335083008
2011-12-01,249.338882446289
2012-01-01,183.117111206055
2012-02-01,180.229232788086
2012-03-01,239.419281005859
2012-04-01,173.368133544922
2012-05-01,246.410781860352
2012-06-01,283.689086914062
2012-07-01,142.365142822266
2012-08-01,166.005401611328
2012-09-01,152.366165161133
2012-10-01,163.229431152344
2012-11-01,141.810256958008
2012-12-01,153.565353393555
2013-01-01,133.149002075195
2013-02-01,138.350723266602
2013-03-01,155.183486938477
2013-04-01,148.75080871582
2013-05-01,122.284576416016
2013-06-01,129.938323974609
2013-07-01,130.025726318359
2013-08-01,188.829574584961
2013-09-01,160.818420410156
2013-10-01,107.318885803223
2013-11-01,79.3708877563477
2013-12-01,103.194816589355
2014-01-01,95.1799392700195
2014-02-01,78.7098846435547
2014-03-01,66.1266708374023
2014-04-01,78.7388610839844
2014-05-01,88.9439010620117
2014-06-01,72.4173049926758
2014-07-01,104.406875610352
2014-08-01,133.450576782227
2014-09-01,115.321998596191
2014-10-01,91.5166854858398
2014-11-01,119.683067321777
2014-12-01,115.654571533203
2015-01-01,120.238838195801
2015-02-01,98.4491424560547
2015-03-01,53.4303703308105
2015-04-01,52.3080596923828
2015-05-01,63.0506820678711
2015-06-01,79.2636871337891
2015-07-01,50.5923957824707
2015-08-01,77.5655136108398
2015-09-01,85.2551574707031
2015-10-01,45.6004447937012
2015-11-01,47.6463737487793
2015-12-01,77.3212661743164
2016-01-01,70.2796249389648
2016-02-01,99.2133865356445
2016-03-01,92.2008590698242
2016-04-01,47.3880081176758
2016-05-01,54.3721694946289
2016-06-01,135.736907958984
2016-07-01,88.2605056762695
2016-08-01,45.9785003662109
2016-09-01,32.8836860656738
2016-10-01,38.6867942810059
2016-11-01,61.6403999328613
2016-12-01,107.296585083008
2017-01-01,78.734619140625
2017-02-01,156.940582275391
2017-03-01,54.2433967590332
2017-04-01,79.5559005737305
