map,japan
title,"一般世帯数構成比(%、全国総世帯数:51,842,307、H22国勢調査)"
unit,%
東京都,12.3
神奈川県,7.4
大阪府,7.4
愛知県,5.7
埼玉県,5.5
千葉県,4.8
北海道,4.7
兵庫県,4.3
福岡県,4.1
静岡県,2.7
広島県,2.3
京都府,2.2
茨城県,2.1
宮城県,1.7
新潟県,1.6
長野県,1.5
群馬県,1.5
岡山県,1.5
栃木県,1.4
岐阜県,1.4
鹿児島県,1.4
福島県,1.4
三重県,1.4
熊本県,1.3
山口県,1.2
愛媛県,1.1
長崎県,1.1
奈良県,1
沖縄県,1
滋賀県,1
青森県,1
岩手県,0.9
大分県,0.9
宮崎県,0.9
石川県,0.8
和歌山県,0.8
香川県,0.8
秋田県,0.8
山形県,0.7
富山県,0.7
山梨県,0.6
高知県,0.6
徳島県,0.6
佐賀県,0.6
福井県,0.5
島根県,0.5
鳥取県,0.4
