年齢,身長(cm)-男子-標本数,身長(cm)-男子-平均値,身長(cm)-男子-標準偏差,身長(cm)-女子-標本数,身長(cm)-女子-平均値,身長(cm)-女子-標準偏差,体重(kg)-男子-標本数,体重(kg)-男子-平均値,体重(kg)-男子-標準偏差,体重(kg)-女子-標本数,体重(kg)-女子-平均値,体重(kg)-女子-標準偏差
6,1116,116.83,4.93,1108,115.55,4.53,1096,21.26,2.93,1102,20.7,2.77
7,1119,122.47,5.18,1120,121.61,5.1,1101,23.92,3.86,1109,23.46,3.51
8,1119,128.25,5.41,1118,127.33,5.61,1095,26.67,4.29,1099,26.11,4.06
9,1121,133.69,5.52,1116,133.49,6.16,1106,30.16,4.91,1111,29.66,5.26
10,1099,138.99,5.84,1098,140.21,6.48,1088,33.59,6.1,1088,33.8,6.28
11,1115,145.43,7.35,1121,147.05,6.39,1106,37.98,7.55,1114,38.92,7.1
12,1396,152.87,8.05,1391,151.86,5.65,1372,43.72,8.82,1377,43.32,7.24
13,1398,159.63,7.7,1392,154.89,5.18,1375,48.12,8.09,1354,46.93,6.42
14,1377,165.71,6.22,1406,156.56,5.24,1374,53.49,7.99,1379,49.52,6.51
15,1390,168.01,5.82,1403,156.48,5.12,1360,57.85,8.89,1363,50.78,6.59
16,1416,169.59,5.61,1410,157.26,5.2,1368,59.41,8.15,1380,51.31,6.48
17,1433,170.54,5.82,1426,157.6,5.11,1397,61.46,8.24,1392,52.16,6.59
18,1042,171.1,5.55,991,158.2,5.34,1017,61.5,8.17,956,51.44,6.5
19,764,171.76,5.39,626,158.43,5.07,754,62.81,7.63,611,51.8,6.41
20-24,1374,171.84,5.67,1091,158.26,5.24,1346,65.65,8.93,978,50.41,5.74
25-29,1423,171.96,5.61,1110,158.86,5.33,1393,67,9.51,1009,50.78,5.82
30-34,1363,172.32,5.66,1215,158.68,4.98,1326,68.01,9.31,1086,51.23,6.3
35-39,1551,171.79,5.62,1528,158.94,5.2,1524,68.35,9.17,1335,51.45,5.78
40-44,1716,171.67,5.73,1680,158.67,5.15,1693,69.2,9.36,1500,52.4,6.25
45-49,1435,171.27,5.56,1387,158.66,5.24,1404,69.6,9.56,1257,53.08,6.16
50-54,1302,170.74,5.6,1301,157.63,5.12,1291,68.56,9.15,1235,53.14,6.67
55-59,1209,169.84,5.38,1320,156.71,4.96,1189,67.69,8.48,1255,53.32,6.49
60-64,1307,168.09,5.35,1600,155.02,4.91,1297,66.26,8.31,1557,52.45,7.01
65-69,884,166.35,5.34,869,153.19,4.84,872,63.66,7.54,857,51.87,6.8
70-74,894,164.42,5.45,851,151.61,4.91,882,61.89,7.18,852,50.8,6.72
75-79,872,163.1,5.81,834,150.63,5.02,861,60.37,7.57,839,50.42,6.96
