Date,中央区晴海-ベンゼン(μg/m^3),中央区晴海-ヒ素及びその化合物(ng/m^3）
2010/4/1,1,0.63
2010/5/1,0.8,0.39
2010/6/1,2,1.5
2010/7/1,1.6,1.6
2010/8/1,1.7,1.6
2010/9/1,0.57,1.4
2010/10/1,1.2,2.4
2010/11/1,1.9,0.53
2010/12/1,1.2,0.3
2011/1/1,1.9,0.51
2011/2/1,1.1,0.27
2011/3/1,2.4,1.3
2011/4/1,1.3,1.5
2011/5/1,0.87,0.34
2011/6/1,0.87,0.45
2011/7/1,2.5,0.48
2011/8/1,1.7,0.66
2011/9/1,0.75,0.32
2011/10/1,1.5,1.7
2011/11/1,0.63,0.36
2011/12/1,1.1,0.98
2012/1/1,0.67,0.35
2012/2/1,1.6,0.59
2012/3/1,1.1,0.7
2012/4/1,1,0.62
2012/5/1,2,2.8
2012/6/1,0.31,0.47
2012/7/1,2.6,0.75
2012/8/1,0.9,2
2012/9/1,1.6,0.48
2012/10/1,0.42,0.42
2012/11/1,1.9,0.87
2012/12/1,1.2,0.48
2013/1/1,1.2,2.5
2013/2/1,1.1,1.2
2013/3/1,1.3,1.9
2013/4/1,1.3,3.6
2013/5/1,1.4,0.98
2013/6/1,0.68,0.65
2013/7/1,2.4,1.4
2013/8/1,1.5,0.98
2013/9/1,1.7,0.41
2013/10/1,0.59,0.42
2013/11/1,1.5,1.7
2013/12/1,1.6,2.2
2014/1/1,1.9,1.2
2014/2/1,0.81,0.68
2014/3/1,1.4,2.6
2014/4/1,0.26,2
2014/5/1,0.52,0.48
2014/6/1,0.12,0.88
2014/7/1,0.27,1.2
2014/8/1,0.09,0.72
2014/9/1,0.13,0.51
2014/10/1,0.19,0.62
2014/11/1,0.2,0.9
2014/12/1,0.16,0.34
2015/1/1,0.09,0.56
2015/2/1,0.2,0.55
2015/3/1,0.15,1.2
2015/4/1,0.85,0.74
2015/5/1,1,0.71
2015/6/1,1.6,0.56
2015/7/1,2.1,0.54
2015/8/1,1.3,1.2
2015/9/1,2.2,0.43
2015/10/1,0.38,0.51
2015/11/1,1.1,0.75
2015/12/1,1,1.5
2016/1/1,1.3,0.87
2016/2/1,0.83,0.41
2016/3/1,0.67,0.54
