都道府県,体感治安,都道府県,警察信頼度,http://mainichi.jp/articles/20160831/k00/00m/040/120000c
山形,4.04,福島,3.79,http://www.rfc.jp/sp/news/disp.html?id=32455
島根,4.03,山梨,3.74,
秋田,4.02,山形,3.73,
福井,3.99,秋田,3.71,
鳥取,3.95,熊本,3.7,
長崎,3.92,茨城,3.68,
宮崎,3.91,福井,3.64,
新潟,3.89,岩手,3.64,
岩手,3.89,大分,3.63,
長野,3.89,鹿児島,3.62,
熊本,3.88,和歌山,3.62,
石川,3.88,沖縄,3.61,
青森,3.86,長崎,3.6,
徳島,3.86,岐阜,3.59,
愛媛,3.85,青森,3.59,
高知,3.84,長野,3.58,
鹿児島,3.83,東京,3.58,
大分,3.82,宮崎,3.56,
富山,3.81,新潟,3.56,
佐賀,3.81,石川,3.55,
山口,3.81,鳥取,3.53,
静岡,3.8,静岡,3.51,
和歌山,3.78,滋賀,3.5,
福島,3.78,徳島,3.5,
山梨,3.77,栃木,3.5,
栃木,3.76,京都,3.49,
岐阜,3.73,愛媛,3.48,
沖縄,3.73,兵庫,3.48,
東京,3.7,島根,3.48,
北海道,3.69,群馬,3.48,
宮城,3.69,三重,3.47,
滋賀,3.68,富山,3.47,
兵庫,3.67,広島,3.46,
群馬,3.67,奈良,3.46,
神奈川,3.66,北海道,3.45,
奈良,3.66,宮城,3.44,
広島,3.65,高知,3.43,
岡山,3.63,山口,3.42,
三重,3.63,香川,3.42,
香川,3.62,福岡,3.38,
茨城,3.54,岡山,3.37,
京都,3.52,佐賀,3.35,
埼玉,3.51,埼玉,3.34,
福岡,3.5,愛知,3.27,
愛知,3.42,千葉,3.26,
千葉,3.41,大阪,3.25,
大阪,3.38,神奈川,3.21,
