JTSJOL,Job Openings: Total Nonfarm,"Level in Thousands,Seasonally Adjusted",Monthly
PPIACO,Producer Price Index for All Commodities,"Percent Change,Not Seasonally Adjusted",Monthly
CPILFESL,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy,"Percent Change,Seasonally Adjusted",Monthly
RSXFS,Retail Sales: Total (Excluding Food Services),"Percent Change,Seasonally Adjusted",Monthly
RSFSXMV,Retail Sales and Food Services Excluding Motor Vehicles and Parts Dealers,"Percent Change,Seasonally Adjusted",Monthly
PERMIT,New Private Housing Units Authorized by Building Permits,"Thousands of Units,Seasonally Adjusted Annual Rate",Monthly
EXHOSLUSM495S,Existing Home Sales?,"Number of Units,Seasonally Adjusted Annual Rate",Monthly
