年,自由民主党,民進党,公明党,日本維新の会,自由党,社会民主党,日本のこころ,おおさか維新の会,生活の党と山本太郎となかまたち,日本のこころを大切にする党,新党改革,引用元
2016,17220790000,9743880000,2972098000,,,471968000,,485801000,332819000,560309000,105219000,http://www.soumu.go.jp/main_content/000405601.pdf
2017,17622636000,8718970000,3135369000,1009566000,398676000,395368000,493098000,,,,,http://www.soumu.go.jp/main_content/000474849.pdf
